"Date","Open","High","Low","Close","Volume"
"2019-01-23","63.62","64.15","62.56","62.94","2552849"
"2019-01-22","64.16","64.16","62.28","63.01","7646395"
"2019-01-18","65.06","65.45","63.89","64.64","10232798"
"2019-01-17","63.2","65.27","63.08","64.33","5385405"
"2019-01-16","62.93","64.2","62.93","63.89","9971253"
"2019-01-15","62.59","63.82","62.44","62.78","11922413"
"2019-01-14","61.77","62.46","61.15","62.29","8761169"
"2019-01-11","62.87","63.57","62.53","62.88","3692385"
"2019-01-10","62.31","63.15","61.95","63.11","6199760"
"2019-01-09","61.9","63.47","61.72","62.94","11313661"
"2019-01-08","60.7","61.41","59.5","61.04","6918613"
"2019-01-07","58.9","60.2","58.45","59.64","9004700"
"2019-01-04","56.5","59.38","56.5","58.72","9438788"
"2019-01-03","56.48","56.85","55.09","55.53","8506970"
"2019-01-02","56.78","58.01","56.47","57.49","10532438"
"2018-12-31","59.21","59.21","57.47","57.94","4654020"
"2018-12-28","58.21","58.99","57.59","58.35","3846438"
"2018-12-27","56.84","58.04","56.62","57.97","6836468"
"2018-12-26","56.45","57.98","55.16","57.9","5860047"
"2018-12-24","54.88","56.53","54.75","55.71","5688618"
"2018-12-21","57.25","57.52","55.08","55.65","13771135"
"2018-12-20","57.49","57.92","56.115","56.71","8612634"
"2018-12-19","58.93","59.33","57.16","57.7","9549116"
"2018-12-18","60.4","60.53","58.78","59.12","5659974"
"2018-12-17","61.39","61.63","59.37","60.08","8897814"
"2018-12-14","61.56","62.44","60.82","62.01","8446379"
"2018-12-13","63.34","63.34","62.32","62.76","5280977"
"2018-12-12","63.645","64.0","62.665","62.82","6979270"
"2018-12-11","63.38","63.935","62.23","62.57","5461335"
"2018-12-10","62.7","62.84","60.95","62.23","11754591"
"2018-12-07","63.55","64.65","62.47","63.01","6677336"
"2018-12-06","62.89","63.93","62.17","63.86","8197265"
"2018-12-04","66.75","67.2","64.2","64.8","12701794"
"2018-12-03","68.14","68.64","66.73","66.82","8040532"
"2018-11-30","64.55","65.85","64.52","65.59","8624227"
"2018-11-29","65.0","65.26","63.52","64.42","7597526"
"2018-11-28","64.75","65.49","64.03","65.43","8833772"
"2018-11-27","63.79","65.1","63.6105","64.16","8310113"
"2018-11-26","63.5","64.71","63.21","64.37","6167810"
"2018-11-23","61.31","62.77","61.31","62.4","2145656"
"2018-11-21","62.11","62.8901","61.87","62.15","4307240"
"2018-11-20","59.25","61.65","59.25","60.89","11318371"
"2018-11-19","63.03","63.46","61.96","62.22","3693037"
"2018-11-16","63.6","64.26","63.16","63.59","4806917"
"2018-11-15","62.97","64.79","62.54","64.39","10395359"
"2018-11-14","62.34","63.23","61.71","62.28","9356131"
"2018-11-13","60.13","62.38","60.13","61.21","9730023"
"2018-11-12","61.0","61.38","59.11","59.95","3759285"
"2018-11-09","61.47","61.69","60.14","60.98","5132800"
"2018-11-08","63.18","63.33","61.63","62.48","4846114"
"2018-11-07","62.77","63.66","62.46","63.6","5663511"
"2018-11-06","60.93","62.5827","60.93","61.93","5377081"
"2018-11-05","61.43","62.21","60.68","60.87","3734574"
"2018-11-02","63.82","64.12","61.36","61.73","6845401"
"2018-11-01","60.84","63.34","58.93","62.86","8856946"
"2018-10-31","59.04","60.11","58.94","60.1","6158821"
"2018-10-30","55.81","57.93","55.76","57.92","7192094"
"2018-10-29","60.56","60.77","56.1","56.83","8411239"
"2018-10-26","58.83","61.06","58.56","60.17","5491880"
"2018-10-25","59.7","60.945","59.58","60.74","4896516"
"2018-10-24","61.08","61.54","58.87","59.07","6500210"
"2018-10-23","60.35","61.72","59.95","61.35","6212211"
"2018-10-22","62.08","62.79","61.31","62.2","5862000"
"2018-10-19","60.95","61.72","60.33","60.39","4430512"
"2018-10-18","61.25","61.555","59.74","60.06","6180968"
"2018-10-17","63.04","63.36","61.61","62.19","5968643"
"2018-10-16","61.63","62.905","61.23","62.83","7263777"
"2018-10-15","61.34","61.5","60.07","60.93","10262564"
"2018-10-12","62.02","62.22","60.9","61.98","7631512"
"2018-10-11","57.61","60.115","57.61","59.93","10857334"
"2018-10-10","60.12","60.49","58.2","58.41","16612452"
"2018-10-09","62.105","62.859","61.44","61.52","15858531"
"2018-10-08","63.23","63.82","62.44","63.09","10860950"
"2018-10-05","65.15","65.51","63.77","64.58","8205886"
"2018-10-04","66.81","66.81","64.39","65.26","7018858"
"2018-10-03","67.51","68.03","67.13","67.25","4483760"
"2018-10-02","66.46","66.84","66.02","66.63","11254916"
"2018-10-01","68.54","68.7","67.12","67.24","10598668"
"2018-09-28","67.93","68.46","67.46","68.12","5577857"
"2018-09-27","68.43","68.73","68.05","68.48","7421435"
"2018-09-26","68.17","68.97","67.945","68.13","9222755"
"2018-09-25","67.62","68.45","67.51","67.86","13072492"
"2018-09-24","67.12","67.64","66.52","67.59","5357502"
"2018-09-21","69.11","69.36","67.74","67.93","6310618"
"2018-09-20","68.45","68.84","67.92","68.35","6840092"
"2018-09-19","65.43","67.3","65.43","67.09","8697467"
"2018-09-18","65.32","66.08","64.53","64.98","9300945"
"2018-09-17","67.16","67.2099","65.64","65.9","8991848"
"2018-09-14","68.47","68.7","67.33","67.75","5012174"
"2018-09-13","67.74","68.53","67.44","67.98","10852741"
"2018-09-12","64.59","66.97","64.37","66.52","17460759"
"2018-09-11","62.88","64.91","62.802","64.29","10305253"
"2018-09-10","63.5","64.44","63.08","63.8","14090369"
"2018-09-07","64.03","65.63","64.03","64.82","3899897"
"2018-09-06","65.59","66.36","63.94","64.21","6633004"
"2018-09-05","66.36","67.16","65.02","65.65","6985446"
"2018-09-04","69.12","69.14","67.66","67.96","5813131"
"2018-08-31","68.9","69.93","68.732","69.55","5783610"
"2018-08-30","70.02","70.29","69.09","69.33","8258839"
"2018-08-29","70.32","70.615","69.87","70.43","2642494"
"2018-08-28","71.28","71.45","69.95","70.3","3095438"
"2018-08-27","69.68","70.89","69.53","70.84","3550185"
"2018-08-24","69.08","69.6","68.17","68.9","4898927"
"2018-08-23","72.51","73.15","68.14","68.22","27034721"
"2018-08-22","70.29","70.7","69.43","70.32","7280936"
"2018-08-21","69.67","70.69","69.61","70.25","4675208"
"2018-08-20","68.84","70.27","68.62","69.26","11537278"
"2018-08-17","67.87","68.94","67.04","68.17","13238109"
"2018-08-16","67.94","69.45","67.93","68.14","9290053"
"2018-08-15","66.18","67.11","65.78","67.04","9798485"
"2018-08-14","69.89","69.89","67.83","68.15","15583842"
"2018-08-13","71.14","71.2024","70.08","70.2","12439745"
"2018-08-10","69.84","71.44","69.77","70.97","25773369"
"2018-08-09","70.82","71.45","70.31","70.49","37448086"
"2018-08-08","71.75","71.75","70.46","70.99","22470346"
"2018-08-07","71.46","72.45","71.2401","71.5","11515375"
"2018-08-06","71.38","71.51","70.32","70.89","35841735"
"2018-08-03","72.74","72.75","71.31","71.58","25890977"
"2018-08-02","71.8","72.22","71.03","72.09","26039039"
"2018-08-01","73.2","74.59","72.67","73.18","22297599"
"2018-07-31","73.14","74.1","72.16","73.45","18425155"
"2018-07-30","74.33","74.58","71.32","72.39","19783664"
"2018-07-27","76.89","77.0","73.21","74.1","15501759"
"2018-07-26","76.15","76.79","75.53","76.19","10315811"
"2018-07-25","74.29","77.72","74.29","77.53","9100834"
"2018-07-24","74.16","75.66","73.9108","74.15","12963288"
"2018-07-23","73.1","73.45","72.31","73.15","6877046"
"2018-07-20","73.6","74.07","73.03","73.27","7184869"
"2018-07-19","74.14","74.29","73.14","73.36","8135164"
"2018-07-18","75.44","75.57","74.4711","74.66","11081304"
"2018-07-17","73.98","75.55","73.62","75.36","8570675"
"2018-07-16","74.31","74.89","74.08","74.66","9835239"
"2018-07-13","74.95","75.25","74.14","74.48","8488368"
"2018-07-12","74.85","75.5699","74.52","74.61","11993278"
"2018-07-11","74.78","74.86","73.7","73.76","9659009"
"2018-07-10","76.4","76.92","75.6","75.97","9801759"
"2018-07-09","76.0","76.34","74.91","75.61","9081936"
"2018-07-06","73.31","75.55","72.869","75.36","11720043"
"2018-07-05","73.3","73.49","71.81","73.35","14246593"
"2018-07-03","74.0038","74.18","72.52","72.79","9137958"
"2018-07-02","71.61","73.5","71.54","73.41","27379873"
"2018-06-29","73.34","74.52","72.84","73.21","17791127"
"2018-06-28","72.7","74.61","71.98","74.41","11596946"
"2018-06-27","76.04","76.22","73.11","73.13","13213372"
"2018-06-26","75.91","76.26","74.45","75.5","12841032"
"2018-06-25","78.23","78.25","74.41","75.46","11492974"
"2018-06-22","79.94","80.17","78.87","79.46","8647965"
"2018-06-21","80.64","80.93","79.14","79.62","11232397"
"2018-06-20","80.5","81.39","80.2","81.11","15067968"
"2018-06-19","79.78","80.29","78.2","80.17","11067667"
"2018-06-18","80.72","81.67","79.92","81.61","9638512"
"2018-06-15","81.05","82.14","80.63","81.46","11167916"
"2018-06-14","81.07","82.45","81.05","82.36","8387501"
"2018-06-13","81.77","81.99","80.63","80.83","12558648"
"2018-06-12","81.11","82.2","81.11","81.62","14168385"
"2018-06-11","80.7","81.45","80.5","80.69","14316681"
"2018-06-08","78.83","80.88","78.5716","80.55","8087040"
"2018-06-07","81.04","81.99","78.66","79.75","14318329"
"2018-06-06","80.75","81.11","79.99","80.28","3160954"
"2018-06-05","80.32","81.25","79.72","80.35","3134068"
"2018-06-04","79.25","80.51","79.25","80.24","3263441"
"2018-06-01","77.58","80.0","77.58","78.98","4519965"
"2018-05-31","76.86","77.49","76.7","77.16","3231602"
"2018-05-30","77.18","77.54","76.6","77.03","3239368"
"2018-05-29","76.96","78.29","76.45","76.8","1714378"
"2018-05-25","77.05","78.2483","76.89","77.43","1432125"
"2018-05-24","76.84","77.49","76.4","77.17","4018628"
"2018-05-23","75.84","76.72","75.44","76.45","7052787"
"2018-05-22","77.3","77.3188","76.39","76.51","1837685"
"2018-05-21","76.69","77.55","76.54","77.02","5224124"
"2018-05-18","76.44","77.06","75.86","75.93","4265152"
"2018-05-17","76.77","77.34","76.37","76.5","1956394"
