"Date","Open","High","Low","Close","Volume"
"2019-01-22","42.4","42.7","40.88","41.28","293838"
"2019-01-18","42.81","43.25","42.49","42.63","351280"
"2019-01-17","42.15","43.05","41.709","42.61","267797"
"2019-01-16","43.03","43.36","42.24","42.3","238268"
"2019-01-15","41.92","43.29","41.92","42.86","191658"
"2019-01-14","42.21","42.46","41.455","41.91","360137"
"2019-01-11","42.25","43.32","42.05","42.69","214677"
"2019-01-10","41.6","43.23","41.2","42.47","282807"
"2019-01-09","41.75","43.22","41.28","41.96","628512"
"2019-01-08","39.7","41.77","39.23","41.66","765490"
"2019-01-07","38.54","39.74","38.22","39.17","470059"
"2019-01-04","37.45","38.86","36.76","38.44","817854"
"2019-01-03","37.74","38.0","36.05","36.73","512716"
"2019-01-02","37.75","38.84","37.0","38.36","363116"
"2018-12-31","38.0","38.2","37.54","38.0","461756"
"2018-12-28","38.0","38.33","37.07","37.69","296213"
"2018-12-27","37.3","38.31","36.46","37.66","406315"
"2018-12-26","36.36","38.08","36.28","38.03","245961"
"2018-12-24","36.04","37.21","36.0001","36.17","172609"
"2018-12-21","38.87","38.87","36.35","36.52","750032"
"2018-12-20","38.33","39.4","37.68","38.49","389157"
"2018-12-19","39.22","40.095","38.08","38.58","402296"
"2018-12-18","40.16","40.57","39.2","39.34","380227"
"2018-12-17","40.8","41.59","39.07","39.86","526335"
"2018-12-14","42.04","42.74","40.76","41.01","262342"
"2018-12-13","43.24","43.8","42.24","42.26","341129"
"2018-12-12","42.0","43.84","42.0","42.87","529643"
"2018-12-11","41.47","42.66","40.81","41.3","490417"
"2018-12-10","39.46","41.12","39.46","40.79","650151"
"2018-12-07","42.18","42.75","39.55","39.62","733706"
"2018-12-06","41.63","42.5567","40.56","42.28","775761"
"2018-12-04","43.3","44.28","42.66","42.74","463537"
"2018-12-03","44.32","44.5","43.07","43.67","692909"
"2018-11-30","41.59","43.02","41.07","42.88","601724"
"2018-11-29","43.75","43.845","41.335","41.39","1013016"
