"Date","Open","High","Low","Close","Volume"
"2019-01-22","28.48","28.65","27.97","28.23","648144"
"2019-01-18","28.56","29.02","28.51","28.74","1040876"
"2019-01-17","28.25","28.845","28.25","28.62","656204"
"2019-01-16","28.09","28.65","28.08","28.44","605858"
"2019-01-15","27.81","27.99","27.71","27.94","991728"
"2019-01-14","27.89","28.04","26.76","27.79","289316"
"2019-01-11","27.97","28.49","27.81","28.14","307067"
"2019-01-10","27.56","28.13","27.51","28.1","465595"
"2019-01-09","27.49","28.1","27.37","27.74","757612"
"2019-01-08","26.81","27.43","26.53","27.39","676547"
"2019-01-07","26.28","27.37","26.19","26.51","665968"
"2019-01-04","25.68","26.45","25.59","26.17","692252"
"2019-01-03","26.22","26.56","25.12","25.16","938990"
"2019-01-02","27.39","27.53","26.63","27.14","772421"
"2018-12-31","27.41","27.8","27.11","27.67","592752"
"2018-12-28","27.63","27.89","27.16","27.25","846259"
"2018-12-27","26.41","27.51","26.32","27.48","916461"
"2018-12-26","25.55","26.98","25.31","26.93","666116"
"2018-12-24","25.98","26.19","25.27","25.32","367904"
"2018-12-21","26.55","27.47","26.0386","26.23","2357929"
"2018-12-20","26.89","27.27","25.81","26.55","795576"
"2018-12-19","27.04","27.98","26.78","27.04","658074"
"2018-12-18","27.08","27.33","26.66","26.96","833901"
"2018-12-17","27.33","27.65","26.57","26.7","837609"
"2018-12-14","27.63","28.0","27.37","27.47","339208"
"2018-12-13","28.1","28.28","27.58","27.89","594752"
"2018-12-12","27.93","28.38","27.78","28.06","450274"
"2018-12-11","27.71","28.29","27.07","27.47","601732"
"2018-12-10","27.14","27.94","26.895","27.19","576694"
"2018-12-07","28.35","28.35","26.87","27.16","713850"
"2018-12-06","27.76","28.33","27.62","28.33","713540"
"2018-12-04","29.41","29.41","28.025","28.25","759265"
"2018-12-03","29.31","29.53","29.05","29.44","640805"
"2018-11-30","29.02","29.2","28.59","28.88","925446"
"2018-11-29","29.07","29.44","28.755","28.99","502323"
"2018-11-28","28.3","29.52","28.3","29.32","897242"
"2018-11-27","28.52","28.98","27.98","28.08","453518"
"2018-11-26","28.48","28.83","28.23","28.77","738547"
"2018-11-23","28.08","28.6","27.54","28.14","173725"
"2018-11-21","28.23","28.8","28.115","28.43","920673"
"2018-11-20","27.44","27.95","26.92","27.9","982486"
"2018-11-19","29.47","29.48","27.89","27.98","752599"
