"Date","Open","High","Low","Close","Volume"
"2019-01-23","9.5","9.7","9.22","9.24","26462"
"2019-01-22","9.77","9.89","9.34","9.35","33146"
"2019-01-18","10.29","10.3367","9.58","9.77","28718"
"2019-01-17","10.25","10.39","10.02","10.28","13031"
"2019-01-16","10.5","10.5","10.249","10.45","10658"
"2019-01-15","10.38","10.43","10.22","10.43","4471"
"2019-01-14","10.3549","10.46","10.18","10.26","11023"
"2019-01-11","10.45","10.51","10.3","10.51","9446"
"2019-01-10","10.55","10.6","10.36","10.5","7270"
"2019-01-09","10.719","10.74","10.4","10.58","17231"
"2019-01-08","10.8","10.8","10.43","10.73","12381"
"2019-01-07","10.5167","10.86","9.9915","10.75","27241"
"2019-01-04","10.3716","10.8","10.357","10.7","22662"
"2019-01-03","10.8","10.8","10.3113","10.37","21272"
"2019-01-02","10.77","10.99","10.62","10.87","26279"
"2018-12-31","10.55","10.98","10.27","10.88","19796"
"2018-12-28","10.5","10.5","10.21","10.47","28124"
"2018-12-27","10.36","10.5","10.1002","10.46","32784"
"2018-12-26","10.32","10.5","10.04","10.42","27541"
"2018-12-24","10.1","10.49","10.06","10.06","14811"
"2018-12-21","10.25","10.3","10.11","10.26","46759"
"2018-12-20","10.33","10.5","10.04","10.26","28071"
"2018-12-19","10.39","10.55","10.11","10.15","17472"
"2018-12-18","10.31","10.55","10.22","10.22","12217"
"2018-12-17","10.39","10.72","10.06","10.27","29311"
"2018-12-14","10.86","10.86","10.41","10.41","3618"
"2018-12-13","10.95","10.95","10.3802","10.62","7804"
"2018-12-12","10.96","10.96","10.7","10.78","12429"
"2018-12-11","10.37","10.74","10.37","10.64","1293"
"2018-12-10","10.52","10.66","10.29","10.38","12103"
"2018-12-07","10.67","10.99","10.13","10.47","25509"
"2018-12-06","10.47","10.78","10.1","10.78","15792"
"2018-12-04","11.03","11.1","10.32","10.47","29230"
"2018-12-03","11.41","11.45","10.91","11.035","11944"
"2018-11-30","11.01","11.3","10.89","11.15","21016"
"2018-11-29","11.02","11.11","10.8","11.0","13475"
"2018-11-28","10.77","11.26","10.55","11.03","39353"
"2018-11-27","11.07","11.07","10.42","10.76","22341"
"2018-11-26","11.03","11.25","10.881","11.12","12971"
"2018-11-23","10.67","11.07","10.59","10.85","9319"
"2018-11-21","10.48","11.09","10.48","10.99","17135"
"2018-11-20","10.82","10.89","9.7","10.44","26248"
"2018-11-19","11.3","11.3","10.83","10.94","15750"
"2018-11-16","11.43","11.45","10.871","11.23","30970"
"2018-11-15","11.2","11.72","10.66","11.52","17415"
"2018-11-14","11.73","11.73","11.2","11.35","20454"
"2018-11-13","11.34","11.6","11.19","11.46","28478"
"2018-11-12","11.8","11.8","11.28","11.3","30562"
"2018-11-09","11.8","11.8","11.45","11.73","32766"
"2018-11-08","10.3","12.0","10.3","12.0","153400"
"2018-11-07","10.01","10.3","9.95","10.3","35994"
"2018-11-06","10.0","10.12","9.94","10.0","8734"
"2018-11-05","10.03","10.1","9.8","9.99","12644"
"2018-11-02","10.0","10.18","9.9","10.02","26296"
"2018-11-01","9.59","10.0","9.55","10.0","7858"
"2018-10-31","9.59","9.74","9.5","9.55","17376"
"2018-10-30","9.31","9.57","9.29","9.47","21489"
"2018-10-29","9.54","9.96","9.32","9.47","19509"
"2018-10-26","9.5","9.63","9.29","9.45","25193"
"2018-10-25","9.68","9.84","9.51","9.65","30724"
