"Date","Open","High","Low","Close","Volume"
"2019-01-23","27.7864","27.95","27.27","27.95","1578"
"2019-01-22","26.44","28.0","26.44","28.0","2260"
"2019-01-18","28.35","28.35","26.3221","26.3221","650"
"2019-01-17","31.0","31.0","31.0","31.0","76"
"2019-01-16","31.0","31.0","31.0","31.0","121"
"2019-01-15","29.15","31.0","29.06","31.0","2248"
"2019-01-14","28.0","28.0","28.0","28.0","110"
"2019-01-11","28.0","28.0","28.0","28.0","19"
"2019-01-10","27.69","28.15","27.69","28.0","858"
"2019-01-09","28.9","28.9","28.9","28.9","9"
"2019-01-08","28.9","28.9","28.9","28.9","23"
"2019-01-07","28.9","28.9","28.9","28.9","361"
"2019-01-04","27.32","27.32","27.32","27.32","9"
"2019-01-03","27.3","27.32","27.3","27.32","410"
"2019-01-02","30.7517","30.7517","30.7517","30.7517","389"
"2018-12-31","28.65","31.0","26.75","26.75","3739"
"2018-12-28","33.81","33.81","28.05","28.05","997"
"2018-12-27","28.78","28.78","28.29","28.4","1320"
"2018-12-26","28.25","28.25","26.5851","26.5851","372"
"2018-12-24","26.78","34.0","26.78","30.7","1839"
"2018-12-21","28.09","29.03","27.01","28.36","5498"
"2018-12-20","28.5","28.65","28.01","28.06","1857"
"2018-12-19","32.26","32.26","32.26","32.26","270"
"2018-12-18","28.0201","29.08","27.31","27.31","5010"
"2018-12-17","32.2759","32.2759","32.2759","32.2759","273"
"2018-12-14","31.6","32.2759","30.3","32.2759","2182"
"2018-12-13","33.25","33.25","33.18","33.18","716"
"2018-12-12","37.49","37.49","35.0","35.0","3605"
"2018-12-11","32.5","37.5","32.5","37.5","1652"
"2018-12-10","32.78","32.78","32.78","32.78","376"
"2018-12-07","35.71","39.0","32.47","32.78","3324"
"2018-12-06","37.99","37.99","36.25","36.25","1339"
"2018-12-04","37.3","42.98","37.3","38.25","35855"
"2018-12-03","39.3","39.3","36.0","37.3","5354"
"2018-11-30","40.01","41.175","38.68","39.36","77395"
"2018-11-29","41.49","41.9","38.36","38.36","6361"
"2018-11-28","37.36","41.9","37.36","41.9","6860"
"2018-11-27","42.0","42.5","38.4907","39.5","20493"
"2018-11-26","42.2","42.8","38.57","41.55","15288"
"2018-11-23","41.105","42.7","40.9823","41.82","6991"
"2018-11-21","42.5","42.5","34.05","41.2","11371"
"2018-11-20","42.38","42.38","38.925","41.95","7547"
"2018-11-19","37.5934","42.5","34.526","42.4","8862"
"2018-11-16","39.103","39.99","26.15","38.0","13775"
"2018-11-15","24.81","35.99","24.81","35.98","8966"
"2018-11-14","20.81","25.49","20.81","24.62","15788"
"2018-11-13","19.85","22.81","19.85","21.15","4430"
"2018-11-12","18.0","21.415","18.0","21.0","5742"
"2018-11-09","22.43","22.43","20.01","20.7215","4366"
"2018-11-08","24.2715","24.2715","24.2715","24.2715","790"
"2018-11-07","26.06","27.71","24.0","24.2715","12214"
"2018-11-06","30.51","30.51","25.5","25.77","4121"
"2018-11-05","31.23","31.23","31.23","31.23","622"
"2018-11-02","32.94","33.0","30.6626","33.0","1894"
"2018-11-01","31.0","31.95","30.3","31.06","2343"
"2018-10-31","32.0","32.0","30.28","30.7156","2533"
"2018-10-30","30.7","32.935","30.5","32.935","454"
"2018-10-29","33.8399","33.8399","30.4334","33.0","2691"
"2018-10-26","32.466","34.2","31.5206","34.2","974"
"2018-10-25","33.7123","33.7123","33.7123","33.7123","461"
"2018-10-24","33.86","35.5","31.87","32.63","2357"
"2018-10-23","35.0","36.73","33.39","33.9535","2569"
"2018-10-22","37.51","38.14","35.25","36.0","8008"
"2018-10-19","42.0","42.799","36.81","38.54","12136"
"2018-10-18","39.9","40.8","37.8376","40.6999","21315"
"2018-10-17","40.8","40.8","37.37","37.37","5767"
"2018-10-16","39.95","40.0","34.5504","38.8734","12110"
"2018-10-15","34.75","37.44","32.05","37.44","12907"
"2018-10-12","37.5","50.0","34.5","35.48","24295"
"2018-10-11","32.83","37.54","32.83","37.11","19920"
"2018-10-10","35.0","35.8943","32.9","34.67","14585"
"2018-10-09","35.0","35.0","34.95","34.95","1043"
"2018-10-08","32.2","32.32","30.59","31.3446","1737"
"2018-10-05","30.83","35.1","30.83","32.2","1735"
"2018-10-04","31.07","34.17","30.9321","34.17","6589"
"2018-10-03","36.0","36.0","32.97","33.0","13685"
"2018-10-02","31.2108","37.8054","31.2108","36.0","14316"
"2018-10-01","34.6","52.001","33.5001","34.89","70574"
"2018-09-28","28.69","39.0","27.32","39.0","14970"
"2018-09-27","28.43","29.8456","27.43","29.06","5436"
"2018-09-26","25.44","32.53","25.2096","29.4689","37918"
"2018-09-25","24.93","25.9299","24.0","24.46","8327"
"2018-09-24","24.5","24.62","21.85","22.77","4354"
"2018-09-21","30.08","31.1997","25.01","25.77","49258"
"2018-09-20","21.22","29.5","20.42","29.18","22600"
"2018-09-19","20.46","22.0","20.0","21.9","17655"
"2018-09-18","19.35","20.9748","17.5947","20.5","25805"
"2018-09-17","19.67","20.68","19.17","19.17","41948"
"2018-09-14","20.61","21.6514","18.94","19.82","39026"
"2018-09-13","20.503","21.4962","20.4","20.8","11254"
"2018-09-12","18.3575","21.5","17.37","20.4","153407"
"2018-09-11","20.81","20.81","17.671","20.1","27097"
"2018-09-10","21.9899","21.9899","21.0","21.0","1619"
"2018-09-07","23.5","23.7","21.99","21.99","6019"
"2018-09-06","26.0","26.0","22.6625","23.7","41120"
"2018-09-05","26.27","27.0","25.8","26.36","47836"
"2018-09-04","24.56","27.89","23.76","26.72","68150"
"2018-08-31","27.08","27.08","24.5","26.0","31708"
"2018-08-30","25.63","28.19","25.63","27.5","26490"
"2018-08-29","27.0","27.02","22.95","26.85","37550"
"2018-08-28","23.85","29.44","22.96","27.26","43246"
"2018-08-27","18.78","24.55","17.08","24.01","45500"
"2018-08-24","19.62","20.0","18.7612","18.81","16755"
"2018-08-23","20.16","20.8","19.2701","19.68","20922"
"2018-08-22","18.8","21.53","17.9863","20.0","39378"
"2018-08-21","16.12","19.53","15.33","18.81","111833"
"2018-08-20","15.25","17.0","15.25","15.61","53750"
"2018-08-17","14.5","14.5","13.86","14.26","49871"
"2018-08-16","13.2471","14.7","12.71","14.24","111185"
"2018-08-15","15.8","15.8","14.4523","14.55","39949"
"2018-08-14","15.0","16.0","14.45","15.975","18424"
"2018-08-13","14.5","15.08","13.38","15.0","30116"
"2018-08-10","14.25","14.3","13.95","14.25","11466"
"2018-08-09","15.9","15.9","14.32","14.32","49563"
"2018-08-08","16.8623","16.8623","15.3","15.43","20716"
"2018-08-07","15.8","16.3678","15.7027","15.86","5157"
"2018-08-06","15.93","16.55","15.55","15.6","13165"
"2018-08-03","14.76","16.19","14.74","15.81","15761"
"2018-08-02","15.3","15.3","14.545","14.88","14518"
"2018-08-01","14.2329","15.495","14.2329","15.29","7917"
"2018-07-31","16.73","16.73","14.28","14.29","5949"
"2018-07-30","16.3","16.3","14.7","15.48","12693"
"2018-07-27","13.07","17.0","13.07","15.69","39134"
"2018-07-26","13.78","14.05","13.2","13.22","15453"
"2018-07-25","13.57","13.99","13.5101","13.99","2271"
"2018-07-24","12.71","14.9614","12.71","13.501","15922"
"2018-07-23","12.65","12.9164","12.6","12.61","3768"
"2018-07-20","13.81","13.81","12.34","12.58","26791"
"2018-07-19","17.36","17.55","13.465","13.84","38299"
"2018-07-18","17.28","18.239","17.01","17.15","26508"
"2018-07-17","17.35","17.75","17.11","17.26","29556"
"2018-07-16","17.7","17.7","16.63","16.63","30918"
"2018-07-13","17.66","18.0075","17.04","17.04","81521"
"2018-07-12","17.55","19.64","16.51","16.97","86663"
"2018-07-11","19.05","20.81","17.38","17.69","147547"
"2018-07-10","22.09","22.2001","19.41","19.41","86641"
"2018-07-09","22.62","23.79","20.7615","21.245","70344"
"2018-07-06","21.69","23.2","19.32","22.66","92388"
"2018-07-05","20.87","22.4397","20.47","21.84","54640"
"2018-07-03","19.66","20.97","19.535","20.72","62073"
"2018-07-02","23.81","23.81","19.13","19.4","67662"
"2018-06-29","25.1","25.5903","23.6","23.68","29331"
"2018-06-28","24.33","25.5","23.501","24.25","85964"
"2018-06-27","23.42","25.9499","23.42","24.5","20917"
"2018-06-26","26.04","26.04","21.13","24.01","77480"
"2018-06-25","27.06","28.05","25.7","25.85","40256"
"2018-06-22","28.07","30.44","26.73","27.16","90491"
"2018-06-21","26.08","30.9899","24.59","28.5","143663"
"2018-06-20","25.29","28.1699","23.8904","25.78","53255"
"2018-06-19","27.88","32.0","24.661","25.5","117285"
"2018-06-18","29.26","29.4","24.38","28.14","105609"
"2018-06-15","27.61","37.63","26.33","29.41","369226"
"2018-06-14","16.33","31.28","16.33","27.8","808354"
"2018-06-13","13.37","16.25","13.3","16.22","219864"
"2018-06-12","10.34","13.39","10.27","13.39","190970"
"2018-06-11","9.91","10.94","9.851","10.26","85112"
"2018-06-08","9.97","10.28","9.71","10.28","79228"
"2018-06-07","9.955","10.5302","9.81","9.95","59010"
