"Date","Open","High","Low","Close","Volume"
"2019-01-23","11.61","11.81","10.42","10.95","33063"
"2019-01-22","11.59","11.935","11.56","11.71","17902"
"2019-01-18","11.49","11.77","11.125","11.59","41137"
"2019-01-17","11.4","11.58","11.285","11.5","34761"
"2019-01-16","11.38","11.57","11.08","11.46","32567"
"2019-01-15","10.8","11.36","10.461","11.36","48613"
"2019-01-14","10.63","10.9457","10.54","10.74","7179"
"2019-01-11","10.8","10.85","10.5","10.67","22349"
"2019-01-10","10.5","10.8389","10.115","10.73","25204"
"2019-01-09","10.4","10.936","10.015","10.53","24215"
"2019-01-08","10.34","10.47","10.25","10.36","24101"
"2019-01-07","10.17","10.48","10.1","10.26","19890"
"2019-01-04","9.9395","10.48","9.9395","10.17","10345"
"2019-01-03","10.0","10.43","9.932","10.23","10869"
"2019-01-02","9.79","10.53","9.625","10.22","34480"
"2018-12-31","10.05","10.28","9.511","9.91","80439"
"2018-12-28","9.72","10.273","9.5","10.045","28063"
"2018-12-27","9.7","9.98","9.01","9.61","38170"
"2018-12-26","9.43","10.0199","9.38","9.7","39590"
"2018-12-24","9.28","9.465","9.21","9.37","21747"
"2018-12-21","9.79","9.83","8.81","9.38","68773"
"2018-12-20","10.2","10.3399","9.76","9.82","41719"
"2018-12-19","10.38","10.72","10.13","10.22","40625"
"2018-12-18","10.65","11.1099","10.391","10.391","34133"
"2018-12-17","11.12","11.4","10.52","10.61","29935"
"2018-12-14","11.4","11.49","11.0744","11.22","12680"
"2018-12-13","11.59","11.6","11.27","11.505","31344"
"2018-12-12","11.28","11.68","11.17","11.48","39911"
"2018-12-11","11.03","11.445","11.03","11.27","96012"
"2018-12-10","10.92","11.3","10.5","10.94","52353"
"2018-12-07","11.72","11.94","10.765","10.99","25260"
"2018-12-06","11.71","11.975","11.1031","11.75","12676"
"2018-12-04","12.35","12.35","11.75","11.9","32882"
"2018-12-03","12.26","12.69","11.83","12.34","44579"
"2018-11-30","12.72","12.98","12.16","12.16","12095"
"2018-11-29","12.65","12.91","12.65","12.72","12386"
"2018-11-28","12.9","12.98","12.7101","12.78","9806"
"2018-11-27","12.45","12.89","12.33","12.85","56314"
"2018-11-26","12.8","12.8","12.5786","12.6","36271"
"2018-11-23","12.46","12.99","12.46","12.71","13643"
"2018-11-21","12.71","12.98","12.52","12.63","64989"
"2018-11-20","12.4","12.76","12.05","12.55","25928"
"2018-11-19","12.7","12.895","12.5","12.5","24021"
"2018-11-16","12.95","13.0","12.5","12.81","90347"
"2018-11-15","12.93","13.0","12.47","12.96","42788"
"2018-11-14","13.22","13.325","12.87","13.09","48282"
