"Date","Open","High","Low","Close","Volume"
"2019-01-23","60.28","60.87","59.1601","60.08","466650"
"2019-01-22","61.63","61.6361","58.78","59.4","963216"
"2019-01-18","58.47","60.82","58.0975","60.38","1156514"
"2019-01-17","57.69","58.63","57.5501","57.96","662679"
"2019-01-16","56.65","58.79","56.6029","57.65","663118"
"2019-01-15","55.0","57.1387","55.0","56.4","470699"
"2019-01-14","54.7","55.95","54.3134","55.0","321606"
"2019-01-11","54.16","55.715","54.04","54.89","376501"
"2019-01-10","54.47","54.7801","53.75","54.37","482222"
"2019-01-09","54.09","55.0","53.53","54.73","933108"
"2019-01-08","52.11","54.1","52.11","53.64","783657"
"2019-01-07","51.42","51.88","50.7","51.49","898535"
"2019-01-04","50.79","52.24","50.475","51.43","417949"
"2019-01-03","51.35","51.9","49.72","49.78","309291"
"2019-01-02","51.11","52.85","50.78","52.06","362527"
"2018-12-31","51.85","52.45","51.35","51.87","265588"
"2018-12-28","51.74","52.12","50.26","51.51","350310"
"2018-12-27","48.97","51.45","48.75","51.42","405592"
"2018-12-26","46.29","49.81","46.29","49.8","405282"
"2018-12-24","44.18","46.37","43.74","46.24","478244"
"2018-12-21","47.06","47.06","44.26","44.43","932856"
"2018-12-20","48.35","48.35","45.97","46.87","501535"
"2018-12-19","50.45","50.91","48.15","48.52","402115"
"2018-12-18","52.2","52.96","50.17","50.23","404066"
"2018-12-17","53.02","53.61","51.46","51.6","871496"
"2018-12-14","52.62","53.5","51.03","53.09","440577"
"2018-12-13","53.41","53.76","52.815","53.0","405150"
"2018-12-12","51.4","53.44","51.31","53.02","402599"
"2018-12-11","50.75","52.25","50.54","51.94","427624"
"2018-12-10","50.74","51.2","49.18","50.01","458538"
"2018-12-07","52.05","53.23","49.94","50.64","498776"
"2018-12-06","49.89","52.31","48.7764","52.29","408678"
"2018-12-04","50.77","52.48","50.74","50.9","621681"
"2018-12-03","51.62","52.01","50.49","51.28","383273"
"2018-11-30","50.06","52.12","49.88","50.85","572554"
"2018-11-29","48.94","50.13","48.71","49.84","253735"
"2018-11-28","47.85","49.39","47.14","48.99","236115"
"2018-11-27","46.93","47.63","46.79","47.43","149407"
"2018-11-26","46.8","47.5856","46.02","47.41","251510"
"2018-11-23","44.72","46.49","44.47","46.0","314790"
"2018-11-21","45.25","45.64","44.51","45.23","205163"
"2018-11-20","44.16","45.13","43.52","44.64","324865"
"2018-11-19","48.0","48.4","44.71","45.09","430349"
"2018-11-16","48.43","48.9","47.1","48.0","458201"
"2018-11-15","47.48","49.0293","47.2001","48.91","316925"
"2018-11-14","48.02","48.55","47.31","47.82","456495"
"2018-11-13","48.91","48.97","47.17","47.65","505948"
"2018-11-12","46.97","47.8296","45.46","47.19","482057"
"2018-11-09","49.0","49.43","45.79","47.27","937236"
"2018-11-08","56.06","56.06","48.81","49.65","1848966"
"2018-11-07","45.25","47.75","45.25","47.25","742044"
"2018-11-06","45.0","46.31","44.34","45.74","428544"
"2018-11-05","46.88","46.89","44.69","45.91","678930"
"2018-11-02","45.85","47.18","45.33","46.87","559338"
"2018-11-01","44.64","45.59","44.05","45.43","327422"
"2018-10-31","43.93","45.02","43.67","44.48","287169"
"2018-10-30","41.94","43.35","41.55","43.34","171885"
"2018-10-29","43.46","44.12","40.92","41.92","319345"
"2018-10-26","43.82","43.97","42.12","42.68","530631"
"2018-10-25","43.98","45.03","43.84","44.69","279047"
"2018-10-24","45.82","46.19","43.5","43.65","432239"
"2018-10-23","45.44","46.45","45.1737","46.1","335049"
"2018-10-22","45.06","46.705","44.5872","46.4","255049"
"2018-10-19","46.85","47.67","44.95","45.09","854126"
"2018-10-18","48.13","48.4","46.23","46.83","247561"
"2018-10-17","48.04","48.5","47.59","48.42","312263"
"2018-10-16","46.16","48.4","46.0","48.17","553490"
"2018-10-15","44.2","45.54","43.65","44.51","442590"
"2018-10-12","46.84","47.0564","43.665","44.3","1036030"
"2018-10-11","45.2","45.93","43.95","44.32","763940"
"2018-10-10","48.61","48.91","45.21","45.28","717767"
"2018-10-09","49.16","49.87","48.51","48.7","539894"
"2018-10-08","51.31","51.485","47.93","49.05","850289"
"2018-10-05","53.38","53.79","49.27","51.92","1178793"
"2018-10-04","55.82","56.0","54.84","55.23","415627"
"2018-10-03","54.92","56.43","54.55","55.87","264167"
"2018-10-02","56.91","56.91","53.79","55.1","576783"
"2018-10-01","57.92","60.1999","56.67","56.91","648818"
"2018-09-28","56.91","57.75","56.91","57.4","311797"
"2018-09-27","56.85","57.91","56.39","57.22","208872"
"2018-09-26","56.85","57.54","55.4001","56.81","390638"
"2018-09-25","56.26","57.79","56.26","56.96","381333"
"2018-09-24","56.28","57.24","55.7877","56.66","373095"
"2018-09-21","57.46","57.89","55.56","56.61","2349879"
"2018-09-20","56.2","57.309","55.13","57.13","785486"
"2018-09-19","56.0","56.66","55.26","55.86","417442"
"2018-09-18","56.15","56.5","54.98","55.84","667477"
"2018-09-17","56.25","56.71","54.75","54.82","582103"
"2018-09-14","57.51","57.6","55.86","56.46","483925"
"2018-09-13","57.75","58.18","56.95","57.51","327080"
"2018-09-12","56.58","57.53","56.21","57.42","441920"
"2018-09-11","56.59","57.02","55.2743","56.54","400208"
"2018-09-10","55.49","57.0","55.44","56.95","511413"
"2018-09-07","55.24","56.96","55.08","55.21","694552"
"2018-09-06","57.29","57.29","52.4","55.15","2186800"
"2018-09-05","57.82","59.053","56.68","58.72","532975"
"2018-09-04","56.01","57.87","55.381","57.75","445818"
"2018-08-31","55.5","56.46","54.6601","56.29","342188"
"2018-08-30","54.64","55.8","54.45","55.48","372493"
"2018-08-29","55.01","55.38","54.67","54.71","229963"
"2018-08-28","54.45","55.48","53.81","54.75","466671"
"2018-08-27","56.0","56.3748","53.94","54.25","464775"
