"Date","Open","High","Low","Close","Volume"
"2019-01-23","31.84","31.98","30.84","31.045","82506"
"2019-01-22","30.74","31.57","30.64","31.52","253369"
"2019-01-18","31.23","31.5701","30.89","30.93","235974"
"2019-01-17","30.32","31.28","30.19","31.1","194745"
"2019-01-16","29.89","30.3","29.69","30.25","202562"
"2019-01-15","29.02","29.78","28.82","29.71","154478"
"2019-01-14","28.96","29.13","28.51","29.01","150255"
"2019-01-11","28.81","29.26","28.5","29.23","109464"
"2019-01-10","28.86","29.235","28.58","28.95","129554"
"2019-01-09","29.06","29.26","28.37","29.08","118584"
"2019-01-08","27.85","29.03","27.65","28.99","232138"
"2019-01-07","27.01","28.0","26.87","27.84","176835"
"2019-01-04","26.19","27.17","25.74","27.11","358918"
"2019-01-03","26.43","27.1","25.54","25.63","185409"
"2019-01-02","27.01","27.55","26.49","26.76","232440"
"2018-12-31","27.03","27.87","26.75","27.58","145501"
"2018-12-28","27.48","27.53","26.43","26.74","168879"
"2018-12-27","26.7","27.33","26.19","27.18","201141"
"2018-12-26","25.61","27.08","25.43","27.06","138284"
"2018-12-24","25.33","26.28","25.28","25.5","115514"
"2018-12-21","27.42","27.42","25.59","25.73","754309"
"2018-12-20","27.61","28.33","26.23","27.32","207949"
"2018-12-19","27.2","28.97","27.17","27.62","365375"
"2018-12-18","27.73","28.15","27.13","27.17","224769"
"2018-12-17","27.19","28.05","26.4416","27.29","236193"
"2018-12-14","28.55","28.84","27.35","27.4","298918"
"2018-12-13","29.76","30.01","29.02","29.09","110377"
"2018-12-12","29.44","30.34","28.96","29.53","320327"
"2018-12-11","30.07","30.37","28.76","28.84","184381"
"2018-12-10","29.23","30.0121","29.09","29.6","209446"
"2018-12-07","30.58","31.06","29.03","29.26","219169"
"2018-12-06","29.82","31.08","29.1","30.59","317815"
"2018-12-04","32.78","33.1","30.28","30.39","582918"
"2018-12-03","32.93","33.91","32.585","32.99","439550"
"2018-11-30","31.57","32.44","31.3","32.31","370554"
"2018-11-29","30.93","31.785","30.24","31.32","206689"
"2018-11-28","29.24","31.03","29.1775","30.99","210355"
"2018-11-27","29.07","29.84","28.59","29.47","158692"
"2018-11-26","29.75","30.13","28.74","29.48","265812"
"2018-11-23","28.94","30.06","28.94","29.5","67730"
"2018-11-21","29.65","30.21","29.0984","29.43","181101"
"2018-11-20","28.75","30.33","28.4824","29.13","268917"
"2018-11-19","32.81","33.01","29.84","29.85","269873"
"2018-11-16","32.96","33.55","32.5","33.17","239141"
"2018-11-15","32.24","33.55","32.21","33.37","288822"
"2018-11-14","32.8","33.56","31.91","32.18","153658"
"2018-11-13","32.44","33.59","32.44","32.63","261297"
"2018-11-12","32.15","32.97","31.92","32.3","224894"
"2018-11-09","34.25","34.8511","31.02","32.12","533242"
"2018-11-08","33.35","33.69","32.63","33.62","573244"
"2018-11-07","32.29","34.57","32.29","33.61","238790"
"2018-11-06","30.53","32.48","30.5","31.92","664433"
"2018-11-05","37.9","37.9","30.16","30.7","2070300"
"2018-11-02","37.89","38.585","37.3","37.9","226977"
"2018-11-01","38.4","39.07","37.6","37.68","229980"
"2018-10-31","37.58","38.55","37.378","38.14","200814"
"2018-10-30","36.51","37.43","36.114","36.97","274193"
"2018-10-29","37.53","38.23","36.22","36.65","343728"
"2018-10-26","36.31","37.45","35.3542","36.83","450482"
"2018-10-25","35.32","37.16","35.32","37.06","444895"
"2018-10-24","36.73","37.4","35.21","35.26","347817"
"2018-10-23","36.06","36.97","35.46","36.8","310416"
"2018-10-22","35.85","37.4","35.72","36.79","244015"
"2018-10-19","36.33","36.73","35.49","35.86","682363"
"2018-10-18","35.98","36.45","35.3","36.43","388196"
"2018-10-17","35.6","36.09","34.79","36.0","161261"
"2018-10-16","34.67","35.7","33.99","35.23","329677"
"2018-10-15","34.9","34.94","33.9","34.12","255954"
"2018-10-12","34.29","35.0","34.29","34.94","461772"
"2018-10-11","35.49","37.29","33.88","33.93","502601"
"2018-10-10","39.89","40.0","35.63","35.7","530100"
"2018-10-09","40.68","41.45","39.68","39.91","293777"
"2018-10-08","41.7","41.7","40.255","40.88","327310"
"2018-10-05","41.52","42.0366","41.0201","41.69","317791"
"2018-10-04","41.81","41.81","41.0","41.61","168147"
"2018-10-03","42.02","42.17","41.47","42.04","314105"
