"Date","Open","High","Low","Close","Volume"
"2019-01-23","36.4","36.76","35.64","35.795","354086"
"2019-01-22","37.35","37.48","35.92","36.34","943941"
"2019-01-18","37.29","37.96","37.29","37.51","726389"
"2019-01-17","36.52","37.26","36.36","37.0","769175"
"2019-01-16","36.62","37.22","36.51","36.65","899120"
"2019-01-15","36.28","36.465","35.78","36.37","630074"
"2019-01-14","36.14","36.4","35.69","36.08","1104622"
"2019-01-11","35.96","36.92","35.7","36.77","688504"
"2019-01-10","35.5","36.75","35.22","36.48","1673106"
"2019-01-09","35.52","35.905","35.26","35.75","1349607"
"2019-01-08","34.86","35.28","34.29","35.14","1772771"
"2019-01-07","32.74","34.69","32.6","34.49","2224771"
"2019-01-04","30.2","32.325","30.065","31.98","1577606"
"2019-01-03","30.64","30.98","29.61","29.65","1016614"
"2019-01-02","29.86","31.24","29.44","30.77","1468588"
"2018-12-31","29.76","30.27","29.3131","30.21","1076809"
"2018-12-28","30.1","30.3544","29.56","29.73","1253146"
"2018-12-27","29.38","29.88","28.61","29.88","1466142"
"2018-12-26","28.83","29.95","28.13","29.95","1498920"
"2018-12-24","29.44","29.59","28.63","28.73","838114"
"2018-12-21","30.93","31.26","29.57","29.67","1710610"
"2018-12-20","31.85","32.04","30.53","30.74","1260193"
"2018-12-19","33.18","33.68","31.85","32.15","1443411"
"2018-12-18","32.64","33.34","32.45","33.01","2256557"
"2018-12-17","33.28","33.57","32.175","32.34","1541329"
"2018-12-14","34.98","35.08","33.28","33.28","1770374"
"2018-12-13","36.01","36.21","35.0","35.08","981318"
"2018-12-12","36.07","36.36","35.76","35.95","839413"
"2018-12-11","35.89","36.45","35.39","35.44","1056111"
"2018-12-10","36.18","36.57","34.27","35.27","1065468"
"2018-12-07","37.25","37.77","36.18","36.32","1152190"
"2018-12-06","37.13","37.3056","36.07","37.08","1489367"
"2018-12-04","39.49","39.605","37.79","37.91","694442"
"2018-12-03","39.61","39.9","39.05","39.61","859445"
"2018-11-30","38.44","38.9","38.3211","38.86","471537"
"2018-11-29","38.4","38.85","38.23","38.49","386684"
"2018-11-28","37.78","38.73","37.21","38.6","561859"
"2018-11-27","37.4","37.97","37.24","37.67","477545"
"2018-11-26","37.48","38.22","37.32","37.6","740969"
"2018-11-23","37.1","37.41","36.64","37.12","294992"
"2018-11-21","37.08","38.12","36.81","37.49","936854"
"2018-11-20","36.64","36.93","35.97","36.83","768099"
"2018-11-19","37.95","38.19","37.1229","37.19","579740"
"2018-11-16","38.02","38.49","37.6","38.01","734705"
"2018-11-15","38.25","38.39","37.51","38.34","938378"
"2018-11-14","39.23","39.55","37.87","38.51","681191"
"2018-11-13","38.65","39.76","38.56","38.97","1067918"
"2018-11-12","40.23","40.4","38.29","38.5","996926"
"2018-11-09","42.86","42.86","39.53","40.37","1637562"
"2018-11-08","40.37","40.4662","39.52","39.78","659738"
"2018-11-07","40.31","40.72","40.07","40.46","810025"
"2018-11-06","39.54","39.97","39.2","39.91","531855"
"2018-11-05","39.23","39.86","39.22","39.64","836697"
"2018-11-02","39.7","40.36","39.1199","39.22","806947"
"2018-11-01","38.23","39.81","38.1","39.26","1028405"
"2018-10-31","38.28","38.48","37.85","38.1","986735"
"2018-10-30","36.92","37.94","36.785","37.71","698615"
"2018-10-29","38.74","39.01","36.46","36.92","1123584"
"2018-10-26","38.19","38.525","37.2","38.26","888071"
"2018-10-25","37.94","38.97","37.83","38.76","2164782"
"2018-10-24","39.66","39.927","37.63","37.69","808522"
"2018-10-23","39.19","39.93","38.6","39.63","773910"
"2018-10-22","41.77","41.86","39.85","39.98","1240509"
"2018-10-19","41.6","42.35","41.51","41.69","812628"
"2018-10-18","42.21","42.59","41.2984","41.61","417754"
"2018-10-17","42.54","42.96","42.01","42.51","1605236"
"2018-10-16","42.0","42.92","41.5","42.64","580415"
"2018-10-15","41.73","42.25","41.73","41.91","434794"
"2018-10-12","42.55","42.7","41.035","41.73","646567"
"2018-10-11","42.5","43.23","41.74","41.85","761528"
"2018-10-10","43.7","43.99","42.66","42.68","653854"
"2018-10-09","44.72","44.72","43.51","43.57","573708"
"2018-10-08","45.01","45.01","44.44","44.95","312354"
"2018-10-05","45.68","46.04","44.77","45.15","480203"
"2018-10-04","46.05","46.34","45.46","45.77","391992"
"2018-10-03","45.8","46.3825","45.75","45.97","491965"
"2018-10-02","45.32","45.67","45.13","45.63","342309"
"2018-10-01","46.08","46.24","45.21","45.37","407028"
"2018-09-28","45.88","46.21","45.71","45.88","471752"
"2018-09-27","45.92","46.47","45.91","46.1","447581"
"2018-09-26","45.84","46.18","45.66","45.86","545056"
"2018-09-25","45.57","46.03","45.26","45.87","565590"
"2018-09-24","46.11","46.23","45.2801","45.54","418958"
"2018-09-21","45.97","46.34","45.73","46.15","806555"
"2018-09-20","46.1","46.61","45.79","45.85","763985"
"2018-09-19","45.7","46.45","45.57","45.72","773669"
"2018-09-18","45.62","46.02","45.51","45.71","357277"
"2018-09-17","45.68","45.87","45.23","45.53","426819"
"2018-09-14","45.18","46.04","45.12","45.68","392730"
"2018-09-13","45.08","45.29","44.89","45.13","690125"
"2018-09-12","44.93","45.155","44.59","44.98","496872"
"2018-09-11","45.14","45.52","44.84","45.0","638822"
"2018-09-10","44.2","45.37","44.17","45.3","674672"
"2018-09-07","45.03","45.27","44.135","44.19","605091"
"2018-09-06","45.75","45.75","45.14","45.24","737562"
"2018-09-05","45.83","46.02","45.55","45.71","802837"
"2018-09-04","46.31","46.48","45.86","46.04","928411"
"2018-08-31","46.28","46.56","46.055","46.21","622726"
"2018-08-30","46.85","46.97","46.51","46.55","516250"
"2018-08-29","47.1","47.18","46.21","46.85","782016"
"2018-08-28","47.05","47.34","46.89","46.96","517639"
"2018-08-27","46.25","47.03","46.25","46.91","486052"
"2018-08-24","46.19","46.26","45.81","46.04","313640"
"2018-08-23","46.47","46.53","45.96","46.07","577066"
"2018-08-22","46.19","46.67","46.07","46.49","456463"
"2018-08-21","45.78","46.37","45.78","46.28","998047"
"2018-08-20","45.57","45.685","45.24","45.62","707551"
"2018-08-17","45.39","45.7","45.225","45.46","479789"
"2018-08-16","45.01","45.635","45.01","45.43","961421"
"2018-08-15","44.96","44.96","43.97","44.69","776671"
"2018-08-14","44.63","45.33","44.59","45.17","965625"
"2018-08-13","45.2","45.285","44.12","44.64","455231"
"2018-08-10","44.68","45.3","43.23","45.1","1153531"
"2018-08-09","44.33","44.5889","43.99","44.14","275475"
"2018-08-08","44.46","44.61","44.06","44.35","403235"
"2018-08-07","44.21","44.88","44.21","44.55","451824"
"2018-08-06","44.05","44.46","43.84","44.18","338731"
"2018-08-03","43.65","44.23","43.57","44.16","412631"
"2018-08-02","43.24","43.655","43.0","43.58","478066"
"2018-08-01","43.93","44.06","43.4","43.58","807178"
"2018-07-31","43.35","44.02","43.2","43.96","661717"
"2018-07-30","43.92","44.16","43.11","43.26","698729"
"2018-07-27","43.85","44.035","43.49","43.82","538348"
"2018-07-26","43.21","43.95","43.21","43.77","309054"
"2018-07-25","43.01","43.34","42.68","43.32","322816"
"2018-07-24","43.0","43.43","42.77","42.93","439572"
"2018-07-23","42.61","43.02","42.21","42.7","376852"
"2018-07-20","43.06","43.15","41.44","42.68","2261197"
"2018-07-19","43.66","44.0","43.45","43.51","846950"
"2018-07-18","43.23","43.95","43.23","43.79","342992"
"2018-07-17","42.28","43.22","42.09","43.01","1539093"
"2018-07-16","42.35","42.64","42.08","42.29","501210"
"2018-07-13","42.21","42.7664","42.21","42.3","533100"
"2018-07-12","42.78","43.08","42.08","42.26","560867"
"2018-07-11","42.52","43.17","42.415","42.53","695456"
"2018-07-10","43.27","43.37","42.79","43.0","378281"
"2018-07-09","42.36","43.19","42.36","43.04","379868"
"2018-07-06","42.05","42.52","41.94","42.18","323534"
"2018-07-05","42.2","42.4","41.85","42.28","597338"
"2018-07-03","42.0","42.52","41.99","42.0","359323"
"2018-07-02","41.54","41.97","41.32","41.85","811017"
"2018-06-29","41.75","42.365","41.44","41.97","820250"
"2018-06-28","41.25","41.545","40.7","41.46","783869"
"2018-06-27","42.08","42.63","41.43","41.46","998071"
"2018-06-26","41.66","42.0","41.13","41.91","418600"
"2018-06-25","42.48","42.48","41.26","41.58","723478"
"2018-06-22","42.76","43.4","42.45","42.57","1088486"
"2018-06-21","42.7","42.83","42.14","42.26","480069"
"2018-06-20","43.52","43.52","42.87","42.95","442406"
"2018-06-19","43.42","43.53","42.96","43.32","884206"
"2018-06-18","43.5","44.24","43.45","43.9","475179"
"2018-06-15","43.58","44.03","43.025","43.94","950862"
"2018-06-14","44.6","44.95","43.76","43.87","1543774"
"2018-06-13","45.17","45.17","44.51","44.56","438879"
"2018-06-12","45.04","45.46","44.765","45.07","525950"
"2018-06-11","44.94","45.2","44.79","44.86","658820"
"2018-06-08","45.06","45.09","44.58","44.94","640818"
"2018-06-07","45.3","45.68","45.08","45.28","416481"
"2018-06-06","45.31","45.37","44.78","45.21","437063"
"2018-06-05","44.9","45.06","44.74","44.96","403710"
"2018-06-04","45.12","45.26","44.83","45.0","268058"
"2018-06-01","44.7","45.36","44.43","44.93","441229"
"2018-05-31","44.36","44.63","43.99","44.41","533466"
"2018-05-30","44.59","44.74","44.27","44.4","285164"
"2018-05-29","44.13","44.49","43.77","44.28","552346"
"2018-05-25","43.68","44.7","43.62","44.6","562575"
"2018-05-24","43.76","44.04","43.1","43.91","644428"
"2018-05-23","44.41","44.595","43.6299","43.95","837594"
"2018-05-22","45.59","45.84","44.76","44.79","502707"
"2018-05-21","44.75","45.58","44.74","45.48","559965"
"2018-05-18","44.48","44.88","44.43","44.58","371145"
"2018-05-17","44.6","45.02","44.37","44.5","819102"
"2018-05-16","44.53","45.15","44.53","44.71","494121"
"2018-05-15","44.01","44.67","43.71","44.44","543438"
"2018-05-14","43.93","44.56","43.48","44.23","722172"
"2018-05-11","44.89","45.45","42.89","43.91","1294836"
