"Date","Open","High","Low","Close","Volume"
"2019-01-23","61.71","62.8","60.99","61.75","86910"
"2019-01-22","61.67","61.93","60.45","61.24","97796"
"2019-01-18","61.86","62.318","61.3","61.89","59113"
"2019-01-17","60.51","62.0","60.24","61.45","106169"
"2019-01-16","61.73","62.44","60.67","60.77","58846"
"2019-01-15","60.08","61.65","60.08","61.34","47278"
"2019-01-14","60.74","60.89","59.34","60.07","68936"
"2019-01-11","60.39","61.38","59.55","61.24","67186"
"2019-01-10","61.2","61.55","60.18","60.59","88838"
"2019-01-09","60.15","62.04","60.08","61.63","194178"
"2019-01-08","60.0","60.6192","59.47","59.66","107684"
"2019-01-07","57.16","59.6644","57.06","59.29","85115"
"2019-01-04","57.11","57.93","55.0","57.17","148945"
"2019-01-03","58.29","58.4","55.205","56.33","191559"
"2019-01-02","57.94","59.18","56.9","59.04","161747"
"2018-12-31","58.14","59.22","57.78","59.22","125911"
"2018-12-28","58.01","58.51","56.4","57.67","80737"
"2018-12-27","56.4","57.86","55.59","57.86","101915"
"2018-12-26","54.78","57.19","54.51","57.19","93515"
"2018-12-24","56.16","56.91","54.5","54.5","128254"
"2018-12-21","57.45","57.7863","55.73","56.17","204736"
"2018-12-20","57.86","58.29","55.72","57.1","185270"
"2018-12-19","59.33","60.26","57.32","57.96","130316"
"2018-12-18","56.56","59.18","56.3","59.07","206801"
"2018-12-17","60.07","60.18","55.85","56.04","196338"
"2018-12-14","59.74","60.99","59.27","60.24","81773"
"2018-12-13","61.63","61.77","59.85","60.36","111673"
"2018-12-12","61.5","62.96","61.18","61.31","109657"
"2018-12-11","61.58","61.58","59.83","60.68","61345"
"2018-12-10","59.7","62.0","59.46","60.58","97565"
"2018-12-07","60.49","60.71","59.53","60.07","161898"
"2018-12-06","58.73","60.95","58.315","60.78","121507"
"2018-12-04","61.42","62.1663","59.5","60.3","362832"
"2018-12-03","62.45","63.77","61.0","61.77","124982"
"2018-11-30","61.27","61.95","60.045","61.29","132305"
"2018-11-29","60.99","62.835","60.66","61.82","109307"
"2018-11-28","57.69","61.61","57.51","61.2","186801"
"2018-11-27","58.4","58.46","56.75","57.0","101969"
"2018-11-26","57.5","58.51","57.38","58.31","85200"
"2018-11-23","56.66","57.64","56.66","56.87","22997"
"2018-11-21","56.68","57.64","56.03","57.02","107823"
"2018-11-20","53.84","57.51","53.5","55.81","301269"
"2018-11-19","57.62","57.62","55.14","55.56","213056"
"2018-11-16","57.67","58.14","56.95","57.85","131528"
"2018-11-15","56.89","58.51","56.68","58.27","115818"
"2018-11-14","57.68","58.305","56.2289","57.2","248538"
"2018-11-13","57.92","58.44","56.8","57.15","146646"
"2018-11-12","59.32","59.5","56.93","57.97","200778"
"2018-11-09","59.06","59.55","58.0388","59.49","122161"
"2018-11-08","60.28","60.28","58.41","59.45","148467"
"2018-11-07","59.24","61.1758","58.07","60.3","174990"
"2018-11-06","57.91","58.93","57.55","58.23","163824"
"2018-11-05","57.86","58.72","56.75","57.81","188863"
"2018-11-02","59.0","59.87","56.9656","57.94","185845"
"2018-11-01","57.1","59.5","56.71","58.87","447474"
"2018-10-31","54.8","59.63","54.69","57.1","316263"
"2018-10-30","56.38","56.82","51.15","54.36","754337"
"2018-10-29","59.21","62.05","59.21","59.81","552149"
"2018-10-26","58.01","59.29","56.36","58.14","204413"
"2018-10-25","57.65","59.68","57.08","59.03","148775"
"2018-10-24","60.5","61.07","57.07","57.15","261715"
"2018-10-23","59.49","60.78","58.505","60.47","186109"
"2018-10-22","60.45","61.45","59.6564","61.0","516639"
"2018-10-19","63.98","64.36","60.02","60.07","135232"
"2018-10-18","65.49","65.49","62.16","63.35","186234"
"2018-10-17","65.2","66.54","64.62","65.5","169431"
"2018-10-16","63.8","65.85","63.14","65.6","125419"
"2018-10-15","64.78","65.4435","62.615","63.24","231538"
"2018-10-12","66.05","66.05","63.5375","64.93","269369"
"2018-10-11","62.55","67.0417","62.1","62.64","302778"
"2018-10-10","66.94","66.94","62.76","63.38","242457"
"2018-10-09","67.57","69.12","65.73","67.0","179612"
"2018-10-08","71.07","71.5975","65.17","67.93","271756"
"2018-10-05","72.45","73.8","70.27","71.42","230951"
"2018-10-04","74.72","74.72","72.09","72.45","201672"
"2018-10-03","74.23","75.63","73.07","74.97","126237"
"2018-10-02","75.29","76.73","72.74","74.03","341742"
"2018-10-01","78.89","79.45","75.36","76.02","201091"
"2018-09-28","79.25","81.175","78.14","78.4","224516"
"2018-09-27","80.2","81.8","78.35","79.5","177067"
"2018-09-26","82.5","82.925","79.7","80.0","175733"
"2018-09-25","81.7","82.95","81.7","82.35","150417"
"2018-09-24","79.65","82.2","78.0508","81.25","180602"
"2018-09-21","83.0","84.0","80.25","80.55","357086"
"2018-09-20","84.2","85.5","81.0395","82.75","216010"
"2018-09-19","86.95","87.825","82.7","83.8","212050"
"2018-09-18","85.9","88.65","85.9","86.7","181316"
"2018-09-17","89.0","89.2786","85.7","85.9","169588"
"2018-09-14","90.65","91.49","88.4","88.85","164427"
"2018-09-13","89.05","91.2","89.05","90.85","122358"
"2018-09-12","89.4","90.65","86.8","88.35","145918"
"2018-09-11","88.0","90.45","86.525","89.1","262191"
"2018-09-10","86.35","89.225","86.15","88.9","129421"
"2018-09-07","85.2","87.05","84.2","85.9","119512"
"2018-09-06","85.75","87.175","84.85","85.55","110420"
"2018-09-05","88.2","88.7","84.05","85.9","187963"
"2018-09-04","85.7","89.2","85.5","88.25","161329"
"2018-08-31","84.0","86.0","83.4","85.4","131155"
"2018-08-30","82.05","84.8","82.05","84.35","125743"
"2018-08-29","82.1","83.3","81.4","81.9","136717"
"2018-08-28","82.0","82.7","81.15","81.75","135560"
"2018-08-27","81.5","82.85","80.6","82.2","135290"
"2018-08-24","79.2","81.95","79.2","80.9","151677"
