"Date","Open","High","Low","Close","Volume"
"2019-01-23","31.82","32.11","31.1103","31.57","198075"
"2019-01-22","31.13","31.79","31.01","31.78","435241"
"2019-01-18","32.27","32.39","30.62","31.16","1031455"
"2019-01-17","31.0","31.65","30.805","31.55","631057"
"2019-01-16","31.28","31.55","30.59","31.02","323710"
"2019-01-15","29.7","31.44","29.7","31.05","390520"
"2019-01-14","30.9","30.9","29.52","29.64","389415"
"2019-01-11","30.48","31.44","30.13","30.93","659483"
"2019-01-10","29.45","30.44","29.0701","30.35","448239"
"2019-01-09","29.22","30.035","28.9951","29.52","302234"
"2019-01-08","28.73","29.22","28.37","29.17","528719"
"2019-01-07","27.0","28.34","27.0","28.32","476846"
"2019-01-04","25.95","26.94","25.22","26.91","377144"
"2019-01-03","26.07","26.14","25.36","25.61","328662"
"2019-01-02","26.25","27.32","26.01","26.5","467792"
"2018-12-31","27.84","28.0","26.25","26.71","459942"
"2018-12-28","27.95","28.18","27.14","27.61","304810"
"2018-12-27","27.56","27.98","26.9586","27.8","310932"
"2018-12-26","26.17","27.89","26.17","27.82","411926"
"2018-12-24","24.65","26.21","24.65","25.9","333124"
"2018-12-21","25.42","25.42","24.0839","24.93","649341"
"2018-12-20","25.83","26.5722","24.44","25.47","473325"
"2018-12-19","26.03","27.45","25.53","26.06","428640"
"2018-12-18","25.66","26.38","25.0","26.07","527635"
"2018-12-17","26.42","26.78","24.8","25.13","504724"
"2018-12-14","26.6","27.2","26.3","26.73","409288"
"2018-12-13","28.5","29.01","26.33","26.65","903437"
"2018-12-12","29.6","30.24","28.95","29.22","297797"
"2018-12-11","29.86","30.51","28.955","29.06","275242"
"2018-12-10","28.43","29.8","28.42","29.46","300810"
"2018-12-07","29.99","30.04","28.26","28.46","380904"
"2018-12-06","28.06","29.65","27.62","29.52","666517"
"2018-12-04","30.0","30.9766","28.67","28.7","550467"
"2018-12-03","31.0","31.36","29.5802","30.05","426744"
"2018-11-30","29.47","30.4","29.36","30.06","395578"
"2018-11-29","29.5","29.7","28.79","29.19","366528"
"2018-11-28","28.0","29.63","27.95","29.09","502176"
"2018-11-27","26.98","27.74","26.2276","27.62","437881"
"2018-11-26","26.92","27.22","26.32","27.19","266373"
"2018-11-23","26.24","26.96","26.18","26.54","102238"
"2018-11-21","25.51","26.86","25.51","26.18","376964"
"2018-11-20","24.23","25.65","24.03","25.4","735047"
"2018-11-19","27.5","27.8525","24.52","25.52","605842"
"2018-11-16","27.02","27.9","26.8","27.55","412913"
"2018-11-15","26.55","27.39","26.3528","27.22","332153"
"2018-11-14","26.71","27.1391","25.44","26.66","306959"
"2018-11-13","26.76","27.17","25.84","26.53","256880"
"2018-11-12","25.38","26.76","25.1002","26.46","346527"
"2018-11-09","27.7","27.7","25.59","25.98","400913"
"2018-11-08","28.16","28.62","27.64","28.02","262247"
"2018-11-07","26.91","28.78","26.77","28.21","447212"
"2018-11-06","26.79","27.78","26.35","26.56","488681"
"2018-11-05","25.59","27.39","25.4271","27.16","578188"
"2018-11-02","27.0","28.0","24.8","25.59","943994"
"2018-11-01","26.24","26.35","24.63","26.09","952814"
"2018-10-31","25.77","26.21","24.84","25.71","488113"
"2018-10-30","23.75","25.68","23.5","25.33","481820"
"2018-10-29","24.54","25.08","23.15","23.51","443004"
"2018-10-26","23.59","24.8","23.51","24.14","424038"
"2018-10-25","23.14","25.02","23.105","24.51","554381"
"2018-10-24","24.31","24.89","22.61","22.99","487772"
"2018-10-23","23.75","24.5186","22.8","24.25","603253"
"2018-10-22","23.83","24.92","23.4","24.72","391392"
"2018-10-19","24.75","25.33","23.0","23.76","805424"
"2018-10-18","26.48","26.48","24.05","24.62","579926"
"2018-10-17","25.75","26.35","25.2","26.15","638259"
"2018-10-16","25.33","25.8725","24.2","25.17","574735"
"2018-10-15","26.26","27.0","25.0","25.31","572966"
"2018-10-12","25.74","26.3199","24.96","25.51","831500"
"2018-10-11","23.91","25.0","23.35","23.38","675294"
"2018-10-10","26.69","26.71","23.88","24.28","1065430"
"2018-10-09","27.01","27.83","25.71","27.0","657336"
"2018-10-08","28.86","28.9499","26.5","27.28","560378"
"2018-10-05","28.3","28.94","27.57","28.46","407868"
"2018-10-04","28.69","28.9","27.95","28.56","667218"
"2018-10-03","28.5","29.14","28.22","28.99","624700"
"2018-10-02","30.24","30.825","28.38","28.42","600330"
"2018-10-01","32.75","32.75","29.755","30.24","1535122"
"2018-09-28","33.38","33.86","32.8","33.1","267349"
"2018-09-27","34.05","34.5","33.6","33.66","209397"
"2018-09-26","34.4","34.4","33.38","34.14","225039"
"2018-09-25","34.46","34.89","34.07","34.23","254593"
"2018-09-24","33.8","34.5","33.0","34.32","387709"
"2018-09-21","35.57","35.9712","34.16","34.38","873637"
