"Date","Open","High","Low","Close","Volume"
"2019-01-10","37.97","37.97","37.97","37.97","0"
"2019-01-09","37.98","37.99","37.96","37.97","1707288"
"2019-01-08","37.97","38.02","37.96","37.98","1940231"
"2019-01-07","37.95","37.99","37.95","37.98","796895"
"2019-01-04","37.97","38.0","37.9","37.95","675137"
"2019-01-03","37.94","37.96","37.905","37.94","818283"
"2019-01-02","37.95","37.97","37.93","37.96","1197726"
"2018-12-31","37.94","37.97","37.91","37.96","438636"
"2018-12-28","37.92","37.96","37.89","37.94","707773"
"2018-12-27","37.91","37.94","37.77","37.94","799228"
"2018-12-26","37.9","37.99","37.85","37.93","684031"
"2018-12-24","37.85","37.99","37.81","37.89","383866"
"2018-12-21","37.87","37.95","37.73","37.89","1574569"
"2018-12-20","37.85","37.87","37.795","37.81","2294157"
"2018-12-19","37.86","37.9","37.81","37.85","817140"
"2018-12-18","37.84","37.89","37.8125","37.83","869766"
"2018-12-17","37.86","37.88","37.76","37.81","2390270"
"2018-12-14","37.83","37.89","37.82","37.84","650254"
"2018-12-13","37.88","37.9","37.83","37.83","4178719"
"2018-12-12","37.86","37.94","37.835","37.84","2117538"
"2018-12-11","37.9","37.9","37.82","37.87","1727736"
"2018-12-10","37.81","37.93","37.7","37.85","5523216"
"2018-12-07","38.1","38.15","37.88","38.03","786144"
"2018-12-06","37.8","38.41","37.7","38.21","1453190"
"2018-12-04","38.01","38.07","37.7","37.85","1247747"
"2018-12-03","38.16","38.2","38.01","38.06","668498"
"2018-11-30","38.05","38.22","37.96","38.16","1625470"
"2018-11-29","38.03","38.1","37.95","38.01","1520023"
"2018-11-28","37.94","38.14","37.91","38.12","1390930"
"2018-11-27","37.98","38.1","37.83","37.89","1327347"
"2018-11-26","38.09","38.21","37.93","38.08","1638598"
"2018-11-23","37.75","38.17","37.75","38.0","1458148"
"2018-11-21","37.66","37.88","37.66","37.84","1217796"
"2018-11-20","37.65","37.73","37.61","37.63","2791237"
"2018-11-19","37.69","37.8","37.66","37.7","4378564"
"2018-11-16","37.71","37.8","37.65","37.71","1590044"
"2018-11-15","37.77","37.845","37.69","37.71","2728140"
"2018-11-14","37.78","37.93","37.755","37.77","3546808"
"2018-11-13","37.63","38.1","37.63","37.75","6626860"
"2018-11-12","37.72","37.8","37.6","37.65","16683742"
"2018-11-09","25.52","25.54","24.48","24.85","377885"
