"Date","Open","High","Low","Close","Volume"
"2019-01-23","33.72","33.875","32.53","33.3","230364"
"2019-01-22","33.87","33.94","32.79","33.62","661156"
"2019-01-18","33.13","34.2","32.99","33.98","537502"
"2019-01-17","32.75","33.57","32.08","32.72","459332"
"2019-01-16","31.32","32.295","30.6","32.12","351683"
"2019-01-15","31.68","32.02","30.82","31.47","446024"
"2019-01-14","30.98","31.8999","30.67","31.5","362410"
"2019-01-11","31.4","31.69","30.46","31.36","507949"
"2019-01-10","31.95","31.95","31.1789","31.63","676525"
"2019-01-09","32.91","33.51","31.92","32.15","731557"
"2019-01-08","32.33","32.98","32.15","32.71","622814"
"2019-01-07","31.0","32.37","30.3","31.99","675199"
"2019-01-04","29.07","31.08","28.51","31.05","983514"
"2019-01-03","27.89","28.79","27.22","28.25","432037"
"2019-01-02","26.64","29.04","25.87","27.94","700613"
"2018-12-31","27.43","27.67","25.91","27.08","545050"
"2018-12-28","27.55","28.13","26.52","27.36","548068"
"2018-12-27","27.18","27.62","25.96","27.6","474423"
"2018-12-26","26.54","28.1","25.85","27.96","531875"
"2018-12-24","27.1","27.53","26.21","26.61","321126"
"2018-12-21","28.93","29.54","26.9901","27.49","1947565"
"2018-12-20","29.02","29.85","28.58","29.18","1078218"
"2018-12-19","30.48","30.66","29.12","29.47","818972"
"2018-12-18","29.68","31.07","29.4671","30.62","678822"
"2018-12-17","31.08","31.73","29.67","29.68","465408"
"2018-12-14","31.02","32.52","30.97","31.34","1005540"
"2018-12-13","31.13","31.9082","30.12","31.59","582750"
"2018-12-12","31.15","32.39","30.66","31.56","803882"
"2018-12-11","30.9","31.05","30.23","30.67","789958"
"2018-12-10","31.92","31.92","30.14","30.39","683520"
"2018-12-07","32.9","33.59","31.95","32.31","619397"
"2018-12-06","32.44","32.76","31.23","32.19","541321"
"2018-12-04","34.58","34.58","33.02","33.11","690229"
"2018-12-03","35.5","35.585","34.53","34.74","579649"
"2018-11-30","34.5","35.34","33.8987","34.28","609865"
"2018-11-29","34.77","35.4","34.26","35.06","402521"
"2018-11-28","34.22","34.99","33.79","34.88","455435"
"2018-11-27","34.14","34.96","33.87","34.06","406288"
"2018-11-26","35.14","35.7","33.62","34.22","931428"
"2018-11-23","35.35","36.105","34.57","34.91","183943"
"2018-11-21","36.4","37.71","36.4","36.76","255199"
"2018-11-20","36.89","37.51","35.57","36.04","538714"
"2018-11-19","37.17","38.6","36.95","37.9","633384"
"2018-11-16","36.81","37.73","36.34","37.46","246673"
"2018-11-15","35.99","37.025","35.51","36.62","431209"
"2018-11-14","37.31","37.31","34.33","36.19","890194"
"2018-11-13","37.79","38.5384","36.09","36.19","523715"
"2018-11-12","38.19","39.34","37.62","37.73","332693"
"2018-11-09","38.28","39.08","37.37","38.03","497287"
"2018-11-08","40.32","40.73","38.64","38.92","175383"
"2018-11-07","40.68","41.89","39.47","40.52","311283"
"2018-11-06","40.33","40.84","39.05","40.37","453048"
"2018-11-05","41.52","42.28","40.14","40.56","447360"
"2018-11-02","40.45","41.97","40.45","41.5","652106"
"2018-11-01","39.21","40.38","38.54","40.28","683678"
"2018-10-31","39.3","39.89","37.685","38.99","1363541"
"2018-10-30","37.85","39.48","37.4","39.35","673872"
"2018-10-29","39.35","39.4","37.25","37.82","422294"
"2018-10-26","37.7","39.94","37.01","39.1","346126"
"2018-10-25","37.76","39.07","37.415","38.47","397108"
"2018-10-24","38.82","39.41","37.09","37.12","383792"
"2018-10-23","39.29","40.22","37.34","38.66","520779"
