"Date","Open","High","Low","Close","Volume"
"2019-01-23","8.12","8.32","7.96","8.3","162273"
"2019-01-22","8.14","8.14","7.86","8.09","126381"
"2019-01-18","8.09","8.31","8.02","8.2","182408"
"2019-01-17","8.22","8.32","7.97","8.07","162161"
"2019-01-16","8.27","8.57","8.24","8.35","164851"
"2019-01-15","8.16","8.33","7.975","8.25","163921"
"2019-01-14","8.61","8.665","8.11","8.16","149512"
"2019-01-11","8.5","8.8","8.5","8.77","165405"
"2019-01-10","8.4","8.65","8.36","8.62","196387"
"2019-01-09","8.65","8.65","8.34","8.47","194917"
"2019-01-08","8.57","8.725","8.44","8.6","146594"
"2019-01-07","8.5","8.635","8.39","8.58","113112"
"2019-01-04","8.44","8.61","8.29","8.5","137396"
"2019-01-03","8.57","8.57","8.19","8.26","111787"
"2019-01-02","8.6","8.9","8.495","8.74","161520"
"2018-12-31","8.75","8.8","8.48","8.77","210205"
"2018-12-28","8.5","8.78","8.37","8.67","178644"
"2018-12-27","8.3","8.49","8.16","8.49","121107"
"2018-12-26","8.09","8.51","8.05","8.46","145004"
"2018-12-24","7.93","8.17","7.93","8.01","82304"
"2018-12-21","8.21","8.3","7.93","8.02","291308"
"2018-12-20","8.47","8.69","8.02","8.18","184473"
"2018-12-19","8.73","8.91","8.2","8.45","302123"
"2018-12-18","8.67","9.06","8.49","8.71","419394"
"2018-12-17","8.6","8.88","8.51","8.55","187776"
"2018-12-14","8.88","8.9306","8.67","8.68","208760"
"2018-12-13","9.21","9.4","9.0","9.02","192556"
"2018-12-12","9.25","9.44","9.06","9.19","154839"
"2018-12-11","9.01","9.34","8.966","9.04","173324"
"2018-12-10","8.84","9.095","8.62","8.88","226432"
"2018-12-07","9.15","9.24","8.75","8.84","205167"
"2018-12-06","8.89","9.29","8.72","9.2","210849"
"2018-12-04","9.67","9.73","8.93","8.97","265739"
"2018-12-03","9.91","9.97","9.57","9.68","218221"
"2018-11-30","9.75","9.85","9.5","9.75","148104"
