"Date","Open","High","Low","Close","Volume"
"2019-01-23","30.71","30.84","30.71","30.785","1351804"
"2019-01-22","30.79","30.83","30.65","30.69","4513227"
"2019-01-18","30.9","30.94","30.73","30.81","2521066"
"2019-01-17","30.9","30.975","30.86","30.9","1870032"
"2019-01-16","30.88","31.0","30.87","30.95","2857825"
"2019-01-15","30.78","30.97","30.74","30.89","3022893"
"2019-01-14","30.67","30.84","30.61","30.79","2699816"
"2019-01-11","30.61","30.71","30.595","30.7","1705281"
"2019-01-10","30.6","30.71","30.495","30.63","3249563"
"2019-01-09","30.71","30.745","30.51","30.59","4355418"
"2019-01-08","30.73","30.765","30.655","30.72","2356032"
"2019-01-07","30.5","30.76","30.5","30.73","3936887"
"2019-01-04","30.27","30.7","30.27","30.59","2145999"
"2019-01-03","30.26","30.53","30.17","30.26","1298708"
"2019-01-02","30.38","30.66","30.07","30.4","2674398"
"2018-12-31","30.5","30.62","30.34","30.57","1610711"
"2018-12-28","30.47","30.62","30.31","30.46","1876827"
"2018-12-27","29.7","30.53","29.5","30.52","3528847"
"2018-12-26","29.26","29.92","29.24","29.92","2837769"
"2018-12-24","29.5","29.69","28.82","29.15","2428615"
"2018-12-21","29.92","29.995","29.39","29.48","6172684"
"2018-12-20","30.1","30.15","29.86","29.95","8242978"
"2018-12-19","30.26","30.43","29.75","30.07","6670486"
"2018-12-18","30.55","30.6","29.84","30.23","7549231"
"2018-12-17","30.77","30.77","30.39","30.4","4981880"
"2018-12-14","30.8","30.84","30.68","30.69","2572661"
"2018-12-13","30.77","30.85","30.74","30.81","3099555"
"2018-12-12","30.89","30.89","30.72","30.74","6894753"
"2018-12-11","30.85","30.87","30.76","30.8","3730832"
"2018-12-10","30.79","30.88","30.7","30.75","7398185"
"2018-12-07","30.91","30.955","30.76","30.77","6280111"
"2018-12-06","30.82","30.98","30.8","30.98","4945454"
"2018-12-04","30.83","30.98","30.8","30.86","2746426"
"2018-12-03","30.95","31.02","30.8","30.83","2859428"
"2018-11-30","30.9","30.975","30.735","30.9","6109858"
"2018-11-29","30.88","30.93","30.84","30.9","2001951"
"2018-11-28","30.85","31.0","30.82","30.9","2936931"
"2018-11-27","30.91","30.96","30.72","30.79","9461063"
"2018-11-26","30.75","31.055","30.75","30.92","5713723"
"2018-11-23","30.68","30.82","30.62","30.73","1264143"
"2018-11-21","30.62","30.74","30.58","30.68","2315684"
"2018-11-20","30.62","30.73","30.54","30.6","6664988"
"2018-11-19","30.66","30.78","30.62","30.67","6905906"
"2018-11-16","30.68","30.72","30.56","30.67","10559071"
"2018-11-15","30.69","30.805","30.6","30.75","9300473"
"2018-11-14","30.77","30.83","30.6","30.7","13720583"
"2018-11-13","30.78","30.865","30.75","30.75","10363291"
"2018-11-12","30.73","30.96","30.67","30.78","5964335"
"2018-11-09","30.65","30.8","30.6","30.72","17455823"
"2018-11-08","30.85","30.9","30.57","30.68","74854621"
"2018-11-07","28.07","28.2","27.04","27.79","9194288"
"2018-11-06","24.74","24.98","24.52","24.97","1931018"
"2018-11-05","25.0","25.145","24.17","24.8","971500"
"2018-11-02","25.0","25.2","24.54","25.05","1920823"
"2018-11-01","24.91","25.66","24.4","24.98","2250299"
"2018-10-31","24.84","25.39","24.73","24.87","1387579"
"2018-10-30","23.81","24.79","23.4668","24.69","910179"
"2018-10-29","24.32","24.59","23.46","23.82","966592"
"2018-10-26","24.45","24.63","23.53","24.03","1241452"
"2018-10-25","24.0","24.98","23.765","24.75","4082003"
"2018-10-24","22.47","25.38","21.55","24.06","4803512"
"2018-10-23","22.93","23.1899","22.35","22.54","1143548"
"2018-10-22","23.32","23.55","23.13","23.29","775408"
"2018-10-19","23.11","23.53","22.94","23.28","771157"
"2018-10-18","23.27","23.6416","22.95","23.03","1171089"
"2018-10-17","22.9","23.355","22.56","23.3","961716"
"2018-10-16","22.69","22.95","22.375","22.92","1035494"
"2018-10-15","22.06","22.82","21.83","22.6","1549630"
"2018-10-12","23.27","23.44","22.73","23.13","1094756"
"2018-10-11","23.33","23.49","22.83","22.85","1095994"
"2018-10-10","24.02","24.13","23.38","23.39","899540"
"2018-10-09","24.75","24.77","24.11","24.13","827014"
"2018-10-08","24.75","24.875","24.57","24.79","820256"
"2018-10-05","25.4","25.56","24.55","24.84","921495"
"2018-10-04","25.71","25.71","25.33","25.48","674450"
