"Date","Open","High","Low","Close","Volume"
"2019-01-23","3.73","3.78","3.735","3.7501","441727"
"2019-01-22","3.8","3.8","3.69","3.72","1132513"
"2019-01-18","3.79","3.875","3.79","3.83","919537"
"2019-01-17","3.78","3.83","3.72","3.78","1225336"
"2019-01-16","3.78","3.795","3.74","3.76","682107"
"2019-01-15","3.7","3.8","3.7","3.77","760655"
"2019-01-14","3.68","3.715","3.61","3.65","1381259"
"2019-01-11","3.65","3.79","3.65","3.75","2177373"
"2019-01-10","3.67","3.69","3.62","3.65","357608"
"2019-01-09","3.58","3.67","3.58","3.66","688248"
"2019-01-08","3.52","3.5623","3.5","3.51","448201"
"2019-01-07","3.55","3.61","3.46","3.53","3496551"
"2019-01-04","3.54","3.59","3.48","3.5","4201071"
"2019-01-03","3.56","3.6","3.52","3.55","1122827"
"2019-01-02","3.57","3.69","3.56","3.67","757430"
"2018-12-31","3.7","3.79","3.67","3.75","857237"
"2018-12-28","3.71","3.8","3.7","3.72","839974"
"2018-12-27","3.71","3.74","3.63","3.72","891148"
"2018-12-26","3.58","3.75","3.58","3.75","839579"
"2018-12-24","3.6","3.67","3.51","3.65","536730"
"2018-12-21","3.74","3.81","3.65","3.65","692367"
"2018-12-20","3.79","3.855","3.76","3.8","944916"
"2018-12-19","3.84","3.9","3.745","3.77","718614"
"2018-12-18","3.82","3.91","3.79","3.84","645217"
"2018-12-17","3.79","3.86","3.78","3.81","1157890"
"2018-12-14","3.8","3.89","3.79","3.83","760809"
"2018-12-13","3.83","3.87","3.78","3.84","1067546"
"2018-12-12","3.81","3.89","3.77","3.83","1129072"
"2018-12-11","3.75","3.8","3.64","3.69","2090213"
"2018-12-10","3.75","3.81","3.685","3.76","1430020"
"2018-12-07","3.76","3.84","3.76","3.76","752143"
"2018-12-06","3.89","3.89","3.7","3.83","1743808"
"2018-12-04","4.15","4.16","3.97","4.01","1630802"
"2018-12-03","4.03","4.23","4.03","4.16","1511612"
"2018-11-30","3.94","3.94","3.87","3.91","2019268"
"2018-11-29","3.94","4.019","3.89","3.9","1356790"
"2018-11-28","3.97","4.04","3.92","4.03","1948890"
"2018-11-27","3.67","3.72","3.66","3.71","1217312"
"2018-11-26","3.63","3.68","3.62","3.66","1036416"
"2018-11-23","3.54","3.67","3.54","3.64","574525"
"2018-11-21","3.58","3.66","3.58","3.63","1068111"
"2018-11-20","3.6","3.66","3.57","3.65","2024172"
"2018-11-19","3.8","3.8","3.69","3.72","2100367"
"2018-11-16","3.83","3.83","3.76","3.79","1291625"
"2018-11-15","3.78","3.83","3.755","3.82","1578039"
"2018-11-14","3.77","3.83","3.75","3.75","642395"
"2018-11-13","3.83","3.83","3.76","3.79","382408"
"2018-11-12","3.88","3.885","3.82","3.85","900357"
"2018-11-09","3.88","3.88","3.8","3.85","603799"
"2018-11-08","3.96","3.96","3.895","3.91","522519"
"2018-11-07","3.93","3.97","3.89","3.97","477942"
"2018-11-06","3.9","3.95","3.88","3.92","466458"
"2018-11-05","3.94","3.98","3.92","3.96","888005"
"2018-11-02","4.02","4.1","3.95","3.99","284271"
"2018-11-01","3.94","4.09","3.93","4.08","1165952"
"2018-10-31","4.0","4.0","3.83","3.83","913242"
"2018-10-30","3.77","3.94","3.77","3.94","816223"
