"Date","Open","High","Low","Close","Volume"
"2019-01-23","20.06","20.24","19.84","19.91","151388"
"2019-01-22","20.36","20.44","19.88","19.99","393642"
"2019-01-18","20.36","20.59","20.31","20.5","299408"
"2019-01-17","19.9","20.22","19.87","20.21","283107"
"2019-01-16","19.71","20.06","19.71","19.96","280675"
"2019-01-15","19.63","19.77","19.4494","19.61","248621"
"2019-01-14","19.69","19.72","19.17","19.48","321553"
"2019-01-11","19.33","19.8","19.3","19.79","311685"
"2019-01-10","18.9","19.41","18.8946","19.41","206937"
"2019-01-09","19.1","19.21","18.87","18.98","474352"
"2019-01-08","19.18","19.18","18.72","19.09","391635"
"2019-01-07","18.59","19.21","18.4","18.99","454655"
"2019-01-04","17.83","18.55","17.83","18.51","499617"
"2019-01-03","17.51","17.9","17.39","17.53","517561"
"2019-01-02","16.99","17.92","16.895","17.64","496478"
"2018-12-31","17.2","17.33","16.83","17.24","456693"
"2018-12-28","16.95","17.39","16.95","17.16","499405"
"2018-12-27","16.54","16.94","16.31","16.93","409049"
"2018-12-26","16.21","16.8","15.75","16.78","491008"
"2018-12-24","16.18","16.6","16.09","16.19","326893"
"2018-12-21","16.77","16.95","16.2","16.21","1107594"
"2018-12-20","16.94","17.27","16.63","16.77","574963"
"2018-12-19","17.35","17.73","16.98","17.03","467634"
"2018-12-18","17.1","17.48","17.04","17.34","426693"
"2018-12-17","16.92","17.54","16.8601","17.04","636436"
"2018-12-14","17.0","17.355","16.83","16.92","491618"
"2018-12-13","17.25","17.37","17.07","17.24","367270"
"2018-12-12","17.36","17.4633","17.18","17.19","288795"
"2018-12-11","17.78","17.92","17.01","17.06","373954"
"2018-12-10","17.75","17.8","17.285","17.65","470648"
"2018-12-07","18.1","18.25","17.63","17.82","310442"
"2018-12-06","17.88","18.04","17.536","18.04","441245"
"2018-12-04","18.83","18.95","17.98","18.02","405523"
"2018-12-03","18.91","19.14","18.4703","18.9","364181"
"2018-11-30","18.49","18.72","18.2887","18.65","431916"
"2018-11-29","18.79","18.9","18.53","18.57","560178"
"2018-11-28","18.97","19.28","18.72","19.12","353681"
"2018-11-27","18.92","19.09","18.8129","18.98","204392"
"2018-11-26","19.08","19.43","18.99","19.05","419583"
"2018-11-23","18.86","19.24","18.83","18.99","102749"
"2018-11-21","19.01","19.31","19.0","19.04","168684"
