"Date","Open","High","Low","Close","Volume"
"2019-01-23","72.0","72.6","69.03","70.69","672475"
"2019-01-22","72.52","72.8994","71.1","71.98","910386"
"2019-01-18","71.81","73.67","70.011","73.52","1264141"
"2019-01-17","67.89","72.04","67.59","70.81","821648"
"2019-01-16","69.2","70.03","66.895","68.32","591355"
"2019-01-15","65.42","69.45","65.42","69.02","829517"
"2019-01-14","67.8","68.075","64.29","64.98","1125815"
"2019-01-11","68.04","70.11","67.564","69.08","1041674"
"2019-01-10","64.83","68.69","64.18","68.49","979027"
"2019-01-09","66.25","66.84","64.36","65.56","699284"
"2019-01-08","68.45","70.47","64.0","65.98","1260955"
"2019-01-07","62.56","67.71","61.79","67.64","1466498"
"2019-01-04","58.82","63.2","58.0","62.38","1036781"
"2019-01-03","57.0","58.92","56.24","57.33","738351"
"2019-01-02","58.12","59.4781","57.18","58.52","748727"
"2018-12-31","59.49","60.04","58.11","59.47","768223"
"2018-12-28","60.18","60.609","56.57","58.4","706147"
"2018-12-27","56.0","59.79","54.72","59.6","1094105"
"2018-12-26","52.2","57.48","51.25","57.48","1143836"
"2018-12-24","48.75","52.0","48.34","50.99","697587"
"2018-12-21","54.36","54.59","49.16","49.88","1598332"
"2018-12-20","60.1","61.56","52.01","53.65","1852757"
"2018-12-19","61.0","63.67","59.75","61.01","880365"
"2018-12-18","58.92","61.87","58.125","60.87","853477"
"2018-12-17","64.1","64.32","57.36","57.79","1267794"
"2018-12-14","61.48","64.69","61.05","64.42","786982"
"2018-12-13","62.86","64.18","62.02","62.74","417531"
"2018-12-12","62.96","64.89","62.16","62.24","1130637"
"2018-12-11","62.79","63.7","60.7301","61.59","841434"
"2018-12-10","58.99","62.64","58.64","61.42","1023948"
"2018-12-07","61.85","62.81","57.83","59.39","1212890"
"2018-12-06","56.28","60.83","55.0","59.85","1311598"
"2018-12-04","60.35","61.73","57.86","58.57","1059233"
"2018-12-03","62.54","63.33","59.41","61.0","959885"
"2018-11-30","58.16","60.33","58.1","60.18","828995"
"2018-11-29","56.25","59.52","56.25","58.36","629353"
"2018-11-28","55.28","56.81","53.44","56.65","1034454"
"2018-11-27","56.0","57.395","54.01","54.2","1160071"
"2018-11-26","54.88","57.27","53.35","56.5","687760"
"2018-11-23","51.44","54.44","51.44","53.85","198115"
"2018-11-21","51.92","53.36","50.54","52.41","683112"
"2018-11-20","50.0","51.88","47.07","50.69","1804371"
"2018-11-19","59.71","60.37","52.38","52.43","1234818"
"2018-11-16","59.62","61.8","59.04","60.34","768537"
"2018-11-15","57.59","60.75","57.53","60.61","1041206"
"2018-11-14","57.25","58.77","56.07","57.76","998707"
"2018-11-13","55.72","56.6878","53.23","56.07","816816"
"2018-11-12","56.9","57.0","52.75","55.59","1167233"
"2018-11-09","57.95","59.92","56.5","57.88","936512"
"2018-11-08","67.2","67.4","56.855","58.29","2845081"
"2018-11-07","54.5","59.24","54.34","58.64","2221837"
"2018-11-06","53.59","54.39","51.71","53.16","890539"
"2018-11-05","52.65","53.19","50.55","52.97","943126"
"2018-11-02","54.49","55.74","51.95","52.61","1053685"
"2018-11-01","53.02","54.55","51.25","54.31","1239039"
"2018-10-31","50.07","53.17","49.26","52.99","1700141"
"2018-10-30","44.1","48.57","43.69","48.48","1427894"
"2018-10-29","46.01","46.5267","43.25","44.23","836149"
"2018-10-26","45.53","46.56","43.0681","44.88","1030464"
"2018-10-25","43.54","47.0","43.49","46.51","1165150"
"2018-10-24","44.91","45.67","42.75","42.81","994125"
"2018-10-23","42.43","45.05","42.23","44.79","965196"
"2018-10-22","43.64","44.852","42.41","44.36","824183"
"2018-10-19","47.8","48.1452","43.06","43.17","1347423"
"2018-10-18","49.56","50.0","46.505","47.35","597676"
"2018-10-17","50.71","51.24","49.27","49.93","695037"
"2018-10-16","47.34","50.27","46.75","50.22","944986"
"2018-10-15","46.6","47.91","44.84","46.55","694500"
"2018-10-12","48.33","48.99","46.01","46.93","1124660"
"2018-10-11","48.24","49.26","45.21","45.34","2254077"
"2018-10-10","52.0","52.0","48.71","49.05","2959384"
"2018-10-09","50.46","52.85","50.31","51.86","816461"
"2018-10-08","52.53","53.6095","50.73","52.08","1229222"
"2018-10-05","54.51","55.58","52.395","53.4","2029648"
"2018-10-04","55.34","55.58","53.16","55.0","1205981"
"2018-10-03","55.12","55.83","54.51","55.62","551574"
"2018-10-02","56.58","56.58","53.62","54.94","991278"
"2018-10-01","57.21","57.9","56.23","56.77","668989"
"2018-09-28","59.11","59.19","56.3","57.21","1265081"
"2018-09-27","60.74","61.25","58.05","59.31","720506"
"2018-09-26","61.83","62.7","60.555","60.65","1163131"
"2018-09-25","60.72","61.8","60.12","61.76","856453"
"2018-09-24","58.98","61.53","57.82","60.52","1008458"
"2018-09-21","58.9","59.99","58.52","58.98","1071094"
"2018-09-20","57.74","58.52","55.89","58.21","862280"
"2018-09-19","58.75","58.9319","56.12","57.43","723322"
"2018-09-18","57.59","59.49","57.07","58.75","1108184"
"2018-09-17","60.31","60.35","56.66","56.8","1310729"
"2018-09-14","60.7","61.58","59.74","60.55","768251"
"2018-09-13","62.48","63.18","60.13","60.65","477658"
"2018-09-12","62.0","62.94","60.41","61.74","933595"
"2018-09-11","60.75","62.1","60.29","61.97","1188505"
