"Date","Open","High","Low","Close","Volume"
"2019-01-23","57.5","57.82","52.6","54.65","8949922"
"2019-01-22","60.45","60.85","60.03","60.47","1253388"
"2019-01-18","60.29","60.92","59.685","60.81","772527"
"2019-01-17","59.31","60.23","59.08","59.95","739576"
"2019-01-16","59.78","59.8","59.32","59.5","648863"
"2019-01-15","59.42","60.3761","59.07","59.6","495716"
"2019-01-14","59.55","60.11","59.39","59.4","454289"
"2019-01-11","59.54","60.06","58.77","60.0","601443"
"2019-01-10","59.02","59.82","58.4301","59.76","587238"
"2019-01-09","59.13","59.8","58.88","59.28","577979"
"2019-01-08","59.02","59.7347","58.45","59.14","512571"
"2019-01-07","58.14","59.08","58.09","58.65","584372"
"2019-01-04","57.92","58.66","57.74","58.34","792545"
"2019-01-03","57.8","58.33","57.19","57.2","977525"
"2019-01-02","58.03","58.29","57.5","58.24","720833"
"2018-12-31","58.12","58.63","57.84","58.58","467568"
"2018-12-28","58.29","58.645","57.86","57.95","434882"
"2018-12-27","57.57","58.3","56.31","58.29","554979"
"2018-12-26","57.06","58.14","55.89","58.08","597996"
"2018-12-24","57.49","57.58","56.74","56.76","477063"
"2018-12-21","59.09","59.7993","57.77","57.9","1281306"
"2018-12-20","58.45","60.07","57.91","58.57","1159943"
"2018-12-19","58.24","59.637","58.24","58.64","1220723"
"2018-12-18","59.32","59.99","58.28","58.35","705467"
"2018-12-17","59.37","59.82","58.76","58.91","919869"
"2018-12-14","59.75","60.4","59.44","59.56","798220"
"2018-12-13","60.36","60.87","59.63","60.01","1759687"
"2018-12-12","60.6","60.88","59.92","60.06","970321"
"2018-12-11","60.2","60.81","59.58","60.04","1251379"
"2018-12-10","60.15","60.54","58.915","59.62","2185543"
"2018-12-07","62.36","63.7","60.28","60.29","1646778"
"2018-12-06","63.08","63.51","61.83","62.47","1860652"
"2018-12-04","65.15","65.87","63.73","63.8","742552"
"2018-12-03","65.7","65.7","65.02","65.58","453800"
"2018-11-30","64.84","64.96","64.3","64.91","795874"
