"Date","Open","High","Low","Close","Volume"
"2019-01-23","3.39","3.5","3.4","3.47","130705"
"2019-01-22","3.43","3.52","3.38","3.39","103043"
"2019-01-18","3.49","3.575","3.44","3.46","238978"
"2019-01-17","3.48","3.58","3.48","3.49","226715"
"2019-01-16","3.49","3.5646","3.445","3.5","131610"
"2019-01-15","3.37","3.48","3.37","3.46","194111"
"2019-01-14","3.42","3.45","3.37","3.37","206027"
"2019-01-11","3.39","3.45","3.35","3.43","192953"
"2019-01-10","3.41","3.49","3.41","3.44","111463"
"2019-01-09","3.47","3.49","3.42","3.44","119306"
"2019-01-08","3.35","3.5","3.35","3.47","162957"
"2019-01-07","3.31","3.4","3.31","3.35","161105"
"2019-01-04","3.29","3.36","3.25","3.33","262465"
"2019-01-03","3.27","3.42","3.235","3.25","196094"
"2019-01-02","3.22","3.34","3.21","3.3","215200"
"2018-12-31","3.27","3.32","3.22","3.26","209986"
"2018-12-28","3.27","3.34","3.25","3.27","169215"
"2018-12-27","3.28","3.39","3.2","3.25","257080"
"2018-12-26","3.23","3.32","3.2","3.31","210472"
"2018-12-24","3.24","3.28","3.19","3.21","110473"
"2018-12-21","3.28","3.31","3.24","3.26","569373"
"2018-12-20","3.27","3.32","3.235","3.28","240927"
"2018-12-19","3.39","3.42","3.27","3.3","383640"
"2018-12-18","3.4","3.41","3.32","3.37","232564"
"2018-12-17","3.35","3.4","3.3285","3.35","317443"
"2018-12-14","3.41","3.51","3.35","3.36","600036"
"2018-12-13","3.62","3.65","3.39","3.4","590849"
"2018-12-12","3.68","3.705","3.615","3.64","118866"
"2018-12-11","3.55","3.66","3.5162","3.65","279013"
"2018-12-10","3.44","3.53","3.43","3.52","235590"
"2018-12-07","3.5","3.5511","3.4","3.43","445620"
"2018-12-06","3.57","3.61","3.535","3.58","306845"
"2018-12-04","3.62","3.64","3.58","3.62","290786"
"2018-12-03","3.67","3.71","3.59","3.66","428425"
"2018-11-30","3.64","3.68","3.62","3.66","103801"
"2018-11-29","3.7","3.73","3.635","3.65","344293"
"2018-11-28","3.74","3.79","3.71","3.74","187670"
"2018-11-27","3.74","3.78","3.69","3.72","335740"
"2018-11-26","3.81","3.87","3.74","3.75","434275"
"2018-11-23","3.81","3.86","3.78","3.79","99102"
"2018-11-21","3.75","3.9","3.75","3.84","208517"
"2018-11-20","3.75","3.87","3.7245","3.75","243661"
"2018-11-19","3.89","3.92","3.75","3.79","391334"
"2018-11-16","3.96","4.04","3.88","3.89","201382"
"2018-11-15","3.85","4.02","3.85","4.0","148170"
"2018-11-14","3.97","4.01","3.85","3.9","137503"
"2018-11-13","3.94","4.05","3.92","3.94","440638"
"2018-11-12","3.93","3.98","3.92","3.95","252518"
"2018-11-09","3.94","4.05","3.93","3.96","246665"
"2018-11-08","3.91","3.95","3.86","3.95","409812"
"2018-11-07","3.93","3.99","3.89","3.97","161696"
"2018-11-06","3.79","3.97","3.79","3.95","192465"
"2018-11-05","3.78","3.9","3.77","3.82","283280"
"2018-11-02","3.69","3.84","3.69","3.78","303991"
"2018-11-01","4.03","4.03","3.62","3.68","540372"
"2018-10-31","3.87","3.92","3.8","3.83","357869"
"2018-10-30","3.92","3.92","3.83","3.85","183538"
"2018-10-29","4.0","4.04","3.87","3.89","201825"
"2018-10-26","3.95","4.045","3.92","3.96","305735"
"2018-10-25","3.98","4.0","3.9101","3.97","184238"
"2018-10-24","3.97","3.99","3.91","3.97","341635"
"2018-10-23","3.95","4.01","3.9194","3.98","293414"
"2018-10-22","3.97","4.06","3.97","3.99","109753"
"2018-10-19","4.0","4.03","3.947","3.97","231239"
