"Date","Open","High","Low","Close","Volume"
"2019-01-23","4.98","5.09","4.8336","4.905","90296"
"2019-01-22","5.05","5.29","4.92","4.97","211557"
"2019-01-18","4.99","5.1","4.88","5.03","202857"
"2019-01-17","5.06","5.18","4.92","4.95","239492"
"2019-01-16","5.11","5.11","5.03","5.05","184883"
"2019-01-15","5.09","5.14","5.0","5.1","152252"
"2019-01-14","5.2","5.2","5.03","5.09","126614"
"2019-01-11","5.3","5.3","4.99","5.24","187263"
"2019-01-10","5.38","5.58","5.23","5.3","121839"
"2019-01-09","5.18","5.459","5.15","5.41","165906"
"2019-01-08","5.15","5.29","5.05","5.15","290511"
"2019-01-07","4.84","5.13","4.84","5.11","131549"
"2019-01-04","4.59","4.94","4.54","4.85","132333"
"2019-01-03","4.53","4.6692","4.44","4.5","117916"
"2019-01-02","4.28","4.69","4.28","4.66","140855"
"2018-12-31","4.3","4.44","4.1","4.4","230063"
"2018-12-28","4.43","4.43","4.26","4.3","268471"
"2018-12-27","4.37","4.415","4.2503","4.4","171687"
"2018-12-26","4.37","4.47","4.18","4.39","242496"
"2018-12-24","4.42","4.5","4.3","4.36","84693"
"2018-12-21","4.42","4.45","4.26","4.42","292706"
"2018-12-20","4.45","4.5","4.26","4.43","156894"
"2018-12-19","4.71","4.82","4.39","4.48","196286"
"2018-12-18","4.85","4.98","4.66","4.67","133992"
"2018-12-17","4.76","5.055","4.7139","4.8","166315"
"2018-12-14","4.69","4.86","4.68","4.76","123555"
"2018-12-13","4.92","5.03","4.68","4.74","91144"
"2018-12-12","4.94","5.0","4.855","4.91","94564"
"2018-12-11","4.88","4.945","4.69","4.84","96178"
"2018-12-10","4.66","5.06","4.5203","4.74","213918"
"2018-12-07","4.98","5.0","4.6","4.64","264332"
"2018-12-06","5.07","5.07","4.94","4.98","255497"
"2018-12-04","5.4","5.49","5.1","5.13","208224"
"2018-12-03","5.5","5.53","5.3499","5.41","194360"
"2018-11-30","5.09","5.325","5.06","5.31","84428"
"2018-11-29","5.08","5.16","5.01","5.14","150258"
"2018-11-28","5.24","5.3308","5.05","5.14","186902"
"2018-11-27","5.3","5.39","5.19","5.27","100632"
"2018-11-26","5.34","5.48","5.27","5.4","117710"
"2018-11-23","5.24","5.43","5.22","5.27","77949"
"2018-11-21","5.3","5.4","5.16","5.28","162894"
"2018-11-20","4.87","5.32","4.84","5.31","251708"
"2018-11-19","5.1","5.13","4.94","5.0","117758"
"2018-11-16","5.05","5.2","5.01","5.13","112763"
"2018-11-15","4.92","5.24","4.87","5.15","234480"
"2018-11-14","4.9","5.18","4.82","4.99","356869"
"2018-11-13","4.88","5.01","4.72","4.78","309296"
"2018-11-12","5.36","5.41","4.77","4.82","339381"
"2018-11-09","5.26","5.5","4.81","5.31","528144"
"2018-11-08","4.82","5.4538","4.82","5.27","621580"
"2018-11-07","4.57","4.7","4.45","4.62","332931"
"2018-11-06","4.54","4.64","4.36","4.49","196020"
"2018-11-05","4.46","4.57","4.33","4.49","169990"
"2018-11-02","4.31","4.4685","4.28","4.44","217835"
"2018-11-01","4.1","4.38","4.0","4.33","231728"
"2018-10-31","4.07","4.1","3.86","3.99","293229"
"2018-10-30","3.76","4.075","3.76","4.03","330543"
"2018-10-29","3.6","3.99","3.56","3.775","494266"
"2018-10-26","3.84","3.9","3.51","3.53","786997"
"2018-10-25","3.88","3.98","3.77","3.93","345354"
"2018-10-24","4.15","4.15","3.85","3.87","356037"
"2018-10-23","4.05","4.34","4.03","4.15","290619"
"2018-10-22","4.24","4.29","4.09","4.16","322315"
"2018-10-19","4.47","4.52","4.2","4.24","396258"
"2018-10-18","4.52","4.55","4.39","4.47","524715"
"2018-10-17","4.54","4.56","4.37","4.55","278247"
"2018-10-16","4.66","4.7499","4.5","4.53","429396"
"2018-10-15","4.5","4.62","4.43","4.58","387415"
"2018-10-12","4.77","4.99","4.42","4.51","488238"
"2018-10-11","4.93","5.09","4.55","4.63","693862"
"2018-10-10","5.33","5.36","5.0","5.0","432425"
"2018-10-09","5.3","5.42","5.2","5.37","281766"
"2018-10-08","5.25","5.39","5.09","5.3","256986"
"2018-10-05","5.69","5.69","5.25","5.27","375866"
"2018-10-04","5.96","5.96","5.41","5.59","341224"
"2018-10-03","5.83","6.07","5.8","5.99","236041"
"2018-10-02","5.85","6.0","5.7214","5.82","191611"
"2018-10-01","5.96","6.08","5.84","5.89","200999"
"2018-09-28","5.75","5.95","5.6","5.95","177781"
"2018-09-27","5.75","5.8","5.69","5.75","111631"
"2018-09-26","5.85","5.9","5.65","5.75","205776"
"2018-09-25","6.0","6.1279","5.8","5.85","185518"
"2018-09-24","6.4","6.4","5.95","6.0","259502"
"2018-09-21","6.25","6.45","6.15","6.4","927498"
"2018-09-20","6.1","6.35","6.075","6.3","278634"
"2018-09-19","6.3","6.3","6.0","6.1","246927"
"2018-09-18","6.15","6.3","6.0","6.05","289378"
"2018-09-17","6.35","6.6","6.1","6.15","674900"
"2018-09-14","5.85","6.4273","5.85","6.3","326786"
"2018-09-13","6.05","6.15","5.75","5.85","355284"
"2018-09-12","6.2","6.3","5.9","6.0","566541"
"2018-09-11","5.75","6.25","5.75","6.15","757409"
"2018-09-10","5.8","5.85","5.7","5.8","160207"
"2018-09-07","5.8","5.9","5.65","5.75","318347"
"2018-09-06","5.9","6.025","5.8","5.8","190515"
"2018-09-05","5.85","6.2","5.75","5.925","337077"
"2018-09-04","6.0","6.125","5.8","5.9","253315"
"2018-08-31","5.9","6.325","5.9","6.05","558009"
"2018-08-30","5.6","6.0","5.5","5.9","315281"
"2018-08-29","5.75","5.8","5.5","5.55","478413"
"2018-08-28","5.8","5.95","5.7","5.7","244851"
"2018-08-27","5.8","6.0","5.6","5.85","600501"
"2018-08-24","5.5","5.75","5.475","5.7","426740"
"2018-08-23","5.7","5.74","5.45","5.45","315094"
"2018-08-22","5.65","5.75","5.55","5.7","335930"
"2018-08-21","5.65","5.775","5.65","5.65","295441"
"2018-08-20","5.5","5.84","5.5","5.7","636962"
"2018-08-17","5.35","5.55","5.35","5.5","260290"
"2018-08-16","5.35","5.55","5.35","5.4","353573"
"2018-08-15","5.55","5.55","5.2","5.35","437030"
"2018-08-14","5.35","5.6","5.3","5.55","583549"
"2018-08-13","5.5","5.59","5.2","5.35","286525"
"2018-08-10","5.7","5.77","5.4","5.45","376005"
"2018-08-09","5.25","5.91","5.25","5.75","770402"
"2018-08-08","5.1","5.2","4.874","5.1","520529"
"2018-08-07","5.15","5.225","5.075","5.1","356005"
"2018-08-06","5.05","5.15","5.0","5.15","435579"
"2018-08-03","5.25","5.25","5.05","5.05","548092"
"2018-08-02","5.2","5.3","4.7","5.3","1388681"
"2018-08-01","5.5","5.55","5.275","5.35","553957"
"2018-07-31","5.55","5.75","5.35","5.5","463824"
"2018-07-30","6.0","6.0","5.41","5.6","849016"
"2018-07-27","5.9","5.95","5.71","5.85","340641"
"2018-07-26","5.85","5.96","5.8","5.85","252416"
"2018-07-25","6.0","6.1","5.85","5.85","455522"
"2018-07-24","5.85","6.05","5.85","6.05","577900"
"2018-07-23","5.75","5.95","5.65","5.8","576683"
"2018-07-20","6.0","6.025","5.65","5.7","1201651"
"2018-07-19","5.9","6.05","5.85","6.0","434935"
"2018-07-18","6.1","6.275","5.76","5.85","891474"
"2018-07-17","5.75","6.25","5.7","6.2","1164262"
"2018-07-16","6.05","6.1","5.7","5.7","1352024"
"2018-07-13","6.15","6.15","5.605","5.7","1387412"
"2018-07-12","6.05","6.15","5.95","6.075","1068552"
"2018-07-11","6.15","6.35","5.9","6.0","4126439"
"2018-07-10","6.5","6.95","6.4","6.8","825557"
"2018-07-09","8.4","8.4","6.35","6.4","1819678"
"2018-07-06","8.45","8.55","8.4","8.5","82755"
"2018-07-05","8.35","8.55","8.2","8.5","146732"
"2018-07-03","8.35","8.6","8.25","8.3","97484"
"2018-07-02","8.4","8.55","8.2","8.4","118317"
"2018-06-29","9.2","9.5","8.3","8.4","469879"
"2018-06-28","8.85","8.85","8.55","8.8","153384"
"2018-06-27","9.2","9.255","8.8","8.85","197402"
"2018-06-26","8.5","9.4","8.448","9.05","620251"
"2018-06-25","8.8","8.8","8.3","8.55","186740"
"2018-06-22","8.5","8.95","8.36","8.85","2137249"
"2018-06-21","9.05","9.1802","8.3","8.5","460532"
"2018-06-20","9.25","9.45","8.85","9.05","104584"
"2018-06-19","9.45","9.55","8.86","9.25","152240"
"2018-06-18","9.5","10.8","9.45","9.5","399522"
"2018-06-15","9.5","9.6","9.3","9.55","129668"
"2018-06-14","9.3","9.55","9.3","9.45","107457"
"2018-06-13","9.5","9.54","8.85","9.35","178507"
"2018-06-12","9.4","9.5","9.4","9.5","81497"
"2018-06-11","9.35","9.6","9.25","9.4","81562"
"2018-06-08","9.3","9.3502","9.1","9.3","92448"
"2018-06-07","9.25","9.54","9.2","9.3","116934"
"2018-06-06","9.2","9.35","9.0","9.3","131769"
"2018-06-05","9.3","9.64","9.15","9.2","129642"
"2018-06-04","9.25","9.45","9.15","9.25","74183"
"2018-06-01","9.1","9.35","9.05","9.3","116097"
"2018-05-31","9.1","9.245","8.85","9.1","114883"
"2018-05-30","9.4","9.45","8.8","9.0","186556"
"2018-05-29","9.05","9.4","9.05","9.3","265356"
"2018-05-25","9.15","9.25","9.0","9.05","86483"
"2018-05-24","8.8","9.2","8.8","9.15","136525"
"2018-05-23","8.3","8.8","8.3","8.75","145678"
"2018-05-22","8.75","8.85","8.3","8.5","145395"
"2018-05-21","8.65","8.85","8.6","8.75","120860"
"2018-05-18","8.7","8.75","8.51","8.65","123140"
"2018-05-17","8.7","8.8","8.55","8.7","86638"
"2018-05-16","8.75","8.9","8.55","8.7","135399"
"2018-05-15","8.8","8.975","8.65","8.7","146242"
"2018-05-14","8.95","9.0","8.35","8.85","325079"
"2018-05-11","8.85","9.0","8.75","8.85","162348"
"2018-05-10","8.75","8.95","8.05","8.85","449976"
"2018-05-09","8.15","8.7","8.15","8.7","219663"
"2018-05-08","8.05","8.272","8.0","8.1","117881"
"2018-05-07","8.5","8.6","8.0","8.15","176610"
"2018-05-04","8.45","8.5","8.2","8.4","201435"
"2018-05-03","8.55","8.95","8.4","8.55","143141"
"2018-05-02","9.55","9.95","8.25","8.4","553641"
"2018-05-01","9.0","9.85","8.9436","9.45","518142"
"2018-04-30","8.8","9.049","8.7","9.0","225899"
"2018-04-27","8.65","8.9","8.532","8.7","155009"
"2018-04-26","8.6","8.625","8.448","8.6","83011"
"2018-04-25","8.55","8.7","8.41","8.5","78287"
"2018-04-24","8.7","8.7","8.1","8.45","161889"
"2018-04-23","8.85","8.85","8.566","8.7","76163"
"2018-04-20","8.8","8.9","8.495","8.75","93378"
"2018-04-19","8.95","9.0","8.65","8.8","115162"
"2018-04-18","9.05","9.1","8.75","8.95","123745"
"2018-04-17","9.0","9.0","8.65","9.0","161949"
"2018-04-16","9.0","9.0","8.625","8.8","218544"
"2018-04-13","8.95","9.0","8.55","8.75","145830"
"2018-04-12","9.05","9.15","8.65","8.9","165053"
"2018-04-11","8.4","9.0","8.1","8.85","481532"
"2018-04-10","7.45","8.75","7.4","8.4","1090634"
"2018-04-09","7.6","7.6","7.4","7.4","63663"
"2018-04-06","7.4","7.7","7.36","7.6","105979"
"2018-04-05","7.55","7.6","7.44","7.5","45799"
"2018-04-04","7.55","7.6","7.36","7.55","97821"
"2018-04-03","7.2","7.75","7.1","7.65","113086"
"2018-04-02","7.4","7.5","7.05","7.15","71688"
"2018-03-29","7.1","7.6","7.05","7.4","64576"
"2018-03-28","7.25","7.5","6.95","7.1","87493"
"2018-03-27","7.5","7.7","7.24","7.3","85024"
"2018-03-26","7.4","7.55","7.3","7.4","116936"
"2018-03-23","7.55","7.85","7.2","7.25","93232"
"2018-03-22","7.75","7.75","7.355","7.5","115311"
"2018-03-21","7.7","7.85","7.45","7.7","106687"
"2018-03-20","7.15","7.7","7.05","7.6","246981"
"2018-03-19","7.15","7.15","6.9","6.9","69660"
"2018-03-16","7.05","7.056","6.9","7.0","33081"
"2018-03-15","6.95","7.1","6.95","7.0","57415"
"2018-03-14","6.75","6.9","6.65","6.85","109079"
"2018-03-13","6.55","6.7565","6.55","6.65","42425"
"2018-03-12","6.45","6.6","6.35","6.5","135402"
"2018-03-09","6.3","6.6","6.3","6.45","148356"
"2018-03-08","6.5","6.6","6.3","6.3","87171"
"2018-03-07","6.95","7.15","6.45","6.45","100742"
"2018-03-06","6.85","7.15","6.85","6.95","114195"
"2018-03-05","6.85","6.875","6.6","6.85","36820"
"2018-03-02","6.7","6.9","6.51","6.9","56201"
"2018-03-01","6.45","6.8","6.35","6.8","81571"
"2018-02-28","6.55","6.6","6.4","6.45","112399"
"2018-02-27","6.5","6.6","6.45","6.6","54095"
"2018-02-26","6.55","6.55","6.3","6.5","52645"
"2018-02-23","6.55","6.55","6.31","6.5","33844"
"2018-02-22","6.55","6.55","6.3","6.45","105222"
"2018-02-21","6.45","6.65","6.35","6.5","65230"
"2018-02-20","6.35","6.55","6.3","6.5","69131"
"2018-02-16","6.55","6.65","6.3","6.45","92373"
"2018-02-15","6.35","6.7","6.2","6.6","122917"
"2018-02-14","6.4","6.7","5.9719","6.35","364781"
"2018-02-13","6.7","6.8","6.3","6.65","97166"
"2018-02-12","6.45","6.7","6.2","6.6","51951"
"2018-02-09","5.9","6.5","5.85","6.45","189996"
"2018-02-08","6.6","6.6575","5.8","5.8","359260"
"2018-02-07","6.55","6.95","6.46","6.6","64763"
"2018-02-06","5.9","6.75","5.9","6.6","136872"
"2018-02-05","6.0","6.3246","5.95","5.95","91389"
"2018-02-02","6.2","6.2252","5.8","6.0","456909"
"2018-02-01","6.55","6.6","6.25","6.25","182991"
"2018-01-31","6.6","6.85","6.5","6.6","148019"
"2018-01-30","6.95","6.95","6.55","6.55","118805"
"2018-01-29","7.05","7.19","6.65","6.85","118629"
"2018-01-26","7.15","7.25","6.9","7.05","77891"
"2018-01-25","7.5","7.5","7.0","7.1","61192"
"2018-01-24","7.05","7.55","6.85","7.35","126274"
"2018-01-23","7.2","7.35","6.95","7.05","42526"
"2018-01-22","7.65","7.65","7.05","7.15","94406"
"2018-01-19","7.05","7.6","7.005","7.45","152175"
