"Date","Open","High","Low","Close","Volume"
"2019-01-23","66.28","67.28","65.87","66.49","209604"
"2019-01-22","67.4","67.435","65.03","66.25","346757"
"2019-01-18","67.65","68.85","66.41","67.85","174097"
"2019-01-17","66.75","67.68","66.03","67.25","115169"
"2019-01-16","67.01","68.8","67.01","67.2","185800"
"2019-01-15","65.05","67.21","65.05","66.78","312788"
"2019-01-14","64.63","66.352","63.35","65.04","599417"
"2019-01-11","64.49","65.53","64.285","65.11","139029"
"2019-01-10","65.94","66.52","63.89","64.69","713581"
"2019-01-09","64.0","67.875","62.75","66.08","303317"
"2019-01-08","63.78","63.97","61.54","63.51","171822"
"2019-01-07","62.75","64.55","61.195","63.45","218198"
"2019-01-04","62.08","63.34","61.42","62.42","223438"
"2019-01-03","62.2","62.2","59.49","61.14","122999"
"2019-01-02","61.5","63.565","59.9","62.96","129808"
"2018-12-31","62.1","63.21","61.01","62.44","110751"
"2018-12-28","59.09","62.46","57.66","61.7","175163"
"2018-12-27","60.44","62.505","57.39","59.06","166592"
"2018-12-26","59.25","61.36","58.81","61.15","159089"
"2018-12-24","57.75","59.82","57.3042","58.74","64172"
"2018-12-21","58.98","59.6","57.06","58.1","263882"
"2018-12-20","61.64","63.37","58.47","58.81","403527"
"2018-12-19","68.04","69.9","61.58","62.01","318982"
"2018-12-18","69.44","69.83","68.02","68.03","121930"
"2018-12-17","68.06","70.01","67.185","68.68","215536"
"2018-12-14","67.74","69.84","67.14","68.49","269582"
"2018-12-13","69.24","70.0","67.4","68.29","198799"
"2018-12-12","69.0","70.0","67.56","68.84","192805"
"2018-12-11","68.29","69.01","64.7364","68.51","150245"
"2018-12-10","68.8","69.67","66.59","67.6","297753"
"2018-12-07","67.99","68.97","67.02","68.79","436659"
"2018-12-06","66.96","68.14","64.08","67.98","262997"
"2018-12-04","71.79","72.05","67.97","68.43","303084"
"2018-12-03","72.34","74.43","70.705","72.31","436389"
"2018-11-30","64.2","68.39","63.75","68.08","345208"
"2018-11-29","64.09","64.37","62.9275","64.0","177999"
"2018-11-28","62.72","64.56","62.0","64.44","159977"
"2018-11-27","62.44","63.22","61.15","62.61","151964"
