"Date","Open","High","Low","Close","Volume"
"2019-01-23","60.69","61.14","59.73","60.05","522573"
"2019-01-22","59.16","60.1","58.25","60.06","891274"
"2019-01-18","60.0","61.23","59.42","60.26","1374066"
"2019-01-17","57.01","59.85","57.01","59.5","757024"
"2019-01-16","57.5","58.705","57.21","57.8","715897"
"2019-01-15","55.84","57.4895","55.835","57.14","857155"
"2019-01-14","55.71","56.1","55.0","55.21","570530"
"2019-01-11","56.55","56.99","55.52","56.47","517104"
"2019-01-10","57.38","58.27","56.28","57.08","798000"
"2019-01-09","58.0","58.57","56.99","58.19","941006"
"2019-01-08","59.09","59.568","56.94","57.53","660324"
"2019-01-07","56.88","58.67","56.28","58.64","521350"
"2019-01-04","53.02","57.27","52.595","56.89","979642"
"2019-01-03","53.91","54.16","51.33","51.78","819529"
"2019-01-02","52.69","55.63","52.09","55.02","524225"
"2018-12-31","55.38","55.94","53.85","54.21","464240"
"2018-12-28","54.15","55.31","53.48","54.45","1001176"
"2018-12-27","52.95","54.08","52.41","54.0","496720"
"2018-12-26","52.36","53.87","50.724","53.82","525252"
"2018-12-24","50.58","52.43","50.3","51.88","572326"
"2018-12-21","55.36","55.96","51.18","51.25","1894943"
"2018-12-20","54.02","55.17","53.23","54.94","1450957"
"2018-12-19","57.38","58.325","53.665","54.06","1836711"
"2018-12-18","58.8","58.91","56.45","57.03","1725382"
"2018-12-17","59.62","60.02","58.09","58.51","805998"
"2018-12-14","59.21","60.37","58.4","60.0","711618"
"2018-12-13","62.0","62.89","59.82","60.54","1013868"
"2018-12-12","62.0","63.75","61.72","61.81","700447"
"2018-12-11","59.26","61.47","59.03","61.07","1005684"
"2018-12-10","57.45","58.785","56.935","57.98","755012"
"2018-12-07","59.52","59.94","57.725","58.06","667352"
"2018-12-06","57.59","59.88","55.77","59.71","738897"
"2018-12-04","60.8","61.62","58.911","59.58","950339"
"2018-12-03","62.25","63.05","60.43","61.16","941061"
"2018-11-30","57.4","59.82","56.53","59.59","691295"
"2018-11-29","57.97","58.58","56.02","57.24","750617"
"2018-11-28","58.22","58.94","57.33","58.7","1213988"
"2018-11-27","54.97","57.51","54.835","57.13","1199147"
"2018-11-26","54.94","56.07","53.71","55.25","897468"
"2018-11-23","53.82","54.2","52.14","53.75","1169377"
"2018-11-21","58.59","59.29","53.44","54.65","3847716"
"2018-11-20","56.27","58.02","54.13","57.29","1513813"
"2018-11-19","60.89","61.0","57.79","58.09","1513004"
"2018-11-16","63.5","63.6","60.19","60.82","1227556"
"2018-11-15","56.58","65.28","55.85","64.32","2748260"
"2018-11-14","60.11","61.33","59.14","60.55","1256607"
"2018-11-13","58.315","60.54","57.88","58.89","1153667"
"2018-11-12","60.11","60.34","56.56","57.17","1794964"
"2018-11-09","63.05","63.08","59.75","60.5","1270930"
"2018-11-08","66.87","67.71","64.3","65.06","788213"
"2018-11-07","67.59","68.305","67.0","67.8","515245"
"2018-11-06","67.0","68.74","65.83","66.5","516738"
"2018-11-05","68.55","68.9","65.16","66.79","729891"
"2018-11-02","71.23","71.68","66.32","69.51","1457593"
"2018-11-01","66.37","70.27","64.37","70.0","1681413"
"2018-10-31","63.35","66.391","62.86","65.59","1360677"
"2018-10-30","60.65","60.65","58.61","60.5","707563"
"2018-10-29","61.92","62.46","59.71","60.5","1174866"
"2018-10-26","58.65","62.11","58.23","61.39","1322291"
"2018-10-25","58.23","61.3","57.59","61.09","1318686"
"2018-10-24","61.45","61.94","56.83","56.92","1533108"
"2018-10-23","61.12","62.07","59.04","61.65","1455654"
"2018-10-22","64.88","67.36","64.7","64.75","900742"
"2018-10-19","63.01","63.96","61.58","62.27","749796"
"2018-10-18","64.62","64.62","61.27","61.71","857215"
"2018-10-17","66.48","66.48","64.06","65.27","433931"
"2018-10-16","64.75","66.75","63.72","66.12","1485061"
"2018-10-15","64.74","65.96","63.1624","64.01","1230083"
"2018-10-12","64.34","67.2","64.03","65.97","1124834"
"2018-10-11","60.0","63.48","60.0","61.87","1089797"
"2018-10-10","63.5","64.09","61.35","61.46","1266364"
"2018-10-09","64.43","64.815","63.555","63.84","577096"
"2018-10-08","64.62","65.54","63.64","64.92","882410"
"2018-10-05","68.07","68.64","65.11","66.52","973330"
"2018-10-04","69.64","70.0","67.39","68.66","775481"
"2018-10-03","71.61","73.13","70.16","70.53","543819"
"2018-10-02","70.47","71.95","69.52","71.13","1157220"
"2018-10-01","73.8","73.99","71.32","71.73","968504"
"2018-09-28","75.25","75.83","72.84","73.6","839327"
"2018-09-27","76.05","76.88","74.64","75.98","548668"
"2018-09-26","73.92","77.13","73.83","75.96","583582"
"2018-09-25","73.62","74.86","72.7","73.5","345956"
"2018-09-24","71.75","74.155","71.19","73.49","436197"
"2018-09-21","76.0","76.0","73.07","74.01","1508285"
"2018-09-20","75.95","76.0","74.3005","75.37","778863"
"2018-09-19","72.58","75.06","71.84","74.6","822076"
"2018-09-18","71.82","72.66","71.09","71.47","604799"
"2018-09-17","71.87","72.89","70.94","71.3","750866"
"2018-09-14","74.75","75.0","72.2","72.63","894607"
"2018-09-13","70.53","75.0958","70.1","74.49","1838237"
"2018-09-12","66.93","68.76","65.3725","68.18","1142713"
"2018-09-11","67.16","68.44","65.675","67.38","1177976"
"2018-09-10","72.01","72.01","67.0","68.1","1314256"
"2018-09-07","72.12","74.08","71.8","72.52","1288386"
"2018-09-06","72.07","73.41","71.595","72.56","950126"
"2018-09-05","72.64","72.64","70.74","71.6","1955391"
"2018-09-04","75.51","75.87","72.81","73.86","1186896"
"2018-08-31","75.28","76.54","74.48","76.08","975250"
"2018-08-30","76.25","77.6","75.27","75.53","1538143"
"2018-08-29","76.5","77.43","74.99","76.53","1167604"
"2018-08-28","75.64","76.3","75.035","75.98","1462269"
"2018-08-27","73.14","76.41","73.0","75.95","1340802"
"2018-08-24","72.82","73.0","71.79","72.5","1009262"
"2018-08-23","74.34","74.7","71.6","72.7","1516013"
"2018-08-22","72.09","75.25","71.96","74.72","1446600"
"2018-08-21","70.97","73.38","70.86","72.57","2049092"
"2018-08-20","67.5","71.17","67.33","70.7","2209754"
"2018-08-17","65.0","66.95","64.5014","66.65","1945784"
"2018-08-16","64.99","66.95","63.05","65.22","5020928"
"2018-08-15","59.08","59.08","56.7","58.59","3198550"
"2018-08-14","66.04","66.04","61.5","61.92","2400203"
"2018-08-13","66.1","67.01","66.05","66.58","737449"
"2018-08-10","66.93","66.93","65.03","66.14","594858"
"2018-08-09","65.99","68.0","65.57","67.39","957837"
"2018-08-08","67.78","67.88","65.46","65.64","571278"
"2018-08-07","66.55","67.8","65.24","67.51","628669"
"2018-08-06","65.0","66.14","64.88","65.25","380501"
"2018-08-03","65.69","66.75","64.89","65.06","605377"
"2018-08-02","65.0","65.88","64.92","65.74","728200"
"2018-08-01","67.51","68.35","65.24","66.0","1122831"
"2018-07-31","66.43","68.87","66.43","67.26","1529536"
"2018-07-30","66.55","66.6","64.55","66.39","1415209"
"2018-07-27","68.67","69.33","65.89","66.76","634045"
"2018-07-26","68.89","69.62","67.51","67.95","951741"
"2018-07-25","65.11","70.37","65.11","69.9","1735164"
"2018-07-24","66.7","69.23","64.93","65.18","2180110"
"2018-07-23","63.57","64.34","62.5","63.65","1129713"
"2018-07-20","63.19","64.7","62.64","63.61","959438"
"2018-07-19","63.69","64.52","62.305","62.48","777265"
"2018-07-18","65.77","65.77","63.74","64.48","904663"
"2018-07-17","64.9","66.05","64.58","65.57","639122"
"2018-07-16","65.86","66.14","64.79","65.19","841198"
"2018-07-13","65.1","66.5","64.945","65.73","978928"
"2018-07-12","65.5","66.47","64.02","65.15","1232440"
"2018-07-11","64.0","66.1","63.925","64.5","940309"
"2018-07-10","67.01","67.35","64.7","65.26","991331"
"2018-07-09","67.23","67.93","65.65","66.63","1036006"
"2018-07-06","65.18","67.05","64.88","66.79","798859"
"2018-07-05","66.29","66.63","64.13","65.32","1796927"
