"Date","Open","High","Low","Close","Volume"
"2017-12-29","69.79","70.13","69.43","69.85","6613070"
"2017-12-28","70.12","70.32","69.51","69.82","7556877"
"2017-12-27","69.77","70.49","69.69","70.06","6345124"
"2017-12-26","70.94","71.39","69.63","69.86","8542802"
"2017-12-22","71.42","71.87","71.22","71.58","10979165"
"2017-12-21","71.0","72.17","70.88","71.59","9682733"
"2017-12-20","70.6","71.05","70.17","70.9","12888149"
"2017-12-19","69.7","70.3626","69.38","70.21","14654994"
"2017-12-18","70.54","70.74","69.95","70.14","6776982"
"2017-12-15","69.35","70.54","68.66","70.29","19517623"
"2017-12-14","70.6","70.62","68.84","69.23","17077065"
"2017-12-13","69.8","71.76","69.69","71.24","17321301"
"2017-12-12","71.07","71.15","69.55","69.77","11296188"
"2017-12-11","71.7","72.089","71.15","71.53","7359312"
"2017-12-08","71.0","71.63","70.82","71.25","7021125"
"2017-12-07","69.75","70.64","69.48","70.22","7084564"
"2017-12-06","67.46","69.62","67.36","69.41","11646582"
"2017-12-05","67.1","69.38","66.62","68.13","11963099"
"2017-12-04","71.06","71.34","68.16","68.31","15533597"
"2017-12-01","69.8","71.25","69.47","70.1","19712943"
"2017-11-30","70.31","70.84","69.37","70.06","19208185"
"2017-11-29","71.61","71.7","68.51","70.36","15976095"
"2017-11-28","72.25","72.48","71.49","71.98","11936706"
"2017-11-27","72.82","73.12","71.92","72.07","7630057"
"2017-11-24","72.47","73.18","72.31","72.93","3356343"
"2017-11-22","73.02","73.25","72.46","72.6","6721660"
"2017-11-21","72.66","73.14","72.31","72.85","9514310"
"2017-11-20","71.6","72.53","71.43","71.95","14666339"
"2017-11-17","70.81","71.37","70.74","71.02","14298554"
"2017-11-16","69.8","71.22","69.8","70.75","7510504"
"2017-11-15","68.23","69.55","68.05","69.43","9144226"
"2017-11-14","70.0","70.15","69.1","69.52","5194145"
"2017-11-13","70.66","71.39","70.01","70.27","5256892"
"2017-11-10","70.6","70.75","69.94","70.55","4439901"
"2017-11-09","70.46","70.68","68.77","70.19","10054663"
"2017-11-08","72.0","72.2","71.09","71.16","7363665"
"2017-11-07","72.2","72.47","71.62","72.22","9164838"
"2017-11-06","70.27","71.96","70.27","71.71","7130108"
"2017-11-03","71.01","71.4","69.84","70.23","6321515"
"2017-11-02","72.06","72.47","69.84","70.51","10054593"
"2017-11-01","70.85","71.39","69.84","70.59","9883635"
"2017-10-31","69.5","70.27","68.96","70.12","10680460"
"2017-10-30","68.04","68.96","67.94","68.86","7764554"
"2017-10-27","66.6","67.73","65.87","67.52","7607822"
"2017-10-26","65.5","66.01","65.07","65.57","4967301"
"2017-10-25","66.66","67.04","65.19","65.4","4550598"
"2017-10-24","66.69","67.2","66.4","66.61","3667001"
"2017-10-23","67.63","68.0","66.4","66.51","3959123"
"2017-10-20","67.65","68.36","67.45","67.51","7149442"
"2017-10-19","66.97","67.54","66.65","67.45","4271282"
"2017-10-18","67.2","68.04","66.98","67.79","5361842"
"2017-10-17","68.0","68.1","66.63","66.78","4264365"
"2017-10-16","67.91","68.13","67.36","68.04","4523200"
