"Date","Open","High","Low","Close","Volume"
"2017-12-29","40.22","40.32","39.82","39.85","497841"
"2017-12-28","40.52","40.52","40.01","40.24","434688"
"2017-12-27","40.61","40.73","40.14","40.6","411281"
"2017-12-26","40.15","40.54","39.98","40.36","543990"
"2017-12-22","40.08","40.62","39.99","40.26","805600"
"2017-12-21","40.14","40.77","39.98","40.55","717782"
"2017-12-20","40.8","40.99","40.14","40.15","1446015"
"2017-12-19","39.49","40.97","38.5","40.71","1648042"
"2017-12-18","37.64","38.54","37.38","38.28","725960"
"2017-12-15","36.63","37.44","36.14","36.93","1764903"
"2017-12-14","37.35","37.8","35.619","36.01","981638"
"2017-12-13","36.11","38.04","35.89","37.54","854855"
"2017-12-12","36.92","37.14","35.99","36.02","1444511"
"2017-12-11","38.8","38.8","36.72","37.08","960683"
"2017-12-08","38.53","39.25","38.31","38.98","1085782"
"2017-12-07","37.83","38.88","37.83","38.43","1146729"
"2017-12-06","37.36","38.25","37.11","37.72","881356"
"2017-12-05","37.68","38.0","37.13","37.51","821036"
"2017-12-04","39.75","39.98","37.5","37.65","1104953"
"2017-12-01","37.63","39.19","37.63","39.19","1537136"
"2017-11-30","38.12","38.5","37.64","37.72","801104"
"2017-11-29","38.73","38.99","37.66","38.0","1101704"
"2017-11-28","35.74","37.08","35.74","37.01","734983"
"2017-11-27","35.53","36.01","35.34","35.57","682461"
"2017-11-24","35.83","36.02","35.41","35.45","158937"
"2017-11-22","36.03","36.3","35.56","35.6","594585"
"2017-11-21","36.5","36.6067","35.91","36.2","822205"
"2017-11-20","36.58","36.85","36.06","36.74","589956"
"2017-11-17","36.3","36.68","36.3","36.46","806347"
"2017-11-16","35.81","36.55","35.64","36.5","559069"
"2017-11-15","35.41","35.91","35.16","35.8","581091"
"2017-11-14","35.48","36.23","35.48","35.76","739923"
"2017-11-13","36.61","36.6175","35.25","35.53","976309"
"2017-11-10","37.6","38.06","36.26","36.59","1197740"
"2017-11-09","35.68","35.86","35.23","35.62","945880"
"2017-11-08","35.51","36.09","34.8","35.99","1808105"
"2017-11-07","35.72","35.72","34.29","34.44","1118231"
"2017-11-06","36.28","36.57","35.57","35.59","1007945"
"2017-11-03","35.86","36.92","35.63","36.43","1402329"
"2017-11-02","35.84","36.32","35.19","35.8","1163166"
"2017-11-01","37.17","37.2401","35.57","35.93","1700512"
"2017-10-31","37.15","37.35","35.54","36.8","1743276"
