"Date","Open","High","Low","Close","Volume"
"2017-12-29","22.6","22.98","22.485","22.67","480762"
"2017-12-28","22.45","22.97","22.43","22.57","400694"
"2017-12-27","22.44","22.68","22.33","22.39","402140"
"2017-12-26","22.36","22.57","22.01","22.44","288441"
"2017-12-22","22.57","22.63","22.325","22.45","402206"
"2017-12-21","22.6","22.79","22.3","22.55","467406"
"2017-12-20","22.73","22.73","22.29","22.54","540416"
"2017-12-19","23.06","23.2","22.58","22.64","657279"
"2017-12-18","22.99","23.49","22.97","23.08","541178"
"2017-12-15","22.2","23.12","22.19","22.84","1247865"
"2017-12-14","22.52","22.66","22.18","22.2","517857"
"2017-12-13","22.4","22.64","22.2166","22.5","696363"
"2017-12-12","22.39","22.72","22.34","22.46","634603"
"2017-12-11","22.36","22.64","22.0541","22.38","849641"
"2017-12-08","22.67","22.93","22.35","22.39","486590"
"2017-12-07","22.53","22.795","22.31","22.48","559241"
"2017-12-06","22.42","22.81","22.26","22.5","419613"
"2017-12-05","22.38","22.61","22.31","22.42","444687"
"2017-12-04","23.14","23.14","22.36","22.37","537792"
"2017-12-01","22.87","23.16","22.0901","22.89","524962"
"2017-11-30","23.13","23.13","22.67","22.88","448701"
"2017-11-29","23.52","23.76","22.93","23.02","404846"
"2017-11-28","23.44","23.63","22.77","23.5","548243"
"2017-11-27","23.37","23.55","23.148","23.42","387061"
"2017-11-24","23.49","23.56","23.29","23.38","191660"
"2017-11-22","23.32","23.73","23.25","23.42","452510"
"2017-11-21","23.42","23.63","23.14","23.23","519695"
"2017-11-20","22.87","23.3","22.73","23.29","338712"
"2017-11-17","22.68","22.88","22.47","22.82","274827"
"2017-11-16","22.53","22.98","22.35","22.83","316128"
"2017-11-15","22.67","22.69","22.33","22.47","713869"
"2017-11-14","22.91","23.0","22.7","22.81","388239"
"2017-11-13","23.13","23.38","22.92","22.98","412279"
"2017-11-10","23.0","23.46","22.95","23.33","338970"
"2017-11-09","23.0","23.24","22.84","23.15","526325"
"2017-11-08","22.62","23.2","22.49","23.19","614817"
"2017-11-07","23.0","23.1","22.55","22.73","445312"
"2017-11-06","23.39","23.52","22.98","23.01","357702"
"2017-11-03","23.23","23.67","22.75","23.5","691497"
"2017-11-02","25.0","25.0","22.34","23.03","823345"
"2017-11-01","24.3","24.43","23.04","23.77","946753"
"2017-10-31","24.11","24.28","23.75","24.08","398559"
"2017-10-30","24.52","24.52","23.71","24.02","355443"
"2017-10-27","24.5","24.66","24.24","24.6","436354"
"2017-10-26","24.42","24.57","24.27","24.44","353732"
"2017-10-25","23.9","24.38","23.86","24.33","327556"
"2017-10-24","24.17","24.28","23.79","23.95","285574"
"2017-10-23","24.25","24.29","23.97","24.08","185160"
"2017-10-20","24.21","24.26","23.98","24.2","216831"
"2017-10-19","23.86","23.97","23.42","23.93","345620"
"2017-10-18","23.99","24.23","23.88","23.97","272628"
"2017-10-17","23.98","24.25","23.8","23.88","229989"
"2017-10-16","24.0","24.26","23.76","23.99","253741"
"2017-10-13","24.05","24.16","23.72","23.94","260617"
"2017-10-12","23.98","24.23","23.86","24.02","314333"
"2017-10-11","24.06","24.2","23.81","23.99","239181"
"2017-10-10","23.95","24.15","23.77","24.08","319663"
"2017-10-09","23.91","24.1","23.64","23.86","267000"
"2017-10-06","23.4","24.31","23.34","23.87","794545"
"2017-10-05","23.33","23.5","23.22","23.42","471333"
"2017-10-04","23.28","23.4","22.97","23.25","231077"
"2017-10-03","23.28","23.49","23.03","23.28","512960"
"2017-10-02","22.85","23.24","22.71","23.18","420262"
"2017-09-29","22.94","23.04","22.72","22.78","416209"
"2017-09-28","23.14","23.2","22.81","22.93","449463"
"2017-09-27","22.7","23.45","22.56","23.15","591715"
"2017-09-26","22.91","23.0","22.46","22.48","499469"
"2017-09-25","22.97","23.13","22.54","22.8","333066"
"2017-09-22","22.97","23.14","22.74","23.03","371517"
"2017-09-21","22.91","23.25","22.89","23.06","220503"
"2017-09-20","22.84","23.01","22.66","22.89","354095"
"2017-09-19","22.91","23.0","22.83","22.85","329893"
"2017-09-18","22.59","23.09","22.55","22.94","409751"
