"Date","Open","High","Low","Close","Volume"
"2017-12-29","5.05","5.25","5.05","5.25","6813"
"2017-12-28","4.98","5.115","4.94","5.05","5712"
"2017-12-27","5.01","5.02","4.91","4.92","61726"
"2017-12-26","4.9691","5.05","4.9691","5.01","10407"
"2017-12-22","5.02","5.03","4.95","4.95","16092"
"2017-12-21","4.89","5.21","4.85","5.16","14681"
"2017-12-20","5.1516","5.1516","4.82","4.82","26442"
"2017-12-19","5.18","5.24","5.02","5.02","27063"
"2017-12-18","5.0","5.22","5.0","5.14","40731"
"2017-12-15","5.55","5.7","5.0","5.0","54051"
"2017-12-14","5.58","5.79","5.54","5.54","15393"
"2017-12-13","5.85","6.0","5.51","5.53","20382"
"2017-12-12","6.1","6.1099","5.69","5.84","19606"
"2017-12-11","5.98","6.2","5.95","5.96","18791"
"2017-12-08","5.92","6.24","5.92","6.05","2474"
"2017-12-07","5.91","6.2572","5.81","5.9","7115"
"2017-12-06","6.0","6.11","5.8","5.89","18021"
"2017-12-05","6.41","6.41","5.8801","5.98","21787"
"2017-12-04","6.79","6.79","6.4","6.46","22783"
"2017-12-01","6.4","6.9","6.4","6.79","13688"
"2017-11-30","6.67","6.9","6.64","6.75","2902"
"2017-11-29","6.82","7.05","6.54","6.78","25496"
"2017-11-28","6.87","6.881","6.7079","6.8","6315"
"2017-11-27","6.87","7.2","6.8293","6.9","23785"
"2017-11-24","6.85","7.21","6.85","6.87","25474"
"2017-11-22","7.5","7.503","6.9","6.95","23161"
"2017-11-21","7.65","7.65","7.36","7.42","40067"
"2017-11-20","7.0","7.84","6.98","7.34","56051"
"2017-11-17","6.7","6.89","6.59","6.89","31430"
"2017-11-16","6.2","6.59","6.2","6.52","33634"
"2017-11-15","5.91","6.24","5.79","6.24","36785"
"2017-11-14","6.15","6.35","5.65","5.97","60435"
"2017-11-13","5.76","6.189","5.72","5.97","21849"
"2017-11-10","5.65","5.76","5.61","5.72","9844"
"2017-11-09","5.6","5.63","5.6","5.601","34684"
"2017-11-08","5.6","5.65","5.6","5.6","118463"
"2017-11-07","5.6","5.73","5.6","5.6","32567"
"2017-11-06","6.01","6.46","5.6","5.6","70651"
"2017-11-03","8.17","8.484","5.87","6.05","523518"
