"Date","Open","High","Low","Close","Volume"
"2017-12-29","15.1","15.24","15.0248","15.24","4593"
"2017-12-28","15.1","15.1","14.98","15.0","2200"
"2017-12-27","15.05","15.05","14.976","14.976","866"
"2017-12-26","14.85","15.05","14.5841","15.0","6283"
"2017-12-22","14.8709","14.8709","14.7252","14.7252","2038"
"2017-12-21","14.7","14.9","14.3305","14.9","2802"
"2017-12-20","14.65","14.65","14.55","14.6","953"
"2017-12-19","14.25","14.8","14.25","14.7","3200"
"2017-12-18","14.35","14.9","14.35","14.9","3983"
"2017-12-15","14.65","14.65","14.65","14.65","107"
"2017-12-14","14.7","14.75","14.65","14.65","1559"
"2017-12-13","14.9","14.9","14.65","14.9","4818"
"2017-12-12","14.7","14.7","14.58","14.7","1023"
"2017-12-11","14.6","14.85","14.4985","14.8","3267"
"2017-12-08","14.3","14.6","14.3","14.45","2327"
"2017-12-07","14.65","14.65","14.13","14.5","7650"
"2017-12-06","15.55","15.55","14.7","15.15","3037"
"2017-12-05","14.45","15.2","14.1253","15.2","3385"
"2017-12-04","15.05","15.745","15.05","15.35","5493"
"2017-12-01","15.55","15.55","14.555","15.0","6837"
"2017-11-30","14.7735","15.7","14.7735","15.67","4228"
"2017-11-29","14.85","14.85","14.15","14.85","11816"
"2017-11-28","14.85","15.3","14.85","15.1","5943"
"2017-11-27","15.4","15.4","14.5","14.8717","8379"
"2017-11-24","15.05","15.4","15.05","15.3","6398"
"2017-11-22","14.9","14.9","14.3","14.9","8144"
"2017-11-21","14.6","14.9","14.6","14.8","12350"
"2017-11-20","14.1","14.7","14.1","14.7","9654"
"2017-11-17","14.15","14.4","14.1","14.3","15920"
"2017-11-16","14.0","14.15","13.9325","14.1","6291"
"2017-11-15","13.35","13.75","13.25","13.75","10586"
"2017-11-14","13.25","13.55","13.05","13.55","10192"
"2017-11-13","12.75","13.51","12.7","13.3","26372"
"2017-11-10","12.1","12.75","12.1","12.6","12021"
"2017-11-09","13.9","14.05","12.05","12.37","40478"
"2017-11-08","13.8","13.8","13.6","13.8","4594"
"2017-11-07","13.65","13.65","13.45","13.55","850"
"2017-11-06","13.05","13.55","12.99","13.5","7990"
"2017-11-03","13.3","13.3","13.2","13.2","1590"
"2017-11-02","13.45","13.75","13.45","13.5","2259"
"2017-11-01","13.8","13.85","13.3","13.3","4308"
"2017-10-31","13.6","14.35","13.6","14.05","7373"
"2017-10-30","12.4","14.1","12.4","14.1","13465"
"2017-10-27","12.5","12.55","12.15","12.45","5435"
"2017-10-26","12.95","13.0","12.6","12.6","2339"
"2017-10-25","12.7","13.05","12.6","12.75","7441"
"2017-10-24","13.4","13.4","12.55","12.85","15813"
"2017-10-23","13.2","13.85","13.2","13.3","9287"
"2017-10-20","14.1","14.1","13.55","13.55","4511"
"2017-10-19","13.85","14.35","13.5","14.07","12803"
"2017-10-18","13.98","13.98","13.5","13.77","8822"
"2017-10-17","14.05","14.15","13.68","13.85","5717"
"2017-10-16","14.05","14.37","13.3","13.85","12214"
"2017-10-13","14.5","14.5","14.3","14.38","2577"
"2017-10-12","14.36","14.82","14.36","14.39","2090"
"2017-10-11","14.85","14.9","14.7","14.7","3890"
"2017-10-10","14.45","14.95","14.3","14.95","10258"
"2017-10-09","14.27","14.55","14.2","14.32","5006"
"2017-10-06","14.1","14.55","14.1","14.15","15777"
"2017-10-05","14.24","14.39","14.06","14.1","3269"
"2017-10-04","14.82","15.16","14.0","14.35","17605"
"2017-10-03","14.36","14.79","14.32","14.79","11383"
"2017-10-02","14.4","14.45","14.05","14.45","10702"
"2017-09-29","14.05","14.35","14.05","14.18","3528"
"2017-09-28","14.5","14.5","14.0","14.45","10616"
"2017-09-27","14.25","14.6","14.2","14.5","18216"
"2017-09-26","14.45","14.5","14.05","14.11","4782"
"2017-09-25","14.4","14.54","14.0","14.4","16229"
"2017-09-22","13.68","14.25","13.68","14.25","7038"
"2017-09-21","14.4","14.4","13.41","14.17","5653"
"2017-09-20","14.25","14.42","13.69","14.3","14083"
"2017-09-19","13.75","13.85","13.2","13.85","21896"
"2017-09-18","12.75","13.7","12.51","13.0","11194"
"2017-09-15","14.0","14.0","12.65","12.85","18139"
"2017-09-14","11.9","13.75","11.59","13.75","28585"
"2017-09-13","11.0","11.7","10.9","11.6","9265"
"2017-09-12","12.09","12.09","11.1","11.31","6435"
"2017-09-11","12.35","12.41","11.55","11.6","9881"
"2017-09-08","12.75","13.45","11.65","12.55","5565"
"2017-09-07","14.3","14.3","13.05","13.25","9080"
"2017-09-06","14.0","14.4","13.5","13.65","10439"
"2017-09-05","13.9","14.0","13.3","14.0","19970"
"2017-09-01","13.25","13.7","13.0","13.15","19597"
"2017-08-31","11.9","13.15","11.3","12.6","22352"
"2017-08-30","11.5","11.55","11.3","11.3","2014"
"2017-08-29","11.5","12.0","11.15","12.0","863"
"2017-08-28","11.55","11.95","11.5","11.95","3704"
"2017-08-25","11.25","11.35","11.25","11.35","962"
"2017-08-24","11.4","11.4","11.26","11.3","2866"
"2017-08-23","10.65","11.9","10.65","11.45","3972"
"2017-08-22","10.25","10.5","10.25","10.45","3344"
"2017-08-21","10.25","10.25","10.1","10.2","8356"
"2017-08-18","10.35","10.55","10.35","10.4","3738"
"2017-08-17","10.8","10.8","10.6","10.75","2355"
"2017-08-16","10.95","11.2","10.9","10.95","3393"
"2017-08-15","11.0","11.05","10.35","10.8","4271"
"2017-08-14","11.35","11.9","11.3","11.3","5079"
"2017-08-11","12.5","12.5","11.4","11.4","5711"
"2017-08-10","11.51","11.98","11.5","11.98","3967"
"2017-08-09","11.65","11.85","11.65","11.75","1235"
"2017-08-08","12.3","12.3","12.05","12.15","2188"
"2017-08-07","12.0","12.5","11.75","12.2","4716"
"2017-08-04","11.75","12.05","11.75","11.9","3617"
"2017-08-03","11.8","12.0","11.7","11.9","2946"
"2017-08-02","11.75","12.15","11.65","11.7","4054"
"2017-08-01","12.5","12.5","11.58","11.65","6714"
"2017-07-31","12.15","12.8","11.23","12.8","5482"
"2017-07-28","11.5","12.05","11.05","12.05","7760"
"2017-07-27","12.3","12.3","11.5","11.7","12105"
"2017-07-26","13.3","13.3","12.25","12.6","7635"
"2017-07-25","12.55","13.1","12.37","13.1","6055"
"2017-07-24","12.7","13.08","12.45","12.67","8957"
"2017-07-21","12.1","12.7","12.1","12.7","6825"
"2017-07-20","12.2","12.8","12.06","12.1","35151"
"2017-07-19","14.2","14.25","12.68","13.08","34580"
"2017-07-18","14.7","14.95","14.18","14.2","8513"
"2017-07-17","14.7","15.05","14.7","14.9","21267"
"2017-07-14","14.7","15.15","14.58","14.7","17634"
"2017-07-13","14.2","14.71","14.15","14.45","12126"
"2017-07-12","15.45","16.1","13.5","13.85","45078"
"2017-07-11","14.0","15.7","14.0","15.0","51331"
"2017-07-10","13.0","13.9","13.0","13.68","14676"
"2017-07-07","12.4","12.9","11.95","12.9","13630"
"2017-07-06","12.2345","12.3","12.2102","12.275","2401"
"2017-07-05","12.8","12.8","12.35","12.35","1854"
"2017-07-03","12.7","12.7","12.15","12.34","5210"
"2017-06-30","12.5","12.56","12.21","12.56","4103"
"2017-06-29","11.9","12.5","11.9","12.5","5222"
"2017-06-28","11.17","11.9","11.17","11.9","2992"
"2017-06-27","11.95","12.0","11.42","11.42","3303"
"2017-06-26","12.65","12.65","11.6","11.85","9119"
