"Date","Open","High","Low","Close","Volume"
"2017-12-29","53.06","53.17","52.59","52.61","669337"
"2017-12-28","52.87","53.13","52.64","52.99","614288"
"2017-12-27","52.84","52.93","52.5","52.8","638288"
"2017-12-26","53.02","53.16","52.81","52.84","417154"
"2017-12-22","53.19","53.28","52.78","53.06","694114"
"2017-12-21","52.86","53.18","52.64","52.98","931674"
"2017-12-20","53.1","53.37","52.68","52.69","875015"
"2017-12-19","53.29","53.4","52.64","52.74","785309"
"2017-12-18","53.45","53.56","52.8","53.02","1098722"
"2017-12-15","52.4","53.165","52.09","52.67","1551426"
"2017-12-14","52.71","52.88","52.0","52.12","1268666"
"2017-12-13","52.65","52.8","52.28","52.58","1134879"
"2017-12-12","52.25","52.65","51.34","52.54","1191895"
"2017-12-11","52.36","52.65","51.95","52.06","1828882"
"2017-12-08","52.4","52.6","52.06","52.36","1229479"
"2017-12-07","51.8","52.41","51.73","52.3","1282643"
"2017-12-06","51.79","52.22","51.73","51.77","1037389"
"2017-12-05","51.93","52.22","51.18","51.88","1257705"
"2017-12-04","52.46","52.64","51.79","51.98","1257804"
"2017-12-01","51.93","52.5","51.26","52.14","1435993"
"2017-11-30","52.0","52.26","51.49","51.97","2870974"
"2017-11-29","51.75","52.05","51.29","51.74","1092915"
"2017-11-28","51.12","51.79","51.0","51.71","1351432"
"2017-11-27","51.19","51.47","50.83","51.13","516680"
"2017-11-24","51.03","51.44","51.03","51.31","277458"
"2017-11-22","50.82","51.31","50.79","50.81","512811"
"2017-11-21","51.1","51.16","50.63","50.71","701186"
"2017-11-20","50.54","50.97","50.38","50.87","1475857"
"2017-11-17","49.94","50.56","49.93","50.48","843627"
"2017-11-16","49.9","50.74","49.9","50.19","1140152"
"2017-11-15","49.8","50.14","49.07","49.75","1137883"
"2017-11-14","50.5","50.94","49.88","50.15","1627733"
"2017-11-13","50.97","50.97","49.8","50.61","1957254"
"2017-11-10","51.99","52.2","51.51","51.67","1033853"
"2017-11-09","51.76","52.21","51.51","51.87","1132890"
"2017-11-08","52.2","52.36","51.6","51.98","1005527"
"2017-11-07","52.4","52.52","51.9","52.19","956493"
"2017-11-06","52.45","52.59","51.84","52.3","1182988"
"2017-11-03","52.76","52.86","52.26","52.51","697048"
"2017-11-02","54.01","54.5","52.24","53.01","1785444"
"2017-11-01","53.03","53.13","52.08","52.86","1452969"
"2017-10-31","52.52","53.3","52.5","52.64","932373"
"2017-10-30","52.02","52.93","52.02","52.52","1309256"
"2017-10-27","52.55","52.67","52.02","52.43","606385"
"2017-10-26","52.31","52.81","52.01","52.62","607655"
"2017-10-25","52.77","52.94","51.91","52.06","877413"
"2017-10-24","52.84","53.03","52.53","52.9","450896"
"2017-10-23","52.99","53.08","52.4","52.55","660319"
"2017-10-20","52.72","53.19","52.62","53.06","1307477"
"2017-10-19","52.12","52.26","51.74","52.26","1148899"
"2017-10-18","52.51","52.64","52.2","52.33","853183"
"2017-10-17","52.59","52.82","52.35","52.43","691291"
"2017-10-16","52.35","52.85","52.31","52.44","646633"
"2017-10-13","52.11","52.47","51.99","52.35","400626"
"2017-10-12","52.0","52.37","51.83","52.06","425436"
"2017-10-11","51.97","52.3","51.64","52.0","859328"
"2017-10-10","51.99","52.13","51.39","52.05","692841"
"2017-10-09","52.05","52.37","51.92","52.09","452368"
"2017-10-06","51.95","52.07","51.62","51.97","578123"
"2017-10-05","52.07","52.29","51.94","52.0","818740"
"2017-10-04","51.89","52.34","51.81","51.99","716771"
"2017-10-03","51.55","51.84","50.91","51.84","1040227"
"2017-10-02","51.29","51.69","51.22","51.46","1002488"
"2017-09-29","50.66","51.27","50.49","51.11","986589"
"2017-09-28","50.11","50.65","49.7","50.65","916642"
"2017-09-27","50.48","50.65","49.87","50.03","863016"
"2017-09-26","49.88","50.65","49.81","50.27","744604"
"2017-09-25","49.9","50.0","49.4","49.78","610172"
"2017-09-22","50.16","50.43","49.6","49.9","870738"
"2017-09-21","50.24","50.43","49.84","50.16","533715"
"2017-09-20","49.88","50.35","49.47","50.2","695207"
"2017-09-19","49.42","50.05","49.25","50.02","560132"
"2017-09-18","49.77","49.93","49.19","49.24","757302"
"2017-09-15","49.02","49.66","48.97","49.61","944537"
"2017-09-14","49.38","49.53","48.93","49.01","502480"
"2017-09-13","49.54","50.0","49.35","49.44","539153"
"2017-09-12","49.34","49.69","49.21","49.58","444365"
