"Date","Open","High","Low","Close","Volume"
"2017-12-29","12.42","12.42","12.24","12.28","28309"
"2017-12-28","12.28","12.45","12.28","12.41","38999"
"2017-12-27","12.21","12.41","12.17","12.29","42904"
"2017-12-26","12.31","12.43","12.11","12.31","24249"
"2017-12-22","12.43","12.487","12.29","12.38","30899"
"2017-12-21","12.44","12.63","12.43","12.48","38125"
"2017-12-20","12.5","12.53","12.28","12.42","16633"
"2017-12-19","12.5","12.57","12.39","12.46","50488"
"2017-12-18","12.4","12.7","12.4","12.5","34450"
"2017-12-15","12.34","12.68","11.985","12.31","227726"
"2017-12-14","12.3","12.38","12.0799","12.35","66142"
"2017-12-13","12.22","12.45","12.22","12.3","34634"
"2017-12-12","12.3","12.39","12.15","12.21","20078"
"2017-12-11","12.33","12.44","12.1","12.29","77938"
"2017-12-08","12.46","12.49","12.2166","12.42","41072"
"2017-12-07","11.99","12.98","11.99","12.48","348006"
"2017-12-06","12.05","12.24","12.02","12.16","25824"
"2017-12-05","12.04","12.11","11.9103","12.06","24401"
"2017-12-04","12.23","12.28","11.95","12.03","28695"
"2017-12-01","12.29","12.32","11.87","12.23","36635"
"2017-11-30","12.26","12.35","12.205","12.24","55624"
"2017-11-29","12.2","12.31","12.08","12.25","39098"
"2017-11-28","11.95","12.24","11.95","12.21","39581"
"2017-11-27","12.01","12.36","11.93","11.93","58690"
"2017-11-24","12.08","12.16","12.0","12.12","15840"
"2017-11-22","12.13","12.29","11.9","12.09","69705"
"2017-11-21","11.94","12.24","11.94","12.09","41424"
"2017-11-20","11.87","12.02","11.77","11.9","16265"
"2017-11-17","12.04","12.04","11.81","11.86","93812"
"2017-11-16","11.89","12.2","11.74","12.08","45666"
"2017-11-15","11.85","11.9","11.71","11.85","30935"
"2017-11-14","12.31","12.31","11.87","11.89","64056"
"2017-11-13","11.84","12.26","11.64","12.24","81258"
"2017-11-10","11.76","12.36","11.3","11.84","46716"
"2017-11-09","11.45","11.84","11.31","11.75","81718"
"2017-11-08","11.65","11.66","11.4","11.53","44937"
"2017-11-07","12.01","12.01","11.66","11.74","36608"
"2017-11-06","12.06","12.07","12.0","12.02","36635"
"2017-11-03","12.3","12.33","11.82","11.96","35666"
"2017-11-02","12.21","12.39","11.68","12.31","79717"
"2017-11-01","12.5","12.5","11.93","12.42","68203"
"2017-10-31","11.97","12.32","11.96","12.27","78998"
"2017-10-30","12.01","12.01","11.78","11.9","44406"
"2017-10-27","12.03","12.03","11.86","11.97","46397"
"2017-10-26","12.07","12.12","11.82","11.94","59112"
"2017-10-25","12.37","12.37","12.01","12.09","29707"
"2017-10-24","12.25","12.25","12.13","12.19","220933"
"2017-10-23","12.28","12.47","12.11","12.17","47499"
"2017-10-20","12.39","12.39","11.9","12.22","173658"
"2017-10-19","12.44","12.63","12.12","12.25","37255"
"2017-10-18","12.5","12.73","12.4","12.45","44670"
"2017-10-17","12.68","12.77","12.39","12.48","45403"
"2017-10-16","12.77","12.91","12.57","12.75","48702"
"2017-10-13","12.77","12.87","12.37","12.8","26979"
"2017-10-12","12.75","12.94","12.31","12.8","120322"
"2017-10-11","12.69","12.75","12.65","12.69","39408"
"2017-10-10","12.54","12.75","12.42","12.68","58494"
"2017-10-09","12.75","12.75","12.46","12.55","44456"
"2017-10-06","12.42","12.75","12.4","12.68","59936"
"2017-10-05","12.09","12.6","12.01","12.46","1288805"
"2017-10-04","12.1","12.1","11.86","12.01","142555"
"2017-10-03","12.17","12.2","12.04","12.09","79462"
"2017-10-02","12.02","12.25","11.56","12.09","112066"
"2017-09-29","12.0","12.14","11.85","11.95","76601"
"2017-09-28","11.87","11.99","11.53","11.99","29486"
"2017-09-27","11.68","11.99","11.6","11.88","62606"
"2017-09-26","11.24","11.77","11.16","11.68","58117"
"2017-09-25","10.63","11.15","10.6","11.14","135629"
"2017-09-22","10.42","10.65","10.42","10.62","484917"
"2017-09-21","10.57","10.65","10.49","10.5","110334"
"2017-09-20","10.71","10.74","10.57","10.6","35075"
