"Date","Open","High","Low","Close","Volume"
"2017-12-29","9.3","9.36","8.8942","8.99","96540"
"2017-12-28","8.5","9.48","8.5","9.37","214394"
"2017-12-27","8.62","8.905","8.5","8.53","81090"
"2017-12-26","8.75","8.92","8.52","8.69","160720"
"2017-12-22","9.4","9.4228","8.86","8.96","92123"
"2017-12-21","9.54","9.6","9.39","9.44","54279"
"2017-12-20","9.45","9.68","9.31","9.52","24033"
"2017-12-19","9.55","9.7146","9.26","9.49","30694"
"2017-12-18","9.72","9.92","9.2987","9.51","133167"
"2017-12-15","9.96","10.11","9.67","9.72","47446"
"2017-12-14","10.18","10.18","9.85","9.96","64065"
"2017-12-13","9.7","10.21","9.5397","10.12","106017"
"2017-12-12","9.42","9.68","9.42","9.68","63664"
"2017-12-11","9.6","9.62","9.2","9.5","70757"
"2017-12-08","9.43","9.64","9.38","9.57","63968"
"2017-12-07","9.13","9.47","9.02","9.39","54128"
"2017-12-06","9.01","9.18","8.94","9.07","55007"
"2017-12-05","9.01","9.27","8.87","9.08","34170"
"2017-12-04","9.33","9.33","8.83","9.05","91778"
"2017-12-01","9.48","9.48","9.1","9.29","74587"
"2017-11-30","9.71","9.71","9.27","9.49","67147"
"2017-11-29","9.85","9.9","9.41","9.6","45851"
"2017-11-28","9.64","9.86","9.46","9.81","70594"
"2017-11-27","9.63","9.74","9.531","9.67","33471"
"2017-11-24","10.03","10.03","9.6","9.64","28608"
"2017-11-22","9.85","10.09","9.75","9.96","95550"
"2017-11-21","9.68","9.88","9.55","9.85","205908"
"2017-11-20","9.49","9.6","9.26","9.56","90841"
"2017-11-17","9.17","9.457","9.14","9.4","74991"
"2017-11-16","8.85","9.25","8.7801","9.14","64938"
"2017-11-15","9.07","9.07","8.72","8.75","35040"
"2017-11-14","8.68","9.1","8.68","9.1","141577"
"2017-11-13","8.49","8.83","8.26","8.77","85556"
"2017-11-10","7.7","8.84","7.56","8.49","329005"
"2017-11-09","7.5","8.02","7.325","7.99","343136"
"2017-11-08","7.31","7.595","7.31","7.49","152986"
"2017-11-07","7.57","7.6","7.35","7.4","298520"
"2017-11-06","7.87","7.87","7.5","7.58","161426"
"2017-11-03","7.77","7.9","7.67","7.82","54055"
"2017-11-02","8.55","8.58","7.6","7.815","263318"
"2017-11-01","8.75","8.89","8.38","8.5","116264"
"2017-10-31","8.52","8.74","8.381","8.72","54096"
"2017-10-30","8.46","8.7","8.46","8.54","64467"
"2017-10-27","9.05","9.07","8.37","8.45","145762"
"2017-10-26","9.11","9.37","8.9","9.08","59111"
"2017-10-25","9.1","9.14","8.85","9.13","90945"
"2017-10-24","9.05","9.29","9.02","9.09","80452"
"2017-10-23","9.02","9.165","8.971","9.05","60404"
"2017-10-20","9.24","9.24","8.96","9.05","94790"
"2017-10-19","9.04","9.19","8.823","9.19","58919"
"2017-10-18","9.05","9.11","8.997","9.06","26316"
"2017-10-17","8.94","9.15","8.93","9.1","66455"
"2017-10-16","9.06","9.18","8.92","8.99","79637"
"2017-10-13","9.07","9.24","9.04","9.05","71539"
"2017-10-12","9.2","9.26","9.04","9.18","81374"
"2017-10-11","9.38","9.52","9.25","9.29","101366"
"2017-10-10","9.46","9.59","9.34","9.34","46312"
"2017-10-09","9.31","9.59","9.15","9.54","52004"
"2017-10-06","9.42","9.48","9.25","9.31","33546"
"2017-10-05","9.29","9.53","9.29","9.43","50410"
"2017-10-04","9.23","9.39","9.18","9.36","66854"
"2017-10-03","9.06","9.36","9.06","9.31","41703"
"2017-10-02","9.1","9.234","9.0","9.12","79714"
"2017-09-29","9.115","9.39","9.09","9.09","111317"
"2017-09-28","9.0","9.14","8.97","9.1","97367"
"2017-09-27","8.87","9.18","8.77","9.05","87664"
"2017-09-26","8.98","8.98","8.76","8.86","92167"
"2017-09-25","9.24","9.27","8.83","8.94","116380"
"2017-09-22","9.1","9.385","9.06","9.3","165549"
"2017-09-21","9.06","9.14","9.01","9.06","41259"
"2017-09-20","9.0","9.16","8.96","9.06","95827"
"2017-09-19","9.1","9.19","9.05","9.09","76608"
"2017-09-18","9.25","9.349","9.05","9.08","115101"
"2017-09-15","9.61","9.61","9.33","9.33","234025"
"2017-09-14","9.46","9.79","9.4","9.4","156005"
"2017-09-13","9.1","9.38","8.95","9.21","205329"
"2017-09-12","8.89","9.15","8.88","9.05","155208"
"2017-09-11","8.95","9.18","8.72","8.82","493971"
"2017-09-08","9.21","9.21","8.85","8.89","406909"
"2017-09-07","10.69","10.69","8.81","9.09","1054251"
"2017-09-06","10.95","10.98","10.61","10.77","90958"
"2017-09-05","11.0","11.0517","10.77","10.9","85190"
"2017-09-01","11.07","11.15","10.91","11.08","108467"
"2017-08-31","10.75","11.12","10.52","10.98","147720"
"2017-08-30","10.5","10.93","10.43","10.65","112044"
"2017-08-29","10.13","10.48","10.13","10.43","99905"
"2017-08-28","10.44","10.489","10.0","10.32","125161"
"2017-08-25","11.18","11.3","10.25","10.27","232797"
"2017-08-24","9.98","11.47","9.79","11.1","485566"
"2017-08-23","9.7","9.799","9.62","9.67","78333"
"2017-08-22","9.44","9.82","9.4","9.78","76812"
"2017-08-21","9.75","10.0","9.35","9.4","177516"
"2017-08-18","9.68","9.74","9.52","9.6","222919"
"2017-08-17","9.8","9.89","9.42","9.68","219406"
"2017-08-16","9.8","9.99","9.73","9.81","198790"
"2017-08-15","10.0","10.16","9.75","10.0","237259"
"2017-08-14","9.75","10.05","9.7","9.91","292408"
"2017-08-11","10.03","10.2","9.36","9.63","212324"
"2017-08-10","10.76","10.77","9.9","10.01","394598"
"2017-08-09","10.57","10.82","10.06","10.78","268606"
"2017-08-08","13.85","13.85","10.06","10.57","1093554"
"2017-08-07","13.23","13.67","13.1","13.65","144537"
"2017-08-04","13.0","13.36","12.834","13.2","77674"
"2017-08-03","12.97","13.25","12.78","13.04","71265"
"2017-08-02","13.16","13.16","12.56","13.01","88775"
"2017-08-01","13.52","13.6","12.9","13.18","72389"
"2017-07-31","13.31","13.65","12.82","13.55","115552"
"2017-07-28","13.48","13.6","13.2","13.28","94103"
"2017-07-27","13.77","13.77","13.16","13.6","59671"
"2017-07-26","13.71","13.78","13.65","13.75","52738"
"2017-07-25","13.83","13.879","13.7","13.71","47518"
"2017-07-24","13.55","13.765","13.55","13.7","57701"
"2017-07-21","13.55","13.59","13.22","13.57","60309"
"2017-07-20","13.47","13.57","13.12","13.51","146474"
"2017-07-19","13.34","13.59","13.24","13.43","132816"
"2017-07-18","13.5","13.5","13.3","13.38","50412"
"2017-07-17","13.7","13.805","13.46","13.62","62585"
"2017-07-14","13.95","14.04","13.6","13.67","88357"
"2017-07-13","14.0","14.05","13.66","13.88","123577"
"2017-07-12","13.82","14.0","13.75","13.9","29339"
"2017-07-11","13.76","14.02","13.75","13.76","22632"
"2017-07-10","13.8","14.05","13.68","13.85","33645"
"2017-07-07","13.68","14.09","13.6","13.98","25834"
"2017-07-06","13.51","14.08","13.51","13.7","33038"
"2017-07-05","13.89","13.98","13.51","13.77","28674"
"2017-07-03","14.08","14.39","13.77","13.86","16406"
"2017-06-30","13.88","14.18","13.88","14.18","31915"
"2017-06-29","14.28","14.54","13.72","13.87","67350"
"2017-06-28","14.4","14.6","14.26","14.36","35571"
"2017-06-27","14.831","15.0","14.31","14.36","71718"
"2017-06-26","14.57","14.89","14.5","14.79","81205"
"2017-06-23","14.42","14.53","14.25","14.53","67675"
"2017-06-22","13.96","14.56","13.96","14.39","54919"
"2017-06-21","14.03","14.3","13.9","13.92","38229"
"2017-06-20","14.16","14.436","13.75","14.04","50957"
"2017-06-19","14.3","14.39","13.933","14.12","27924"
"2017-06-16","14.12","14.549","13.92","14.29","55538"
"2017-06-15","14.44","14.71","13.95","14.09","65705"
"2017-06-14","14.43","14.74","14.14","14.68","55961"
"2017-06-13","14.44","14.68","14.18","14.39","85016"
"2017-06-12","14.14","14.529","13.8","14.42","116154"
"2017-06-09","14.88","15.54","13.8","14.26","252191"
"2017-06-08","14.51","14.9","14.51","14.9","104607"
"2017-06-07","14.48","14.662","14.202","14.6","44580"
"2017-06-06","14.44","14.93","14.22","14.4","126087"
"2017-06-05","14.36","14.78","14.269","14.5","81751"
"2017-06-02","13.75","14.5","13.75","14.36","122247"
"2017-06-01","13.39","13.94","13.15","13.86","83397"
"2017-05-31","13.5","13.53","13.16","13.33","57630"
"2017-05-30","13.7","13.81","13.47","13.48","43927"
"2017-05-26","13.8","13.91","13.68","13.75","43538"
"2017-05-25","13.77","13.88","13.53","13.78","114064"
"2017-05-24","13.7","13.94","13.56","13.79","62414"
"2017-05-23","13.97","14.003","13.65","13.66","64905"
"2017-05-22","13.55","14.0","13.475","13.95","65138"
"2017-05-19","13.57","13.809","13.38","13.54","85359"
"2017-05-18","13.66","14.07","13.49","13.56","84621"
"2017-05-17","13.92","14.07","13.67","13.68","60896"
"2017-05-16","14.05","14.3","14.03","14.06","72220"
"2017-05-15","14.13","14.34","13.96","14.07","58734"
"2017-05-12","14.09","14.34","13.98","14.0","104934"
"2017-05-11","14.22","14.29","13.92","14.08","118903"
"2017-05-10","13.81","14.33","13.71","14.3","120360"
"2017-05-09","13.53","13.92","13.39","13.89","147269"
"2017-05-08","13.82","14.02","13.08","13.61","212045"
"2017-05-05","14.45","14.456","13.62","13.81","272801"
"2017-05-04","15.45","16.23","14.25","14.43","477927"
"2017-05-03","14.42","14.46","14.01","14.2","157019"
"2017-05-02","14.95","15.05","14.28","14.5","176484"
"2017-05-01","14.86","15.04","14.531","14.89","129495"
"2017-04-28","15.0","15.05","14.52","14.91","145653"
"2017-04-27","15.18","15.25","14.8","14.96","163951"
"2017-04-26","15.22","15.42","15.07","15.19","98491"
"2017-04-25","14.93","15.43","14.71","15.2","278438"
"2017-04-24","14.9","14.97","14.582","14.87","105471"
"2017-04-21","14.4","14.9","14.25","14.67","77247"
"2017-04-20","14.54","14.788","14.39","14.46","50725"
"2017-04-19","14.59","14.815","14.4","14.51","51847"
"2017-04-18","14.53","15.018","14.48","14.6","116049"
"2017-04-17","15.01","15.04","14.3","14.62","127315"
"2017-04-13","15.19","15.2","14.8","15.02","62561"
"2017-04-12","15.32","15.34","14.992","15.22","80478"
"2017-04-11","14.92","15.55","14.92","15.29","170340"
"2017-04-10","15.0","15.09","14.505","14.96","80165"
"2017-04-07","14.65","14.86","14.4","14.82","76928"
"2017-04-06","14.37","14.84","14.02","14.72","71476"
"2017-04-05","14.68","14.89","14.21","14.45","80916"
"2017-04-04","14.63","14.9","14.54","14.7","61146"
"2017-04-03","15.11","15.314","14.53","14.74","114973"
"2017-03-31","15.21","15.69","15.01","15.16","213595"
"2017-03-30","14.2","15.48","14.061","15.16","371232"
"2017-03-29","14.4","14.58","14.11","14.2","78850"
