"Date","Open","High","Low","Close","Volume"
"2017-12-29","5.31","5.41","5.2","5.33","62089"
"2017-12-28","5.3","5.36","5.26","5.36","89945"
"2017-12-27","5.36","5.52","5.33","5.35","97616"
"2017-12-26","5.4","5.425","5.3","5.335","20296"
"2017-12-22","5.27","5.43","5.27","5.33","42339"
"2017-12-21","5.27","5.47","5.27","5.31","77014"
"2017-12-20","5.26","5.32","5.26","5.27","29338"
"2017-12-19","5.37","5.385","5.16","5.25","140867"
"2017-12-18","5.69","5.69","5.4","5.4","99660"
"2017-12-15","5.7","5.8","5.67","5.69","61766"
"2017-12-14","5.47","5.8816","5.39","5.75","252916"
"2017-12-13","5.375","5.5","5.35","5.45","57120"
"2017-12-12","5.45","5.5745","5.4","5.42","113509"
"2017-12-11","5.59","5.65","5.401","5.52","110913"
"2017-12-08","5.64","5.78","5.62","5.76","42146"
"2017-12-07","5.51","5.69","5.51","5.59","75869"
"2017-12-06","5.61","5.69","5.45","5.58","64978"
"2017-12-05","5.85","5.89","5.62","5.66","43627"
"2017-12-04","5.95","6.0","5.81","5.87","24041"
"2017-12-01","6.0","6.01","5.88","5.91","33015"
"2017-11-30","6.0","6.09","5.9895","6.0","59595"
"2017-11-29","5.9","6.09","5.84","5.93","81578"
"2017-11-28","5.6","5.95","5.5401","5.85","243809"
"2017-11-27","5.54","5.6","5.48","5.57","12889"
"2017-11-24","5.55","5.61","5.51","5.55","23451"
"2017-11-22","5.65","5.73","5.59","5.63","70491"
"2017-11-21","5.43","5.66","5.43","5.65","168356"
"2017-11-20","5.31","5.46","5.31","5.38","48127"
"2017-11-17","5.44","5.46","5.4","5.4","3317"
"2017-11-16","5.25","5.569","5.2","5.43","158150"
"2017-11-15","5.16","5.25","5.09","5.25","28839"
"2017-11-14","5.21","5.26","5.14","5.19","45967"
"2017-11-13","5.13","5.33","5.13","5.25","17408"
"2017-11-10","5.3","5.5","5.27","5.4","71034"
"2017-11-09","5.2","5.3","5.2","5.27","32243"
"2017-11-08","5.31","5.44","5.24","5.42","65766"
"2017-11-07","5.12","5.42","5.11","5.33","217366"
"2017-11-06","5.25","5.25","4.91","4.91","97227"
"2017-11-03","5.29","5.35","5.27","5.33","5311"
"2017-11-02","5.4","5.4","5.33","5.36","11383"
"2017-11-01","5.48","5.52","5.41","5.41","6760"
"2017-10-31","5.44","5.49","5.41","5.48","13094"
"2017-10-30","5.42","5.53","5.41","5.44","16973"
"2017-10-27","5.36","5.4","5.36","5.4","2129"
"2017-10-26","5.44","5.45","5.33","5.36","4071"
"2017-10-25","5.4","5.4","5.18","5.36","6005"
"2017-10-24","5.42","5.45","5.4","5.43","11103"
"2017-10-23","5.41","5.45","5.4","5.45","19350"
"2017-10-20","5.23","5.36","5.23","5.36","22138"
"2017-10-19","5.35","5.43","5.29","5.29","28570"
"2017-10-18","5.32","5.39","5.27","5.32","38134"
"2017-10-17","5.31","5.35","5.24","5.28","31531"
"2017-10-16","5.22","5.27","5.19","5.2","21454"
"2017-10-13","5.01","5.23","5.01","5.21","4815"
"2017-10-12","5.24","5.24","5.2","5.23","1565"
"2017-10-11","5.28","5.28","5.15","5.2","2227"
"2017-10-10","5.25","5.29","5.24","5.26","8836"
"2017-10-09","5.23","5.3","5.23","5.3","18747"
"2017-10-06","5.25","5.28","5.23","5.25","2050"
