"Date","Open","High","Low","Close","Volume"
"2017-12-29","14.0","14.0499","13.85","13.85","1713"
"2017-12-28","13.925","14.222","13.85","14.222","2723"
"2017-12-27","13.925","14.1","13.8821","14.1","1826"
"2017-12-26","13.735","14.08","13.6871","13.9","5050"
"2017-12-22","14.2","14.2","13.75","13.95","8601"
"2017-12-21","13.9","14.1","13.9","14.05","12427"
"2017-12-20","14.2","14.2","14.0","14.0","348"
"2017-12-19","14.24","14.24","14.24","14.24","705"
"2017-12-18","13.85","14.3828","13.85","14.125","16929"
"2017-12-15","13.95","14.0","13.2","13.75","4830"
"2017-12-14","14.5","14.5","14.45","14.4545","5860"
"2017-12-13","14.5","14.5","14.465","14.5","14930"
"2017-12-12","14.35","14.55","14.35","14.4","12414"
"2017-12-11","14.15","14.338","14.1","14.201","10934"
"2017-12-08","13.9","14.55","13.9","14.35","10500"
"2017-12-07","13.9","14.35","13.6125","14.35","12816"
"2017-12-06","14.45","14.45","14.45","14.45","15"
"2017-12-05","14.2","14.45","13.9288","14.45","1243"
"2017-12-04","14.5","14.5","13.75","14.0485","12628"
"2017-12-01","14.2916","14.55","14.2411","14.55","11302"
"2017-11-30","13.79","15.0","13.7501","14.608","23031"
"2017-11-29","13.95","14.0","13.55","13.7242","5384"
"2017-11-28","13.728","14.0","13.728","13.9","29724"
"2017-11-27","13.874","13.874","13.5","13.6667","11449"
"2017-11-24","13.9967","13.9967","13.7284","13.9","4193"
"2017-11-22","12.5","14.1","12.5","13.7","94741"
"2017-11-21","12.3","12.3","12.2","12.3","11547"
"2017-11-20","11.9595","12.35","11.9595","12.3","5477"
"2017-11-17","12.1175","12.4","12.1175","12.25","2231"
"2017-11-16","12.4","12.45","12.3","12.45","751"
"2017-11-15","12.4001","12.4001","12.4","12.4","763"
"2017-11-14","12.3","12.45","12.0501","12.45","1100"
"2017-11-13","12.1","12.4","12.1","12.4","363"
"2017-11-10","12.25","12.35","12.1","12.2","3300"
"2017-11-09","12.05","12.6","12.05","12.1","6262"
"2017-11-08","12.3","12.3","12.085","12.25","4042"
"2017-11-07","12.55","12.55","12.45","12.45","4602"
"2017-11-06","12.5","12.5","12.45","12.45","7989"
"2017-11-03","12.7","12.7","12.45","12.45","9003"
"2017-11-02","12.35","12.5","12.301","12.5","710"
"2017-11-01","12.57","12.65","12.4","12.65","27753"
"2017-10-31","12.6","12.6","12.6","12.6","15"
"2017-10-30","12.65","12.65","12.6","12.65","1310"
"2017-10-27","12.5","12.8","12.5","12.7","25300"
"2017-10-26","12.5","12.7","12.36","12.6501","18841"
"2017-10-25","12.1914","12.5","12.1115","12.4","7924"
"2017-10-24","12.4","12.5","12.4","12.5","5656"
"2017-10-23","11.9","12.4","11.85","12.35","6356"
"2017-10-20","12.187","12.242","11.95","12.242","15178"
"2017-10-19","11.0","12.65","11.0","12.3","1252"
"2017-10-18","12.4","12.5","12.4","12.4","4078"
"2017-10-17","12.415","12.6375","12.4","12.5","31109"
"2017-10-16","12.85","12.9","12.5","12.5","3730"
"2017-10-13","12.9","12.9","12.75","12.75","627"
"2017-10-12","12.85","12.95","12.833","12.85","55010"
"2017-10-11","12.85","13.0","12.85","12.85","18366"
"2017-10-10","13.0","13.0","12.85","12.85","3071"
"2017-10-09","13.0001","13.0001","13.0","13.0","5197"
"2017-10-06","13.0","13.1","12.9","13.0","9759"
"2017-10-05","13.05","13.145","12.95","13.0","12065"
"2017-10-04","12.9","13.2","12.9","13.05","13870"
"2017-10-03","13.068","13.15","13.0","13.0","5780"
"2017-10-02","13.0","13.2","12.9","13.05","20900"
"2017-09-29","13.15","13.15","12.85","13.0","8100"
"2017-09-28","13.05","13.15","12.855","13.15","3306"
"2017-09-27","13.15","13.15","13.0737","13.15","444"
"2017-09-26","13.0","13.0","12.9001","13.0","6644"
"2017-09-25","13.0","13.0","12.85","12.85","1471"
"2017-09-22","13.0","13.0","13.0","13.0","362"
"2017-09-21","12.875","12.95","12.7708","12.85","27305"
"2017-09-20","13.1","13.1","12.75","12.75","2443"
"2017-09-19","12.9","13.025","12.725","12.8","44729"
"2017-09-18","12.85","13.15","12.8","12.85","6315"
"2017-09-15","13.15","13.15","12.8","12.8","118490"
"2017-09-14","13.25","13.4","12.95","12.95","145386"
"2017-09-13","13.1277","13.5","13.1277","13.25","19984"
"2017-09-12","13.25","13.3","13.1","13.2","2822"
"2017-09-11","13.3","13.33","13.2474","13.25","6241"
"2017-09-08","13.2","13.25","13.2","13.25","877"
"2017-09-07","13.4","13.55","13.25","13.3","11989"
"2017-09-06","13.7","13.7","13.2","13.2","15376"
"2017-09-05","13.6","13.7","13.3459","13.5","14145"
"2017-09-01","13.65","13.7","13.65","13.65","433"
"2017-08-31","13.65","13.75","13.579","13.6","12995"
"2017-08-30","13.3","13.7","13.25","13.7","15002"
"2017-08-29","13.7018","13.7587","13.65","13.65","842"
"2017-08-28","13.7","13.95","13.2","13.75","15167"
"2017-08-25","13.6","13.8","13.35","13.8","15649"
"2017-08-24","13.575","13.75","13.45","13.65","19144"
"2017-08-23","13.9","13.9","13.4398","13.8","1558"
"2017-08-22","13.8","13.8","13.8","13.8","7557"
"2017-08-21","13.7","13.9","13.7","13.85","11728"
"2017-08-18","13.7","13.8","13.7","13.7","4844"
"2017-08-17","13.6","13.7","13.6","13.65","6175"
"2017-08-16","13.75","13.8","13.7","13.7","22287"
"2017-08-15","13.8145","13.8145","13.75","13.8","16621"
"2017-08-14","13.75","13.9","13.7","13.8","12316"
"2017-08-11","13.8","13.85","13.8","13.8","2845"
"2017-08-10","13.3","14.0","13.2","13.95","37365"
"2017-08-09","13.7202","13.766","13.7","13.7","2667"
"2017-08-08","13.65","13.85","13.65","13.85","2739"
"2017-08-07","14.05","14.05","13.65","13.65","26748"
"2017-08-04","13.8","13.9","13.65","13.9","794"
"2017-08-03","13.85","13.85","13.85","13.85","55"
"2017-08-02","13.8","13.85","13.75","13.85","1907"
"2017-08-01","13.7501","13.8031","13.725","13.725","787"
"2017-07-31","13.8","14.05","13.7","13.8","5788"
"2017-07-28","13.8501","14.15","13.85","14.05","1191"
"2017-07-27","13.95","14.05","13.85","13.85","9438"
"2017-07-26","13.7","14.1","13.7","14.0","31669"
"2017-07-25","14.1","14.1","13.65","13.65","10653"
"2017-07-24","14.05","14.05","13.8207","13.902","1441"
"2017-07-21","14.0","14.0","14.0","14.0","258"
"2017-07-20","13.7269","14.1","13.7269","13.95","4483"
"2017-07-19","13.825","13.825","13.825","13.825","893"
"2017-07-18","13.7","13.847","13.65","13.7","16152"
"2017-07-17","13.75","13.95","13.65","13.7","7344"
"2017-07-14","13.85","14.1","13.725","13.9","13127"
"2017-07-13","13.95","13.95","13.425","13.9","6829"
"2017-07-12","13.4245","14.05","13.4","14.05","13475"
"2017-07-11","13.35","13.35","13.2","13.2","6845"
"2017-07-10","13.15","13.35","13.05","13.25","40852"
"2017-07-07","12.9265","13.35","12.9","13.25","14396"
"2017-07-06","13.066","13.15","13.0","13.05","7719"
"2017-07-05","13.1","13.15","12.85","13.15","29249"
"2017-07-03","12.9","13.0","12.6877","13.0","10016"
"2017-06-30","12.9482","13.35","12.8","12.9","12102"
"2017-06-29","13.2","13.2","12.8","12.9","5699"
"2017-06-28","12.85","13.45","12.85","13.15","35759"
"2017-06-27","13.1","13.2","12.7318","13.2","18100"
"2017-06-26","13.35","13.4","12.85","13.25","9285"
"2017-06-23","13.55","13.55","12.8","13.35","33329"
"2017-06-22","13.5","13.5","12.95","13.3","9183"
"2017-06-21","13.55","13.55","13.4","13.45","19591"
"2017-06-20","13.55","13.7","13.4","13.45","10382"
