"Date","Open","High","Low","Close","Volume"
"2017-12-29","59.49","59.89","58.65","58.75","808083"
"2017-12-28","59.03","59.61","58.84","59.5","675364"
"2017-12-27","59.38","59.89","58.4107","59.03","591302"
"2017-12-26","58.95","59.99","57.85","59.89","727086"
"2017-12-22","58.99","59.54","58.601","58.99","500841"
"2017-12-21","58.5","59.25","57.87","59.06","813170"
"2017-12-20","58.3","58.6","57.7455","58.51","648321"
"2017-12-19","58.17","58.7","57.69","58.1","703866"
"2017-12-18","56.94","58.28","56.792","58.17","1100655"
"2017-12-15","57.74","57.84","56.41","56.51","1109859"
"2017-12-14","58.69","58.78","57.355","57.56","332306"
"2017-12-13","58.12","59.475","58.12","58.42","488091"
"2017-12-12","58.56","58.9","57.75","57.85","498009"
"2017-12-11","59.27","59.92","58.12","58.81","615264"
"2017-12-08","58.73","59.4896","58.5","59.0","906712"
"2017-12-07","57.08","58.32","56.1","58.14","965429"
"2017-12-06","57.35","58.0","56.65","57.09","826314"
"2017-12-05","58.97","59.63","57.42","57.57","1431904"
"2017-12-04","62.26","62.669","59.02","59.33","2320667"
"2017-12-01","58.9","65.09","58.89","62.03","8785193"
"2017-11-30","54.62","55.74","53.89","54.27","1656785"
"2017-11-29","55.64","55.96","53.8","54.46","1087000"
"2017-11-28","57.5","57.5","55.49","55.62","755708"
"2017-11-27","58.0","58.55","57.13","57.51","724784"
"2017-11-24","57.94","58.51","57.745","58.44","379927"
"2017-11-22","57.0","58.3","56.64","57.71","791375"
"2017-11-21","56.43","57.22","56.21","56.98","598883"
"2017-11-20","53.51","56.44","53.51","56.27","657325"
"2017-11-17","54.16","54.47","53.59","53.71","679308"
"2017-11-16","53.78","54.79","53.76","54.3","578812"
"2017-11-15","54.02","54.33","52.45","53.6","791398"
"2017-11-14","55.06","56.13","54.54","54.68","667102"
"2017-11-13","55.96","56.28","55.28","55.31","476885"
"2017-11-10","56.4","57.14","55.86","56.45","403920"
"2017-11-09","56.7","56.71","55.34","56.42","722592"
"2017-11-08","56.05","57.68","56.05","57.35","617268"
"2017-11-07","57.56","57.56","55.57","56.02","791381"
"2017-11-06","55.99","58.09","55.77","58.01","1093081"
"2017-11-03","55.17","56.1","54.6","55.85","572027"
"2017-11-02","56.2","56.2","54.27","55.08","807056"
"2017-11-01","56.6","57.4","55.45","56.38","802550"
"2017-10-31","55.0","56.61","54.85","56.44","843883"
"2017-10-30","55.06","55.08","53.75","54.74","567318"
"2017-10-27","55.12","55.3","54.1","54.94","664806"
"2017-10-26","53.62","55.41","53.33","54.4","1396909"
"2017-10-25","53.72","54.64","53.1","53.71","463574"
"2017-10-24","54.45","54.9","53.71","54.08","693830"
"2017-10-23","53.15","54.67","52.51","54.25","1288493"
"2017-10-20","53.34","53.47","52.42","52.85","569584"
"2017-10-19","52.59","53.2","52.09","52.74","613613"
"2017-10-18","53.98","54.0","52.93","53.03","769771"
"2017-10-17","53.74","53.93","52.82","53.83","919579"
"2017-10-16","54.04","55.13","53.42","54.08","1215430"
"2017-10-13","52.25","54.83","52.25","54.7","1800854"
"2017-10-12","51.19","51.71","50.92","51.46","443383"
"2017-10-11","50.94","52.01","50.65","51.51","913238"
"2017-10-10","50.5","51.21","50.35","50.93","896212"
"2017-10-09","49.92","50.69","49.56","50.35","884137"
"2017-10-06","48.61","49.84","48.5","49.73","554511"
"2017-10-05","49.67","49.86","48.6","48.66","545882"
"2017-10-04","49.26","49.87","48.76","49.5","582120"
"2017-10-03","48.8","49.92","48.65","49.3","726443"
"2017-10-02","49.03","49.38","48.13","48.7","1000258"
"2017-09-29","48.87","49.9","48.26","49.01","1041484"
"2017-09-28","48.42","48.96","47.7","48.47","845466"
"2017-09-27","47.54","49.37","47.5","48.57","2307887"
"2017-09-26","46.63","46.66","45.48","45.6","779872"
"2017-09-25","46.71","47.2","45.84","46.27","627114"
"2017-09-22","45.64","46.97","45.51","46.96","1073535"
"2017-09-21","46.0","46.82","45.73","45.83","1000740"
"2017-09-20","46.36","46.45","45.84","46.15","741920"
"2017-09-19","46.84","47.04","46.05","46.44","665510"
"2017-09-18","46.4","46.92","45.94","46.56","1032427"
"2017-09-15","45.45","46.6","45.35","46.43","1001530"
"2017-09-14","46.02","46.45","45.3","45.46","827685"
"2017-09-13","46.32","47.3","45.84","46.18","1380876"
"2017-09-12","44.77","47.0","44.66","46.33","1970924"
"2017-09-11","43.65","44.61","43.52","44.59","1737973"
"2017-09-08","43.12","43.46","41.9","43.44","2225224"
"2017-09-07","42.44","43.6","41.88","42.94","2877137"
"2017-09-06","40.61","41.76","40.06","41.58","2564199"
"2017-09-05","41.57","42.88","40.57","40.6","3953825"
"2017-09-01","45.93","46.68","42.01","42.24","16101252"
"2017-08-31","54.21","54.74","53.7","54.4","1387459"
"2017-08-30","54.35","54.85","54.05","54.08","484132"
"2017-08-29","53.96","54.59","53.25","54.23","762398"
"2017-08-28","53.17","54.93","53.03","54.8","691432"
"2017-08-25","52.61","53.59","52.32","52.98","473340"
"2017-08-24","53.33","53.94","52.34","52.44","599162"
"2017-08-23","51.24","53.49","50.73","53.3","679182"
"2017-08-22","49.75","52.3","49.7","51.67","912661"
"2017-08-21","50.61","50.65","49.22","49.39","398580"
"2017-08-18","50.33","51.1","50.26","50.64","340109"
"2017-08-17","50.63","51.35","50.43","50.6","341401"
"2017-08-16","51.61","52.15","50.47","50.81","460455"
"2017-08-15","52.12","52.6","51.32","51.43","386198"
"2017-08-14","51.14","52.25","50.57","51.96","399860"
"2017-08-11","50.68","51.0","50.04","50.7","389219"
"2017-08-10","51.34","51.86","49.8","50.53","726514"
"2017-08-09","52.0","52.75","51.34","51.66","497753"
"2017-08-08","51.03","52.81","50.9","52.26","743840"
"2017-08-07","50.89","51.6","50.63","51.28","659601"
"2017-08-04","51.01","52.0","50.76","50.9","508731"
"2017-08-03","50.92","51.59","50.09","50.46","415660"
"2017-08-02","51.87","51.95","50.27","50.65","524881"
"2017-08-01","50.22","51.51","49.6","51.4","660119"
"2017-07-31","50.22","50.28","49.48","50.05","353831"
"2017-07-28","49.26","50.16","49.21","50.05","397438"
"2017-07-27","50.66","51.06","49.22","49.53","832484"
"2017-07-26","50.84","51.23","50.08","50.61","454599"
"2017-07-25","50.11","50.96","49.99","50.66","464945"
"2017-07-24","50.65","50.65","49.84","50.09","475737"
