"Date","Open","High","Low","Close","Volume"
"2017-12-29","10.57","10.58","10.27","10.28","26321111"
"2017-12-28","10.57","10.64","10.43","10.55","18345480"
"2017-12-27","10.45","10.74","10.4","10.53","22780900"
"2017-12-26","10.38","10.579","10.34","10.46","20362897"
"2017-12-22","10.75","10.77","10.2","10.54","50572874"
"2017-12-21","10.98","11.0793","10.87","10.89","21645217"
"2017-12-20","11.1","11.18","10.8","10.98","31053753"
"2017-12-19","11.0","11.19","10.87","10.95","43445290"
"2017-12-18","10.6","11.0","10.51","10.98","62789226"
"2017-12-15","10.13","10.32","10.02","10.29","42459234"
"2017-12-14","10.1","10.17","9.96","10.13","26491754"
"2017-12-13","9.97","10.21","9.95","10.11","41201508"
"2017-12-12","10.13","10.14","9.88","9.9","35843064"
"2017-12-11","9.97","10.16","9.96","10.16","29359732"
"2017-12-08","10.15","10.2","9.92","9.94","34582737"
"2017-12-07","10.0705","10.19","9.95","10.04","32273896"
"2017-12-06","9.9","10.05","9.71","10.0","38351614"
"2017-12-05","9.89","10.34","9.7","9.91","66840417"
"2017-12-04","10.85","10.86","9.82","10.03","95608827"
"2017-12-01","10.81","10.97","10.53","10.73","41932685"
"2017-11-30","10.87","11.03","10.76","10.89","43101899"
"2017-11-29","11.08","11.17","10.73","10.83","63237037"
"2017-11-28","11.45","11.54","11.0","11.17","65088197"
"2017-11-27","11.34","11.74","11.3358","11.55","41565129"
"2017-11-24","11.38","11.42","11.3","11.38","11033178"
"2017-11-22","11.41","11.49","11.3","11.37","23686100"
"2017-11-21","11.42","11.49","11.24","11.4","31469531"
"2017-11-20","11.47","11.51","11.19","11.34","35827552"
"2017-11-17","11.3","11.75","11.28","11.38","56245136"
"2017-11-16","11.13","11.32","11.13","11.25","30814936"
"2017-11-15","11.01","11.13","10.77","11.07","33326871"
"2017-11-14","11.03","11.26","11.0","11.12","36254723"
"2017-11-13","11.18","11.2","10.92","11.09","53925999"
"2017-11-10","11.22","11.43","11.12","11.26","50022529"
"2017-11-09","11.25","11.35","11.03","11.12","75698460"
"2017-11-08","11.94","11.95","11.51","11.71","59065041"
"2017-11-07","11.94","12.27","11.92","12.05","66232713"
"2017-11-06","12.04","12.09","11.64","11.93","95719936"
"2017-11-03","10.95","11.13","10.82","11.12","43989491"
"2017-11-02","10.87","10.99","10.66","10.85","47509725"
"2017-11-01","11.25","11.29","10.72","10.8","66416610"
"2017-10-31","10.76","11.31","10.69","10.99","78118243"
"2017-10-30","11.26","11.42","10.65","10.89","136725037"
"2017-10-27","12.17","12.19","11.35","11.84","115163241"
"2017-10-26","12.45","12.46","12.0","12.01","86725366"
"2017-10-25","12.95","13.13","12.29","12.33","165686209"
"2017-10-24","14.2","14.36","14.15","14.25","60340437"
"2017-10-23","13.94","14.19","13.9","14.1","49438627"
"2017-10-20","14.03","14.09","13.8","13.81","31624215"
"2017-10-19","13.85","14.04","13.69","13.95","33600243"
"2017-10-18","14.2","14.28","13.76","14.07","38868463"
"2017-10-17","14.24","14.35","14.14","14.16","28695155"
"2017-10-16","14.25","14.35","14.12","14.26","33684147"
