"Date","Open","High","Low","Close","Volume"
"2017-12-29","49.65","50.0","49.25","49.25","317772"
"2017-12-28","49.2","50.1","49.0","49.65","232653"
"2017-12-27","48.65","49.45","48.35","49.3","476366"
"2017-12-26","48.7","49.35","48.25","48.8","214853"
"2017-12-22","48.4","48.85","47.4","48.5","350314"
"2017-12-21","49.4","49.95","48.5","48.75","274260"
"2017-12-20","49.1","49.95","49.0","49.45","449127"
"2017-12-19","48.9","49.9","48.65","49.3","437860"
"2017-12-18","49.3","50.0","48.25","48.95","308045"
"2017-12-15","47.8","49.2","47.45","48.95","793466"
"2017-12-14","48.25","48.35","46.75","47.45","511358"
"2017-12-13","48.15","48.575","47.755","48.25","313703"
"2017-12-12","49.35","49.7","48.2","48.3","439920"
"2017-12-11","50.4","50.4","49.2","49.4","210483"
"2017-12-08","49.4","50.25","49.025","50.15","503233"
"2017-12-07","49.2","49.45","48.85","49.0","257094"
"2017-12-06","49.35","49.85","48.95","49.1","318578"
"2017-12-05","50.7","50.85","49.2","49.3","350006"
"2017-12-04","50.0","51.05","49.65","50.6","526476"
"2017-12-01","50.0","50.0","47.75","49.6","387845"
"2017-11-30","51.0","51.75","49.3","50.2","664754"
"2017-11-29","48.15","50.9","47.95","50.85","822521"
"2017-11-28","47.5","48.4","47.0","48.0","416714"
"2017-11-27","47.35","47.5","46.8","47.3","513718"
"2017-11-24","47.3","47.55","46.55","47.35","235843"
"2017-11-22","45.95","47.65","45.9","47.1","498029"
"2017-11-21","44.65","45.85","44.25","45.75","488910"
"2017-11-20","44.35","44.8","43.9","44.55","560374"
"2017-11-17","44.0","44.45","43.1","44.3","454180"
"2017-11-16","43.0","44.45","42.4","43.65","385227"
"2017-11-15","42.9","43.1","42.35","42.45","615151"
"2017-11-14","44.1","44.1","42.85","43.25","373957"
"2017-11-13","43.8","44.25","43.15","44.1","496946"
"2017-11-10","43.05","43.95","42.88","43.85","397824"
"2017-11-09","42.7","43.2","42.4","43.05","360307"
"2017-11-08","42.0","43.25","41.75","43.15","532378"
"2017-11-07","42.85","43.75","41.55","41.95","463441"
"2017-11-06","40.8","42.65","40.55","42.5","777366"
"2017-11-03","38.25","41.95","37.71","41.1","1053644"
"2017-11-02","42.7","42.85","40.45","40.65","1163481"
"2017-11-01","44.05","44.05","41.83","42.65","1144646"
"2017-10-31","43.15","44.0","42.8","43.9","973304"
"2017-10-30","43.25","43.45","42.5","43.0","416677"
"2017-10-27","42.8","43.43","42.15","43.3","719295"
"2017-10-26","43.1","43.4","42.4","42.5","329888"
"2017-10-25","43.1","43.65","42.65","43.15","387066"
"2017-10-24","43.4","43.6","42.8","42.9","428416"
"2017-10-23","43.95","44.0","43.05","43.45","252428"
"2017-10-20","43.7","44.0","43.25","43.65","410325"
"2017-10-19","43.0","43.3","42.5","43.25","300116"
"2017-10-18","42.15","43.05","42.02","43.0","288748"
"2017-10-17","42.0","42.5","41.74","41.95","258559"
"2017-10-16","41.7","42.5","41.4","41.95","436960"
"2017-10-13","41.65","41.65","40.85","41.4","553483"
"2017-10-12","42.2","42.6","41.55","41.6","508564"
"2017-10-11","42.0","42.6","42.0","42.25","442697"
"2017-10-10","42.8","43.05","41.96","42.1","409216"
"2017-10-09","45.05","45.23","42.35","42.5","567948"
"2017-10-06","44.85","45.35","44.8","45.05","418456"
"2017-10-05","44.5","44.9","44.21","44.9","788045"
"2017-10-04","46.2","46.6","44.35","44.4","563825"
"2017-10-03","45.3","46.25","45.3","46.1","701034"
"2017-10-02","45.55","46.05","45.03","45.35","945837"
"2017-09-29","45.3","45.75","44.05","45.7","625343"
"2017-09-28","42.75","45.95","42.5","45.45","1036351"
"2017-09-27","40.95","42.85","40.95","42.8","977794"
"2017-09-26","40.75","41.45","40.5","40.6","648060"
"2017-09-25","41.0","41.2","40.35","40.6","619133"
"2017-09-22","40.75","41.2","40.65","41.15","443478"
"2017-09-21","40.5","41.45","40.15","40.9","622159"
"2017-09-20","39.25","40.65","39.0","40.5","851493"
