"Date","Open","High","Low","Close","Volume"
"2017-12-29","0.85","0.85","0.765","0.765","1200"
"2017-12-28","0.52","0.96","0.5","0.85","25978"
"2017-12-27","0.7","0.9","0.51","0.72","17370"
"2017-12-26","0.68","0.68","0.68","0.68","235"
"2017-12-22","0.5524","0.5524","0.5524","0.5524","274"
"2017-12-21","0.5249","0.53","0.5","0.53","5300"
"2017-12-20","0.53","0.55","0.35","0.5499","7296"
"2017-12-15","0.55","0.55","0.55","0.55","202"
"2017-12-13","0.52","0.55","0.52","0.55","351"
"2017-12-12","0.5","0.55","0.5","0.5","21633"
"2017-12-11","0.3608","0.3608","0.2526","0.2526","1000"
"2017-12-08","0.6114","0.6133","0.6114","0.6133","2970"
"2017-12-07","0.5","0.6114","0.5","0.6114","7818"
"2017-12-06","0.52","0.55","0.52","0.55","26224"
"2017-12-05","0.41","0.41","0.4","0.4","17183"
"2017-12-04","0.5","0.5","0.5","0.5","128"
"2017-12-01","0.54","0.55","0.5","0.5","1700"
"2017-11-30","0.39","0.5","0.39","0.49","1121"
"2017-11-29","0.65","0.65","0.35","0.4","58424"
"2017-11-27","0.55","0.6","0.55","0.6","16991"
"2017-11-22","0.5","0.55","0.47","0.55","6450"
"2017-11-21","0.515","0.55","0.4732","0.5","64691"
"2017-11-20","0.6026","0.7","0.55","0.65","8481"
"2017-11-17","0.5","0.75","0.5","0.65","81400"
