"Date","Open","High","Low","Close","Volume"
"2017-12-29","3.1","3.49","2.925","3.1","109529"
"2017-12-28","2.9","3.35","2.73","3.1","98445"
"2017-12-27","3.01","3.8535","2.72","2.96","188857"
"2017-12-26","2.72","3.0784","2.72","3.0","16412"
"2017-12-22","2.96","3.1","2.65","2.75","27162"
"2017-12-21","3.02","3.38","2.82","3.0","75433"
"2017-12-20","2.24","3.49","2.1231","3.08","210379"
"2017-12-19","2.1","2.24","2.0","2.21","44414"
"2017-12-18","1.5","2.19","1.5","2.12","172614"
"2017-12-15","1.4864","2.45","1.45","1.52","217089"
"2017-12-14","1.55","1.839","1.27","1.39","74575"
"2017-12-13","2.23","2.23","1.73","1.86","53742"
"2017-12-12","2.3326","2.4482","2.2","2.2146","9611"
"2017-12-11","2.46","2.8076","2.34","2.42","3108"
"2017-12-08","2.35","2.5375","2.33","2.33","14087"
"2017-12-07","2.5557","2.5557","2.3","2.5","20904"
"2017-12-06","3.0","3.0","2.45","2.8199","1207"
"2017-12-05","2.25","2.88","2.25","2.88","14760"
"2017-12-04","2.25","2.75","2.25","2.5","7488"
"2017-12-01","2.7","2.7","2.35","2.7","18387"
"2017-11-30","2.8","2.8","2.15","2.75","29464"
"2017-11-29","2.7","2.8048","2.3316","2.55","11184"
"2017-11-28","3.12","3.225","2.89","2.9","12801"
"2017-11-27","3.44","3.44","3.1215","3.2","9283"
"2017-11-24","3.24","3.3","3.12","3.25","5079"
"2017-11-22","3.4","3.4","3.1","3.17","7074"
"2017-11-21","3.45","3.45","3.15","3.24","28741"
"2017-11-20","3.49","3.49","3.2","3.49","57015"
"2017-11-17","3.6","3.6","2.931","3.49","251742"
"2017-11-16","8.7","8.7","8.7","8.7","28"
"2017-11-15","7.99","8.7","7.7","8.7","1832"
"2017-11-14","7.99","7.99","7.99","7.99","0"
"2017-11-13","6.7","7.99","6.7","7.99","384"
"2017-11-10","6.6","6.6","6.6","6.6","0"
"2017-11-09","6.6","6.6","6.6","6.6","0"
"2017-11-08","7.41","7.7","6.6","6.6","6914"
"2017-11-07","6.51","8.0","6.51","7.8","5885"
"2017-11-06","6.52","6.52","6.51","6.51","1500"
"2017-11-03","6.51","6.51","6.51","6.51","1206"
"2017-11-02","6.51","6.52","6.51","6.52","1508"
"2017-11-01","6.51","6.51","6.51","6.51","1012"
"2017-10-31","6.52","6.52","6.51","6.51","1500"
"2017-10-30","6.55","6.55","6.5","6.5","1703"
"2017-10-27","6.51","6.51","6.5","6.5","10158"
"2017-10-26","6.51","6.51","6.51","6.51","4003"
"2017-10-25","6.51","6.51","6.51","6.51","0"
"2017-10-24","6.51","6.51","6.51","6.51","0"
"2017-10-23","6.51","6.51","6.51","6.51","0"
"2017-10-20","6.51","6.51","6.51","6.51","0"
"2017-10-19","6.51","6.51","6.51","6.51","0"
"2017-10-18","6.51","6.51","6.51","6.51","68"
"2017-10-17","6.51","6.51","6.51","6.51","12"
"2017-10-16","6.51","6.51","6.51","6.51","126"
"2017-10-13","6.51","6.51","6.51","6.51","250"
"2017-10-10","6.51","6.51","6.51","6.51","568"
"2017-10-09","6.51","6.51","6.51","6.51","3"
"2017-10-06","6.51","6.51","6.51","6.51","9"
"2017-10-05","6.51","6.51","6.51","6.51","0"
"2017-10-04","6.51","6.51","6.51","6.51","1"
"2017-10-03","6.51","6.51","6.51","6.51","191"
"2017-10-02","6.51","6.51","6.51","6.51","0"
"2017-09-29","6.51","6.51","6.51","6.51","0"
"2017-09-28","6.51","6.51","6.51","6.51","6"
"2017-09-27","6.51","6.51","6.51","6.51","0"
"2017-09-26","6.51","6.51","6.51","6.51","0"
"2017-09-25","6.51","6.51","6.51","6.51","69"
"2017-09-22","6.51","6.51","6.51","6.51","1"
"2017-09-21","6.51","6.51","6.51","6.51","0"
"2017-09-20","6.51","6.51","6.51","6.51","14"
"2017-09-19","6.51","6.51","6.51","6.51","0"
"2017-09-18","6.51","6.51","6.51","6.51","20"
"2017-09-15","6.51","6.51","6.51","6.51","74"
"2017-09-14","6.51","6.51","6.51","6.51","0"
"2017-09-13","6.51","6.51","6.51","6.51","2"
"2017-09-12","6.51","6.51","6.51","6.51","0"
"2017-09-11","6.51","6.51","6.51","6.51","15"
