"Date","Open","High","Low","Close","Volume"
"2017-12-29","11.76","11.8","11.63","11.63","52182"
"2017-12-28","11.96","12.0","11.725","11.77","34227"
"2017-12-27","11.95","12.0","11.8601","11.93","32070"
"2017-12-26","11.77","11.98","11.725","11.95","68363"
"2017-12-22","11.86","11.95","11.61","11.76","100920"
"2017-12-21","11.78","11.92","11.72","11.85","50674"
"2017-12-20","11.78","11.85","11.667","11.73","86209"
"2017-12-19","11.73","11.83","11.65","11.72","105712"
"2017-12-18","11.71","11.89","11.6","11.72","86763"
"2017-12-15","11.69","11.83","11.55","11.66","182325"
"2017-12-14","11.98","12.06","11.66","11.68","114222"
"2017-12-13","11.86","11.99","11.772","11.98","67515"
"2017-12-12","11.75","11.91","11.69","11.85","58143"
"2017-12-11","11.8","11.85","11.65","11.73","62609"
"2017-12-08","11.97","12.01","11.78","11.84","61482"
"2017-12-07","11.87","12.09","11.63","11.91","61535"
"2017-12-06","11.74","11.99","11.74","11.83","48986"
"2017-12-05","11.83","11.845","11.571","11.71","93009"
"2017-12-04","12.0","12.0","11.71","11.78","73899"
"2017-12-01","12.97","12.98","11.87","11.98","121417"
"2017-11-30","13.0","13.01","12.84","12.91","94213"
"2017-11-29","13.0","13.045","12.84","12.94","50928"
"2017-11-28","12.56","13.0","12.5","12.98","65731"
"2017-11-27","12.31","12.63","12.31","12.52","43234"
"2017-11-24","12.5","12.5105","12.23","12.31","14372"
"2017-11-22","12.49","12.6","12.4101","12.44","42944"
"2017-11-21","12.28","12.5","12.2","12.44","35469"
"2017-11-20","12.03","12.24","11.861","12.24","33418"
"2017-11-17","12.05","12.17","11.9","12.01","35637"
"2017-11-16","12.01","12.21","11.92","12.11","46469"
"2017-11-15","12.01","12.12","11.88","11.93","46313"
"2017-11-14","11.8","12.1","11.5325","12.07","64971"
"2017-11-13","11.87","11.99","11.6459","11.82","62938"
"2017-11-10","11.9","12.05","11.8401","11.91","37950"
"2017-11-09","11.89","11.96","11.671","11.93","44397"
"2017-11-08","11.97","12.13","11.89","12.02","46506"
"2017-11-07","12.02","12.265","11.87","12.05","87374"
"2017-11-06","12.34","12.34","11.87","12.05","104607"
"2017-11-03","12.42","12.42","12.04","12.32","38138"
"2017-11-02","12.3","12.54","12.295","12.44","48892"
"2017-11-01","12.49","12.5","12.09","12.3","31937"
"2017-10-31","12.38","12.54","12.38","12.41","74546"
"2017-10-30","12.4","12.45","12.23","12.34","44400"
"2017-10-27","12.39","12.49","12.24","12.4","63949"
"2017-10-26","12.43","12.475","12.24","12.3","41344"
"2017-10-25","12.36","12.49","12.29","12.41","44002"
