"Date","Open","High","Low","Close","Volume"
"2017-12-29","147.9","149.18","147.52","147.59","369048"
"2017-12-28","146.84","147.92","146.12","147.65","251254"
"2017-12-27","146.59","147.15","145.81","146.66","193336"
"2017-12-26","146.26","146.66","145.14","146.39","250639"
"2017-12-22","147.23","147.23","145.03","146.66","189204"
"2017-12-21","147.91","148.26","146.9","147.23","352826"
"2017-12-20","147.57","148.07","145.655","147.35","385570"
"2017-12-19","147.81","148.3","146.82","147.63","253584"
"2017-12-18","148.0","148.92","146.875","147.59","432196"
"2017-12-15","144.84","148.45","144.56","148.03","893024"
"2017-12-14","144.97","146.065","144.38","144.51","237253"
"2017-12-13","145.78","146.34","144.06","144.76","326312"
"2017-12-12","146.09","146.75","144.85","145.33","432305"
"2017-12-11","146.01","146.98","145.37","146.39","372614"
"2017-12-08","146.82","147.68","145.6","146.13","413721"
"2017-12-07","144.46","146.58","144.255","146.31","319759"
"2017-12-06","143.6","144.8499","143.455","144.72","299770"
"2017-12-05","143.515","144.48","141.93","143.44","377688"
"2017-12-04","147.68","147.89","141.91","142.01","522486"
"2017-12-01","148.45","148.81","143.94","146.54","627675"
"2017-11-30","146.73","148.84","145.985","148.19","1243858"
"2017-11-29","149.71","150.43","145.78","146.58","674149"
"2017-11-28","151.24","152.28","149.62","150.27","583635"
"2017-11-27","151.91","152.44","150.14","150.88","592631"
"2017-11-24","150.59","152.64","149.41","151.91","571787"
"2017-11-22","153.8","153.8","150.07","150.48","742350"
"2017-11-21","151.63","154.43","150.87","153.4","618062"
"2017-11-20","150.83","151.82","150.44","151.21","352609"
"2017-11-17","151.18","151.92","150.05","150.57","355264"
"2017-11-16","149.5","152.02","149.1","151.46","306445"
"2017-11-15","149.4","151.34","148.95","149.32","535388"
"2017-11-14","150.25","150.7","149.18","149.43","545569"
"2017-11-13","150.0","151.74","149.37","150.87","316223"
"2017-11-10","150.14","150.54","149.21","150.28","315416"
"2017-11-09","150.75","151.34","149.0","150.47","367541"
"2017-11-08","151.36","152.72","149.7","151.48","487800"
"2017-11-07","150.72","152.5","149.69","151.93","518466"
"2017-11-06","149.3","152.22","147.39","151.2","738186"
"2017-11-03","148.93","150.68","147.7","149.1","747257"
"2017-11-02","143.98","155.14","143.27","148.68","1507464"
"2017-11-01","137.55","138.39","135.28","135.6","491276"
"2017-10-31","136.02","137.05","134.45","136.71","433740"
"2017-10-30","135.33","135.92","134.67","135.8","292201"
"2017-10-27","134.05","135.96","132.95","135.78","257372"
"2017-10-26","133.51","133.99","132.53","133.84","318175"
"2017-10-25","131.61","133.4","131.38","132.85","341623"
"2017-10-24","131.31","132.14","130.47","132.11","214211"
"2017-10-23","131.44","132.47","131.08","131.22","261359"
"2017-10-20","130.26","131.04","129.51","130.94","413818"
"2017-10-19","129.36","129.92","127.68","129.89","445030"
"2017-10-18","130.22","130.31","129.39","129.56","332150"
"2017-10-17","131.24","131.86","129.1","129.69","454767"
"2017-10-16","130.15","131.48","129.8","131.31","438904"
"2017-10-13","129.82","130.22","129.34","129.94","271154"
"2017-10-12","127.11","129.78","126.88","129.24","495220"
"2017-10-11","126.3","127.27","125.93","127.14","313755"
"2017-10-10","126.66","126.81","125.78","126.18","291345"
"2017-10-09","125.95","126.37","125.19","126.11","192671"
"2017-10-06","125.12","126.21","124.13","126.06","440189"
"2017-10-05","125.21","125.28","124.3","125.24","357141"
"2017-10-04","124.31","124.69","124.0","124.55","450504"
"2017-10-03","123.73","124.87","123.62","124.65","336906"
"2017-10-02","123.16","124.59","123.16","123.78","381958"
"2017-09-29","121.67","122.83","121.34","122.73","462520"
"2017-09-28","120.38","121.95","120.38","121.63","571587"
"2017-09-27","121.0","121.45","119.78","120.94","567456"
"2017-09-26","121.0","121.15","119.2","120.67","410621"
"2017-09-25","121.82","122.13","119.49","120.74","521324"
"2017-09-22","120.3","122.26","120.08","122.05","503236"
"2017-09-21","123.0","123.21","120.33","120.82","672273"
"2017-09-20","123.5","124.37","122.52","122.99","740638"
"2017-09-19","123.3","123.84","122.31","123.44","818914"
"2017-09-18","121.78","123.83","121.37","123.59","628057"
"2017-09-15","129.08","129.08","120.79","121.82","1751361"
"2017-09-14","131.43","131.43","128.96","129.15","553988"
"2017-09-13","131.68","132.74","131.34","131.51","333354"
"2017-09-12","129.49","132.07","129.14","132.01","445189"
"2017-09-11","129.28","130.46","128.39","129.81","447834"
"2017-09-08","128.31","129.12","127.87","128.44","235119"
"2017-09-07","128.17","128.88","127.64","128.46","239066"
"2017-09-06","128.67","128.99","127.22","127.68","366769"
"2017-09-05","128.0","128.52","126.93","128.49","356171"
"2017-09-01","128.57","129.57","127.71","128.11","387972"
"2017-08-31","128.39","128.89","127.43","128.82","459958"
"2017-08-30","126.23","127.95","126.14","127.91","245099"
"2017-08-29","127.16","127.16","126.04","126.57","351680"
"2017-08-28","128.1","128.48","127.19","127.64","202253"
"2017-08-25","127.93","128.55","127.3","127.77","192382"
"2017-08-24","127.43","127.8","126.34","127.13","235954"
"2017-08-23","128.19","128.94","127.2","127.26","451827"
