"Date","Open","High","Low","Close","Volume"
"2017-12-29","23.95","24.42","23.19","23.52","845997"
"2017-12-28","24.0","25.49","23.5817","23.83","700619"
"2017-12-27","23.18","24.955","23.18","23.62","1079058"
"2017-12-26","22.81","23.28","22.68","23.11","152503"
"2017-12-22","23.01","23.069","22.68","22.86","143596"
"2017-12-21","22.79","23.2","22.5885","23.06","163818"
"2017-12-20","23.03","23.31","22.51","22.64","313196"
"2017-12-19","23.01","23.4535","22.71","22.83","162567"
"2017-12-18","23.02","23.23","22.64","22.87","285773"
"2017-12-15","22.19","23.37","22.19","22.84","442417"
"2017-12-14","22.08","22.5","22.0","22.19","247279"
"2017-12-13","22.14","22.65","21.88","22.14","278867"
"2017-12-12","22.55","22.81","21.98","22.02","516721"
"2017-12-11","23.18","23.4","22.42","22.46","568292"
"2017-12-08","23.21","23.38","22.56","23.27","325633"
"2017-12-07","22.38","23.62","22.35","22.97","864057"
"2017-12-06","21.75","22.31","21.75","22.25","213495"
"2017-12-05","21.98","22.47","21.61","21.85","298474"
"2017-12-04","22.62","22.62","21.96","22.03","359357"
"2017-12-01","22.31","22.75","21.97","22.48","330824"
"2017-11-30","22.29","22.54","22.11","22.31","237154"
"2017-11-29","22.75","22.76","22.0","22.17","395681"
"2017-11-28","22.8","22.88","22.24","22.72","362712"
"2017-11-27","22.8","23.0","22.44","22.76","640188"
"2017-11-24","22.5","22.83","22.48","22.55","268391"
"2017-11-22","22.25","22.5","22.0","22.41","308980"
"2017-11-21","22.29","22.3","21.92","22.23","375854"
"2017-11-20","21.59","22.14","21.15","22.11","763369"
"2017-11-17","22.46","22.64","22.25","22.48","267562"
"2017-11-16","21.93","22.57","21.69","22.51","386654"
"2017-11-15","21.68","21.93","21.25","21.8","365045"
"2017-11-14","22.15","22.35","21.8","21.83","258213"
"2017-11-13","21.94","22.44","21.66","22.37","273669"
"2017-11-10","21.17","22.5","21.17","22.14","891651"
"2017-11-09","21.67","21.86","20.46","21.3","1109612"
"2017-11-08","21.46","21.97","21.096","21.89","281126"
"2017-11-07","21.96","22.37","21.56","21.57","279468"
"2017-11-06","22.56","22.92","21.07","21.84","1206934"
"2017-11-03","22.67","23.45","22.552","23.4","412461"
"2017-11-02","22.11","23.29","22.11","22.77","452980"
"2017-11-01","23.38","23.716","22.5","22.55","854077"
"2017-10-31","21.0","24.5","20.55","24.25","2869777"
"2017-10-30","19.2","19.23","18.41","19.09","526219"
"2017-10-27","18.8","19.26","18.787","19.2","380421"
"2017-10-26","18.76","18.9","18.48","18.72","185619"
"2017-10-25","18.6","18.78","18.39","18.7","108210"
"2017-10-24","18.46","19.0","18.46","18.6","345347"
"2017-10-23","18.71","18.71","18.35","18.5","184896"
"2017-10-20","18.69","18.81","18.51","18.73","176752"
"2017-10-19","18.7","18.78","18.43","18.55","221286"
"2017-10-18","18.39","18.93","18.295","18.83","267081"
"2017-10-17","18.32","18.45","18.22","18.26","180625"
"2017-10-16","18.42","18.48","18.16","18.31","129736"
"2017-10-13","18.65","18.82","18.2","18.31","105896"
"2017-10-12","18.57","18.6","18.37","18.57","81140"
"2017-10-11","18.63","18.78","18.41","18.56","116145"
"2017-10-10","18.76","18.89","18.39","18.63","109371"
"2017-10-09","18.97","19.15","18.78","18.8","130119"
"2017-10-06","18.7","19.11","18.58","18.96","410752"
"2017-10-05","18.92","18.92","18.54","18.66","184270"
"2017-10-04","18.85","18.97","18.41","18.82","114984"
"2017-10-03","18.62","19.02","18.56","18.86","322108"
"2017-10-02","18.55","18.907","18.53","18.77","231927"
"2017-09-29","18.23","18.53","18.14","18.47","169418"
"2017-09-28","18.2","18.35","18.09","18.19","188470"
"2017-09-27","17.49","18.46","17.45","18.28","326404"
"2017-09-26","17.39","17.43","17.23","17.31","127871"
"2017-09-25","17.35","17.61","16.98","17.3","237720"
"2017-09-22","17.62","17.71","17.36","17.42","177523"
"2017-09-21","17.59","17.75","17.41","17.75","131522"
"2017-09-20","17.75","17.78","17.54","17.59","298359"
"2017-09-19","17.69","17.85","17.63","17.69","334093"
"2017-09-18","17.6","17.75","17.31","17.59","359520"
"2017-09-15","17.52","17.66","17.41","17.6","570271"
"2017-09-14","17.32","17.77","17.14","17.5","275418"
"2017-09-13","17.15","17.48","17.15","17.45","187903"
"2017-09-12","17.07","17.286","17.07","17.23","181378"
"2017-09-11","16.71","17.14","16.56","17.12","277292"
"2017-09-08","17.17","17.2","16.6","16.64","160799"
"2017-09-07","17.02","17.5","16.907","17.15","194580"
"2017-09-06","17.5","17.52","17.22","17.38","103921"
"2017-09-05","17.7","17.76","17.25","17.5","187006"
"2017-09-01","17.76","17.85","17.62","17.74","197405"
"2017-08-31","17.5","17.82","17.25","17.8","356055"
"2017-08-30","17.74","17.82","17.595","17.66","365640"
"2017-08-29","17.32","17.75","17.32","17.65","270918"
"2017-08-28","16.97","17.5","16.89","17.48","228595"
"2017-08-25","17.0","17.17","16.88","16.99","228130"
"2017-08-24","16.94","17.0","16.849","16.97","248141"
"2017-08-23","16.8","16.97","16.8","16.89","163340"
"2017-08-22","16.89","16.99","16.72","16.85","446399"
"2017-08-21","16.6","16.88","16.558","16.85","206382"
"2017-08-18","16.48","16.82","16.4","16.55","256104"
"2017-08-17","16.82","17.1","16.52","16.53","149091"
"2017-08-16","17.06","17.25","16.8951","16.95","186963"
"2017-08-15","17.0","17.15","16.85","16.98","222379"
"2017-08-14","16.36","17.14","16.3001","16.91","346512"
"2017-08-11","16.29","16.59","16.07","16.3","233580"
"2017-08-10","16.9","16.99","16.39","16.41","152248"
"2017-08-09","16.91","17.26","16.82","17.03","172483"
"2017-08-08","17.24","17.3","17.02","17.11","165689"
"2017-08-07","16.75","17.27","16.71","17.26","329957"
"2017-08-04","16.54","17.06","16.4","16.73","358035"
"2017-08-03","18.0","18.27","16.77","17.43","682100"
"2017-08-02","17.59","17.9","17.27","17.84","313535"
"2017-08-01","17.88","17.94","17.493","17.59","158761"
"2017-07-31","17.87","17.95","17.53","17.75","330499"
"2017-07-28","17.45","18.0","17.3","17.74","466473"
"2017-07-27","17.48","17.81","17.06","17.27","185606"
"2017-07-26","17.38","17.67","17.22","17.37","166408"
"2017-07-25","17.04","17.34","16.97","17.31","81999"
"2017-07-24","16.77","17.06","16.77","17.01","222756"
"2017-07-21","16.81","16.89","16.6","16.81","111948"
"2017-07-20","16.64","16.96","16.6","16.72","110202"
