"Date","Open","High","Low","Close","Volume"
"2017-12-29","11.31","11.39","10.92","11.33","146877"
"2017-12-28","11.33","11.33","11.14","11.31","119666"
"2017-12-27","11.32","11.32","11.01","11.28","130865"
"2017-12-26","11.26","11.37","11.23","11.31","32820"
"2017-12-22","11.4","11.51","11.14","11.19","41196"
"2017-12-21","11.64","11.7499","11.45","11.55","68829"
"2017-12-20","11.19","11.61","10.9","11.42","131988"
"2017-12-19","10.86","10.98","10.76","10.86","91097"
"2017-12-18","10.79","10.92","10.75","10.91","140206"
"2017-12-15","10.98","11.03","10.61","10.65","836272"
"2017-12-14","11.29","11.39","10.63","10.8","324584"
"2017-12-13","10.93","11.28","10.76","11.17","197254"
"2017-12-12","11.12","11.12","10.69","10.86","199491"
"2017-12-11","11.0","11.32","10.94","11.0","138192"
"2017-12-08","11.16","11.35","11.0","11.0","123772"
"2017-12-07","10.95","11.475","10.825","11.22","268129"
"2017-12-06","10.78","11.6","10.7305","10.98","190012"
"2017-12-05","11.25","11.47","10.72","10.89","447068"
"2017-12-04","11.68","12.19","11.0","11.29","364252"
"2017-12-01","11.75","12.27","11.2725","11.62","313663"
"2017-11-30","12.59","13.0","11.73","11.95","342876"
"2017-11-29","13.5","13.8","12.25","12.57","747339"
"2017-11-28","12.0","13.52","11.98","13.46","980814"
"2017-11-27","11.8","11.95","11.61","11.8","103729"
"2017-11-24","11.74","11.85","11.51","11.72","37143"
"2017-11-22","11.86","11.975","11.512","11.73","157104"
"2017-11-21","11.76","11.96","11.58","11.81","214647"
"2017-11-20","11.69","11.98","11.67","11.76","132464"
"2017-11-17","11.79","12.0","11.5","11.73","98989"
"2017-11-16","11.33","11.7912","11.33","11.73","116100"
"2017-11-15","11.62","11.699","11.251","11.47","149617"
"2017-11-14","10.9","11.99","10.845","11.66","352883"
"2017-11-13","11.0","11.43","10.5","10.96","388522"
"2017-11-10","11.15","11.248","10.92","11.02","145100"
"2017-11-09","11.32","11.37","10.751","11.04","244432"
"2017-11-08","12.46","12.75","11.08","11.43","1324881"
"2017-11-07","10.75","12.05","10.75","11.95","909042"
"2017-11-06","9.81","10.71","9.6","10.43","830853"
"2017-11-03","9.31","10.41","9.01","9.51","4971052"
