"Date","Open","High","Low","Close","Volume"
"2017-12-29","25.97","26.0","25.69","25.69","1159311"
"2017-12-28","26.06","26.18","25.85","26.0","733713"
"2017-12-27","26.16","26.285","25.88","25.98","1192111"
"2017-12-26","26.17","26.26","25.84","26.02","853886"
"2017-12-22","26.91","26.91","26.21","26.23","2430759"
"2017-12-21","26.57","27.03","26.45","26.9","2942830"
"2017-12-20","25.93","26.68","25.9","26.5","2294605"
"2017-12-19","25.25","25.94","24.85","25.82","3001564"
"2017-12-18","26.16","26.28","25.71","25.75","2616952"
"2017-12-15","27.04","27.155","25.7","25.82","5670146"
"2017-12-14","28.3","28.38","26.47","26.97","3588872"
"2017-12-13","29.24","29.32","28.74","28.77","1449258"
"2017-12-12","29.26","29.505","29.09","29.13","2341568"
"2017-12-11","29.32","29.57","29.15","29.42","957755"
"2017-12-08","29.24","29.4","29.06","29.31","762789"
"2017-12-07","28.96","29.27","28.85","29.14","1199232"
"2017-12-06","29.31","29.47","28.92","28.94","1336546"
"2017-12-05","29.75","29.87","29.21","29.34","1596624"
"2017-12-04","29.95","29.99","29.6","29.65","1109715"
"2017-12-01","29.89","29.9","28.82","29.68","1339728"
"2017-11-30","29.47","30.0","29.23","29.97","1210306"
"2017-11-29","29.45","29.47","28.99","29.33","854377"
"2017-11-28","28.99","29.43","28.91","29.4","738610"
"2017-11-27","29.07","29.07","28.91","28.97","478203"
"2017-11-24","29.16","29.21","28.95","29.1","238876"
"2017-11-22","28.97","29.32","28.82","29.12","601109"
"2017-11-21","29.36","29.56","28.92","29.03","955938"
"2017-11-20","28.79","29.54","28.5","29.19","1443345"
"2017-11-17","27.69","28.7","27.69","28.67","920480"
"2017-11-16","27.61","27.76","27.44","27.71","728536"
"2017-11-15","27.75","27.89","27.42","27.44","759502"
"2017-11-14","27.8","28.06","27.7","27.79","741417"
"2017-11-13","27.78","28.14","27.71","27.83","645181"
"2017-11-10","27.84","28.12","27.64","28.02","644312"
"2017-11-09","27.84","28.22","27.46","27.91","901039"
"2017-11-08","27.96","28.11","27.81","27.97","744207"
"2017-11-07","28.01","28.19","27.88","27.96","906322"
"2017-11-06","28.25","28.43","27.96","28.18","612912"
"2017-11-03","28.71","28.72","27.68","28.18","1541356"
"2017-11-02","27.0","28.91","26.68","28.82","3089307"
"2017-11-01","28.72","28.83","27.91","27.95","1905273"
"2017-10-31","28.25","28.57","28.11","28.5","1481826"
"2017-10-30","27.93","28.35","27.86","28.22","1060559"
"2017-10-27","28.17","28.23","27.77","27.94","1153514"
"2017-10-26","28.12","28.17","27.64","28.07","1522328"
"2017-10-25","28.05","28.4","27.97","28.04","891618"
"2017-10-24","28.01","28.3","27.89","28.12","898405"
"2017-10-23","27.85","28.14","27.73","28.0","579343"
"2017-10-20","27.9","28.03","27.73","27.87","404381"
"2017-10-19","27.62","27.88","27.01","27.73","571213"
"2017-10-18","27.93","28.09","27.6","27.77","829951"
"2017-10-17","27.49","27.79","27.33","27.79","1337564"
"2017-10-16","27.71","27.84","27.41","27.5","1431781"
"2017-10-13","28.17","28.17","27.71","27.73","993112"
"2017-10-12","28.3","28.41","28.05","28.06","674667"
"2017-10-11","28.49","28.67","28.27","28.39","684722"
"2017-10-10","28.8","28.9","28.5","28.53","590698"
"2017-10-09","28.95","29.0","28.53","28.64","640119"
"2017-10-06","28.72","29.05","28.63","28.94","739810"
"2017-10-05","29.06","29.11","28.72","28.73","595024"
"2017-10-04","29.1","29.23","28.96","29.03","796447"
"2017-10-03","29.0","29.09","28.79","28.99","702513"
"2017-10-02","28.58","29.09","28.58","29.03","1267801"
"2017-09-29","28.38","28.67","28.28","28.49","1008105"
"2017-09-28","28.73","28.79","28.29","28.38","884748"
"2017-09-27","28.51","28.91","28.46","28.74","853595"
"2017-09-26","28.4","28.53","28.23","28.3","718658"
"2017-09-25","28.17","28.69","28.11","28.33","857976"
"2017-09-22","28.2","28.48","27.78","28.16","824663"
"2017-09-21","27.92","28.36","27.89","28.31","1095082"
"2017-09-20","27.68","28.01","27.62","27.98","1090371"
"2017-09-19","27.79","28.0","27.72","27.72","737870"
"2017-09-18","27.36","27.79","27.34","27.74","1324252"
"2017-09-15","27.04","27.53","26.891","27.3","2511863"
"2017-09-14","27.29","27.29","27.05","27.15","1026295"
"2017-09-13","27.57","27.6","27.26","27.35","1272802"
"2017-09-12","27.15","27.67","27.06","27.65","1250353"
"2017-09-11","26.65","27.16","26.62","27.06","1713630"
"2017-09-08","26.33","26.56","26.15","26.42","1474534"
"2017-09-07","26.87","26.97","26.09","26.53","1479981"
"2017-09-06","27.61","27.61","26.85","26.87","854928"
"2017-09-05","27.81","27.98","27.26","27.57","999608"
"2017-09-01","27.88","28.1","27.73","27.97","676494"
"2017-08-31","27.29","27.89","27.15","27.86","787554"
"2017-08-30","27.0","27.36","27.0","27.29","401675"
"2017-08-29","26.77","27.135","26.55","27.02","531233"
"2017-08-28","27.07","27.18","26.72","26.96","630594"
"2017-08-25","27.1","27.23","26.91","26.98","593316"
"2017-08-24","27.0","27.15","26.64","27.05","858144"
"2017-08-23","26.8","27.0","26.74","26.93","589259"
"2017-08-22","26.7","27.0","26.55","27.0","631452"
"2017-08-21","26.6","26.7","26.44","26.64","614378"
