"Date","Open","High","Low","Close","Volume"
"2017-12-29","64.7","65.505","64.24","64.27","175504"
"2017-12-28","64.02","64.19","62.9341","64.05","97549"
"2017-12-27","63.59","64.58","63.29","63.9","165312"
"2017-12-26","63.85","63.97","63.22","63.53","154238"
"2017-12-22","63.87","64.22","63.615","63.79","84701"
"2017-12-21","64.55","64.8","64.1","64.18","114490"
"2017-12-20","64.1","64.905","64.05","64.46","141380"
"2017-12-19","64.16","64.77","63.82","64.14","195209"
"2017-12-18","65.56","65.73","64.33","64.74","218604"
"2017-12-15","62.74","64.82","62.18","64.51","667811"
"2017-12-14","62.51","63.05","62.07","62.18","184863"
"2017-12-13","62.81","62.96","61.75","62.24","354569"
"2017-12-12","62.83","63.83","62.62","62.85","180851"
"2017-12-11","63.75","63.94","62.37","62.92","233920"
"2017-12-08","62.81","64.31","62.2","63.83","411364"
"2017-12-07","62.49","62.97","61.95","62.24","158690"
"2017-12-06","62.18","63.3","62.18","62.44","142766"
"2017-12-05","63.68","63.98","62.185","62.22","256434"
"2017-12-04","63.77","64.11","63.4","63.43","227237"
"2017-12-01","63.88","63.88","60.61","62.9","357129"
"2017-11-30","64.95","64.97","63.71","63.96","197109"
"2017-11-29","64.53","65.3373","64.23","64.62","167931"
"2017-11-28","63.1","64.54","63.1","64.51","276345"
"2017-11-27","63.04","63.53","62.81","63.0","189266"
"2017-11-24","63.0","63.13","62.44","63.06","85359"
"2017-11-22","63.53","63.68","62.41","62.86","166220"
"2017-11-21","63.2","63.71","62.82","63.7","352779"
"2017-11-20","62.68","63.3","62.63","62.9","260818"
"2017-11-17","61.4","63.0","61.18","62.58","239646"
"2017-11-16","61.13","61.94","61.13","61.76","322174"
"2017-11-15","61.16","61.67","60.64","61.05","247575"
"2017-11-14","61.4","61.62","61.04","61.5","119663"
"2017-11-13","60.94","61.86","60.49","61.86","195926"
"2017-11-10","61.09","61.59","60.97","61.22","189662"
"2017-11-09","60.55","61.62","60.27","61.04","300793"
"2017-11-08","60.05","61.14","59.94","61.01","225231"
"2017-11-07","60.89","61.09","59.89","60.28","160009"
"2017-11-06","60.75","61.5","60.43","60.88","194261"
"2017-11-03","60.93","61.04","60.42","60.77","132191"
"2017-11-02","60.14","61.29","59.46","61.12","249411"
"2017-11-01","61.86","61.89","59.17","60.2","383686"
"2017-10-31","59.32","61.88","59.15","61.22","394976"
"2017-10-30","60.03","60.3","58.54","59.05","416178"
"2017-10-27","59.77","60.44","59.39","60.34","479555"
"2017-10-26","57.63","60.11","57.48","59.61","1058603"
"2017-10-25","56.06","56.61","55.52","56.09","452708"
"2017-10-24","56.14","57.05","56.09","56.43","467499"
"2017-10-23","57.1","57.21","55.78","55.91","373377"
"2017-10-20","57.0","57.21","56.51","56.85","368431"
"2017-10-19","56.29","56.89","55.54","56.52","259029"
"2017-10-18","55.51","56.45","55.25","56.41","329846"
"2017-10-17","55.28","55.63","54.98","55.17","227479"
"2017-10-16","55.33","55.52","54.37","55.33","264540"
"2017-10-13","55.24","55.38","54.96","55.27","279499"
"2017-10-12","54.62","55.04","54.57","54.86","192420"
"2017-10-11","55.56","55.82","54.87","54.9","292923"
"2017-10-10","56.0","56.21","55.31","55.8","387453"
"2017-10-09","55.39","55.71","55.24","55.69","191020"
"2017-10-06","55.36","55.95","55.04","55.48","264760"
"2017-10-05","55.13","55.86","55.13","55.45","243078"
"2017-10-04","54.93","55.62","54.78","55.06","239152"
"2017-10-03","54.51","55.21","54.35","54.99","304637"
"2017-10-02","53.62","54.82","53.56","54.53","495868"
"2017-09-29","53.65","54.08","53.57","53.68","341305"
"2017-09-28","53.23","53.85","52.78","53.76","224716"
"2017-09-27","52.68","53.44","52.04","53.2","437941"
"2017-09-26","51.95","52.74","51.59","52.4","253471"
"2017-09-25","51.31","51.91","51.18","51.79","206651"
"2017-09-22","50.84","51.56","50.75","51.37","292204"
"2017-09-21","50.66","50.99","50.3","50.85","137302"
"2017-09-20","50.24","50.9","50.17","50.53","146752"
"2017-09-19","50.04","50.32","49.89","50.21","172333"
"2017-09-18","49.43","50.19","49.4","50.01","363777"
"2017-09-15","49.65","49.65","48.95","49.36","546903"
"2017-09-14","49.14","49.62","49.0","49.61","256487"
"2017-09-13","49.18","49.42","49.04","49.17","179669"
"2017-09-12","48.93","49.47","48.85","49.21","248523"
"2017-09-11","48.76","49.02","48.27","48.84","243490"
"2017-09-08","48.2","48.6","47.93","48.43","153731"
"2017-09-07","48.3","48.55","47.93","48.33","174846"
"2017-09-06","48.22","48.48","47.93","48.33","250768"
"2017-09-05","47.8","48.82","47.8","48.09","232915"
"2017-09-01","47.79","48.14","47.48","47.8","216033"
"2017-08-31","46.77","47.76","46.64","47.7","253865"
"2017-08-30","45.94","46.75","45.86","46.66","347524"
"2017-08-29","44.82","46.15","44.66","45.91","292405"
"2017-08-28","45.68","45.94","44.99","45.12","386243"
"2017-08-25","45.93","46.03","45.45","45.47","484818"
"2017-08-24","46.29","46.42","45.69","45.73","211546"
"2017-08-23","45.83","46.14","45.64","45.99","161394"
"2017-08-22","46.19","46.44","46.05","46.15","198626"
"2017-08-21","46.0","46.28","45.78","45.96","204236"
"2017-08-18","45.74","46.68","45.66","46.03","376269"
"2017-08-17","47.05","47.39","46.01","46.06","207604"
"2017-08-16","47.44","48.29","46.27","47.2","294472"
"2017-08-15","47.8","47.89","47.23","47.36","199635"
"2017-08-14","47.06","47.85","46.98","47.73","240759"
"2017-08-11","46.53","47.19","46.31","46.68","325242"
"2017-08-10","47.99","48.5","46.83","46.83","272085"
"2017-08-09","47.59","48.32","47.44","48.06","277784"
"2017-08-08","48.4","48.87","47.82","47.87","270866"
"2017-08-07","48.8","49.15","48.31","48.41","147800"
"2017-08-04","48.49","49.29","48.49","48.66","138186"
"2017-08-03","48.62","49.19","48.29","48.45","182599"
"2017-08-02","48.59","48.89","47.87","48.72","202275"
"2017-08-01","49.29","49.41","48.75","48.87","165829"
"2017-07-31","48.81","49.45","48.36","49.25","265785"
"2017-07-28","48.54","49.69","48.54","48.82","272620"
"2017-07-27","49.1","51.21","47.87","48.72","805553"
"2017-07-26","53.27","53.27","51.63","51.71","351982"
"2017-07-25","53.01","53.6","52.82","53.28","390683"
"2017-07-24","54.33","54.46","52.84","52.89","536321"
"2017-07-21","55.02","55.02","53.55","54.6","318523"
"2017-07-20","54.11","54.52","53.74","54.46","136438"
"2017-07-19","53.87","54.31","53.87","54.1","145837"
