"Date","Open","High","Low","Close","Volume"
"2017-12-29","174.61","174.87","173.72","173.82","195087"
"2017-12-28","174.11","174.71","173.66","174.2","402134"
"2017-12-27","173.2","174.69","172.92","174.04","334756"
"2017-12-26","173.65","173.7","171.38","173.09","281368"
"2017-12-22","174.26","175.39","173.71","175.22","286025"
"2017-12-21","175.73","175.97","174.045","174.54","393445"
"2017-12-20","177.06","177.485","174.56","175.17","528421"
"2017-12-19","176.14","177.49","175.61","177.03","708746"
"2017-12-18","175.47","177.05","174.96","176.37","1207853"
"2017-12-15","171.93","174.14","170.85","173.8","3118474"
"2017-12-14","173.4","174.37","171.61","171.91","935511"
"2017-12-13","173.35","174.54","172.38","173.36","828923"
"2017-12-12","173.3","173.58","171.8","172.16","1129584"
"2017-12-11","172.53","175.41","172.26","175.13","1572068"
"2017-12-08","173.83","174.54","171.77","171.98","487002"
"2017-12-07","170.43","172.83","170.43","172.17","989734"
"2017-12-06","169.28","171.35","168.3","170.67","869467"
"2017-12-05","169.54","172.98","168.7","170.5","737754"
"2017-12-04","175.19","175.31","168.35","169.33","1446152"
"2017-12-01","174.01","174.2225","171.21","172.43","1143284"
"2017-11-30","175.86","176.55","173.78","175.52","1584585"
"2017-11-29","182.47","182.52","172.085","172.44","2544632"
"2017-11-28","184.87","185.05","183.47","184.29","788290"
"2017-11-27","185.83","185.94","184.55","184.72","864477"
"2017-11-24","185.51","186.37","185.37","186.37","311379"
"2017-11-22","184.89","185.19","182.35","183.0","527060"
"2017-11-21","182.67","185.45","182.67","185.37","846225"
"2017-11-20","179.94","182.36","179.79","181.53","996713"
"2017-11-17","181.27","181.37","179.77","180.33","554103"
"2017-11-16","179.67","181.92","179.5","181.79","1853691"
"2017-11-15","177.84","178.6903","176.55","177.91","494385"
"2017-11-14","179.9","180.48","178.645","180.34","382835"
"2017-11-13","178.01","179.18","177.79","178.85","415658"
"2017-11-10","178.71","179.7","178.19","179.6","692084"
"2017-11-09","178.48","178.98","176.221","178.01","685139"
"2017-11-08","182.05","182.79","181.17","181.51","677197"
"2017-11-07","183.12","183.98","183.07","183.52","611828"
"2017-11-06","183.98","185.39","182.93","184.92","503206"
"2017-11-03","183.55","184.65","182.585","184.58","470231"
"2017-11-02","181.34","182.44","180.89","182.25","553712"
"2017-11-01","182.68","182.98","179.54","181.4","942043"
"2017-10-31","179.66","180.965","179.63","180.75","526466"
"2017-10-30","178.29","178.84","177.29","177.93","1268261"
"2017-10-27","178.25","179.26","177.13","178.93","703837"
"2017-10-26","177.53","178.54","176.87","177.82","428073"
"2017-10-25","178.5","178.98","175.72","177.36","560151"
"2017-10-24","177.805","178.49","177.25","178.43","614351"
"2017-10-23","177.95","179.28","177.29","178.07","1240673"
"2017-10-20","176.01","176.22","174.69","175.22","1091296"
"2017-10-19","174.03","176.29","173.4194","176.02","1120103"
"2017-10-18","175.84","175.97","168.62","171.73","2715860"
"2017-10-17","176.01","176.69","174.49","176.34","1055281"
"2017-10-16","175.81","176.6","175.41","176.59","743193"
"2017-10-13","176.57","176.8739","175.58","176.3","809522"
"2017-10-12","172.06","174.89","171.95","173.61","1302029"
"2017-10-11","171.36","173.06","171.08","172.9","859053"
"2017-10-10","170.27","171.18","168.92","171.18","522316"
"2017-10-09","169.46","170.65","169.3","170.14","352911"
"2017-10-06","168.0","170.915","167.7","169.44","1224152"
"2017-10-05","169.55","169.82","167.86","168.52","422380"
"2017-10-04","169.97","171.43","169.52","171.19","861199"
"2017-10-03","170.46","170.63","169.56","170.46","454400"
"2017-10-02","170.39","171.76","169.78","170.7","585737"
"2017-09-29","170.1","171.53","169.62","171.2","1677090"
"2017-09-28","168.27","171.0","168.14","170.49","1477730"
"2017-09-27","163.2","167.9","163.07","166.94","1253877"
"2017-09-26","161.68","162.92","160.95","162.86","1180758"
"2017-09-25","164.88","165.19","161.15","162.01","849425"
"2017-09-22","165.2","166.45","165.08","165.96","303614"
"2017-09-21","165.53","166.1","164.17","165.77","1066002"
"2017-09-20","167.92","168.0","163.734","165.19","990565"
"2017-09-19","168.64","168.69","167.67","168.29","992848"
"2017-09-18","164.81","167.21","164.67","166.99","1293984"
"2017-09-15","163.04","163.13","162.15","162.41","632294"
"2017-09-14","160.7","161.89","160.29","161.43","525541"
"2017-09-13","160.6","161.0","160.0","160.07","613937"
"2017-09-12","161.87","162.1","160.8553","161.35","439352"
"2017-09-11","161.11","162.88","160.94","162.78","698228"
"2017-09-08","160.25","161.1","159.09","159.72","659432"
"2017-09-07","159.01","160.94","158.32","160.86","1027833"
"2017-09-06","156.31","157.28","155.88","156.48","496424"
"2017-09-05","155.91","156.46","153.465","154.81","493383"
"2017-09-01","157.16","157.57","156.38","157.28","739695"
"2017-08-31","154.92","156.67","154.59","156.31","787636"
"2017-08-30","153.84","155.3","153.42","154.81","834155"
"2017-08-29","153.63","155.525","153.5","155.15","575519"
"2017-08-28","153.67","154.36","153.39","154.12","261439"
"2017-08-25","153.74","154.8","153.55","154.22","535322"
"2017-08-24","153.29","153.8956","152.71","153.45","400185"
"2017-08-23","153.9","154.2","153.13","153.4","532284"
"2017-08-22","151.9","154.81","151.87","154.37","839074"
"2017-08-21","152.16","152.2997","150.94","151.59","562571"
"2017-08-18","152.0","152.61","150.98","152.26","688797"
"2017-08-17","152.86","153.185","150.6","150.65","485999"
"2017-08-16","152.2","154.13","152.04","153.67","518955"
"2017-08-15","151.45","152.63","151.34","152.46","376849"
"2017-08-14","150.86","153.3","150.84","152.61","552581"
"2017-08-11","149.39","151.34","148.95","151.19","416941"
"2017-08-10","152.46","152.5","150.09","150.18","844821"
"2017-08-09","152.66","153.73","152.35","153.56","547136"
"2017-08-08","154.48","155.1993","152.91","153.13","491419"
"2017-08-07","153.35","154.66","153.34","154.42","476133"
"2017-08-04","152.61","153.06","151.95","152.94","491180"
"2017-08-03","152.66","152.83","151.4599","152.17","924664"
"2017-08-02","152.57","152.89","150.31","151.02","855206"
"2017-08-01","151.95","152.1","150.57","150.92","391582"
"2017-07-31","151.74","152.3411","149.91","150.33","874730"
"2017-07-28","151.7","152.88","151.65","152.53","539053"
"2017-07-27","154.9","155.73","151.48","153.24","1019396"
"2017-07-26","153.0","154.7","152.91","154.53","768752"
"2017-07-25","154.35","154.38","152.56","152.73","974605"
"2017-07-24","153.88","154.5","153.06","153.74","1272858"
"2017-07-21","153.09","154.35","152.65","154.29","938449"
"2017-07-20","152.24","154.35","151.36","153.82","2971549"
"2017-07-19","148.62","150.8199","147.9601","150.63","2528756"
"2017-07-18","141.28","143.38","141.13","143.25","1252232"
"2017-07-17","140.42","140.79","139.1","140.22","870023"
"2017-07-14","138.04","140.05","137.89","139.92","1164712"
"2017-07-13","136.76","137.57","136.37","136.85","484268"
"2017-07-12","136.61","137.55","136.275","137.04","841397"
"2017-07-11","133.7","136.06","133.67","135.82","1100884"
"2017-07-10","134.0","135.05","133.51","134.81","440027"
"2017-07-07","131.83","133.54","131.83","132.89","588912"
"2017-07-06","130.79","131.77","130.1","131.22","832023"
"2017-07-05","129.49","131.57","129.44","131.48","796398"
"2017-07-03","131.1","131.34","129.33","129.67","427905"
"2017-06-30","131.11","131.48","129.88","130.31","899490"
"2017-06-29","132.67","133.18","128.345","129.6","1988535"
"2017-06-28","133.22","135.28","132.495","134.99","773881"
"2017-06-27","134.72","134.9","132.29","132.37","1783844"
"2017-06-26","135.81","136.07","133.66","133.78","978350"
"2017-06-23","132.94","135.42","132.9","134.64","1276120"
"2017-06-22","130.28","130.79","129.68","130.02","660598"
"2017-06-21","128.58","130.63","128.5","130.43","710622"
"2017-06-20","130.63","131.06","128.43","128.49","604063"
"2017-06-19","131.19","131.82","130.78","131.45","387954"
"2017-06-16","129.2","130.09","128.775","129.63","925298"
"2017-06-15","127.87","128.15","127.0","127.58","1551767"
"2017-06-14","132.41","132.55","129.04","130.15","857730"
"2017-06-13","131.195","132.09","130.35","131.93","1374077"
"2017-06-12","129.22","129.57","126.03","129.08","1941373"
"2017-06-09","134.23","134.45","128.66","130.03","1203946"
"2017-06-08","134.51","135.09","133.66","135.01","312369"
"2017-06-07","133.79","134.46","133.1","133.99","413566"
"2017-06-06","132.36","133.32","132.34","132.62","614464"
"2017-06-05","132.9","133.83","132.78","133.16","519515"
"2017-06-02","134.62","134.79","133.55","134.7","334251"
"2017-06-01","132.9","133.83","132.62","133.81","707652"
"2017-05-31","133.06","133.34","131.62","131.99","1435978"
"2017-05-30","133.06","133.81","133.0","133.41","1020211"
"2017-05-26","133.86","134.6","133.55","134.2","731781"
"2017-05-25","133.49","135.02","133.49","134.89","457585"
"2017-05-24","133.97","134.28","133.17","133.49","938046"
"2017-05-23","134.64","134.81","133.72","133.91","687195"
"2017-05-22","133.98","134.52","133.67","134.21","548822"
"2017-05-19","135.0","135.43","134.53","134.85","619247"
"2017-05-18","132.6","134.28","132.31","134.0","689463"
"2017-05-17","135.66","135.97","132.8","132.81","645698"
"2017-05-16","136.88","137.27","136.5","137.26","729080"
"2017-05-15","135.41","136.14","135.21","135.74","577490"
"2017-05-12","134.11","135.47","134.1","135.44","443293"
"2017-05-11","133.23","134.27","132.82","134.16","639901"
"2017-05-10","134.05","134.5","133.51","133.8","703923"
"2017-05-09","134.3","135.15","134.24","134.96","438180"
"2017-05-08","133.55","133.775","133.07","133.27","957787"
"2017-05-05","134.61","135.92","134.47","135.84","481001"
"2017-05-04","133.75","135.39","133.74","135.06","871416"
"2017-05-03","133.81","134.96","133.74","134.17","1008286"
"2017-05-02","133.98","135.05","133.73","134.99","850731"
"2017-05-01","132.05","133.01","131.72","132.86","264226"
"2017-04-28","133.13","133.17","131.61","131.85","753436"
"2017-04-27","132.66","133.89","132.351","132.95","453312"
"2017-04-26","133.04","133.43","132.0","132.46","633555"
"2017-04-25","134.9","134.95","133.86","134.24","681262"
"2017-04-24","133.63","134.29","132.71","133.46","685108"
"2017-04-21","130.35","130.49","129.72","130.03","1298962"
"2017-04-20","130.1","130.82","129.29","130.05","2259456"
