"Date","Open","High","Low","Close","Volume"
"2017-12-29","6.42","6.52","6.42","6.48","469464"
"2017-12-28","6.36","6.39","6.35","6.38","410824"
"2017-12-27","6.31","6.34","6.3","6.34","498403"
"2017-12-26","6.31","6.35","6.3","6.32","701671"
"2017-12-22","6.43","6.47","6.4","6.47","531906"
"2017-12-21","6.4","6.51","6.4","6.43","988502"
"2017-12-20","6.4","6.41","6.37","6.39","1299082"
"2017-12-19","6.35","6.41","6.335","6.4","1193758"
"2017-12-18","6.41","6.45","6.4","6.44","580598"
"2017-12-15","6.425","6.48","6.41","6.44","725422"
"2017-12-14","6.55","6.59","6.53","6.55","536587"
"2017-12-13","6.52","6.55","6.49","6.53","623144"
"2017-12-12","6.51","6.5268","6.48","6.5","853558"
"2017-12-11","6.39","6.45","6.39","6.43","646581"
"2017-12-08","6.39","6.4","6.33","6.39","1630861"
"2017-12-07","6.5","6.5","6.31","6.37","1472501"
"2017-12-06","6.38","6.41","6.325","6.35","1312023"
"2017-12-05","6.44","6.56","6.44","6.52","1366859"
"2017-12-04","6.51","6.51","6.38","6.4","1920063"
"2017-12-01","6.47","6.49","6.35","6.47","1743817"
"2017-11-30","6.49","6.59","6.49","6.51","1282901"
"2017-11-29","6.61","6.67","6.45","6.45","994600"
"2017-11-28","6.6","6.67","6.58","6.61","2138306"
"2017-11-27","7.02","7.21","7.01","7.05","3356198"
"2017-11-24","6.42","7.5199","6.42","7.07","4725694"
"2017-11-22","6.34","6.36","6.31","6.31","559830"
"2017-11-21","6.25","6.28","6.22","6.27","380503"
"2017-11-20","6.18","6.21","6.1543","6.21","549539"
"2017-11-17","6.21","6.23","6.185","6.21","510097"
"2017-11-16","6.19","6.2","6.16","6.2","614138"
"2017-11-15","6.24","6.24","6.18","6.21","947283"
"2017-11-14","6.22","6.26","6.19","6.23","776265"
"2017-11-13","6.13","6.185","6.13","6.15","857113"
"2017-11-10","6.16","6.17","6.13","6.15","456780"
"2017-11-09","6.17","6.17","6.07","6.12","558457"
"2017-11-08","6.2","6.22","6.17","6.2","332377"
"2017-11-07","6.21","6.21","6.1","6.14","480395"
"2017-11-06","6.15","6.2","6.13","6.2","470937"
"2017-11-03","6.18","6.18","6.13","6.16","629170"
"2017-11-02","6.16","6.21","6.16","6.2","1185535"
"2017-11-01","6.2","6.2","6.08","6.1","906077"
"2017-10-31","6.15","6.17","6.13","6.16","957669"
"2017-10-30","6.23","6.23","6.15","6.15","791751"
"2017-10-27","6.25","6.335","6.25","6.32","411405"
"2017-10-26","6.27","6.27","6.21","6.23","360499"
"2017-10-25","6.29","6.33","6.221","6.265","604639"
"2017-10-24","6.29","6.29","6.23","6.26","399185"
"2017-10-23","6.3","6.33","6.25","6.26","352963"
"2017-10-20","6.24","6.24","6.19","6.2","516528"
"2017-10-19","6.26","6.26","6.2","6.23","569756"
"2017-10-18","6.29","6.32","6.28","6.3","724938"
"2017-10-17","6.32","6.32","6.27","6.29","680362"
"2017-10-16","6.4","6.42","6.37","6.38","677061"
"2017-10-13","6.38","6.42","6.37","6.39","922026"
"2017-10-12","6.37","6.4","6.36","6.38","650417"
"2017-10-11","6.31","6.35","6.26","6.34","1276689"
"2017-10-10","6.27","6.32","6.27","6.32","578944"
"2017-10-09","6.25","6.29","6.25","6.26","425833"
"2017-10-06","6.23","6.27","6.2","6.25","534721"
"2017-10-05","6.2","6.24","6.19","6.21","508223"
"2017-10-04","6.2","6.2","6.15","6.17","594946"
"2017-10-03","6.18","6.22","6.17","6.2","658612"
"2017-10-02","6.18","6.18","6.12","6.18","777733"
"2017-09-29","6.14","6.19","6.12","6.18","1048213"
"2017-09-28","6.05","6.09","6.02","6.05","824993"
"2017-09-27","6.05","6.05","6.0","6.01","1033507"
"2017-09-26","6.09","6.09","6.01","6.02","1151917"
"2017-09-25","6.08","6.1","6.02","6.03","872667"
"2017-09-22","6.21","6.21","6.14","6.18","895752"
"2017-09-21","6.18","6.24","6.17","6.23","1198687"
"2017-09-20","6.12","6.175","6.11","6.15","1240134"
"2017-09-19","6.16","6.17","6.12","6.15","583514"
"2017-09-18","6.08","6.165","6.08","6.14","837582"
