"Date","Open","High","Low","Close","Volume"
"2017-12-29","10.28","10.2999","9.87","10.07","161025"
"2017-12-28","9.91","10.37","9.84","10.15","225360"
"2017-12-27","10.04","10.15","9.68","9.84","209309"
"2017-12-26","10.04","10.24","9.9","10.07","272671"
"2017-12-22","10.47","10.47","9.55","10.16","323564"
"2017-12-21","10.56","10.71","10.39","10.43","137810"
"2017-12-20","10.75","10.8","10.32","10.55","188086"
"2017-12-19","10.32","10.75","10.26","10.63","170150"
"2017-12-18","10.45","10.58","10.28","10.32","240420"
"2017-12-15","10.35","10.65","10.24","10.41","179760"
"2017-12-14","10.19","10.73","10.19","10.34","207760"
"2017-12-13","9.98","10.19","9.85","10.19","301277"
"2017-12-12","10.05","10.24","9.9","9.94","178583"
"2017-12-11","9.78","10.2","9.7049","10.01","564500"
"2017-12-08","10.11","10.23","9.7","9.85","291349"
"2017-12-07","9.85","10.16","9.79","10.0","287685"
"2017-12-06","9.74","10.1","9.66","9.89","150715"
"2017-12-05","9.45","10.26","9.4","9.85","257261"
"2017-12-04","10.1","10.39","9.4","9.45","426835"
"2017-12-01","9.88","9.95","9.31","9.93","562448"
"2017-11-30","10.21","10.63","9.77","9.88","410078"
"2017-11-29","11.28","11.3","10.02","10.21","454294"
"2017-11-28","10.57","11.69","10.57","11.26","629395"
"2017-11-27","13.18","13.2","10.36","10.72","1082731"
"2017-11-24","12.94","13.3","12.9","13.26","220420"
"2017-11-22","13.2","13.41","12.47","12.95","478555"
"2017-11-21","15.01","15.1","13.0","13.23","1269670"
"2017-11-20","13.2","14.17","13.15","14.12","694048"
"2017-11-17","13.34","13.39","12.96","13.19","119087"
"2017-11-16","12.9","13.57","12.9","13.37","217811"
"2017-11-15","13.56","13.56","12.85","12.9","118266"
"2017-11-14","12.76","13.65","12.76","13.58","179482"
"2017-11-13","12.97","13.07","12.21","12.86","277650"
"2017-11-10","13.41","13.77","12.94","13.11","125677"
"2017-11-09","13.48","13.7","13.05","13.41","94099"
"2017-11-08","12.87","13.7","12.44","13.61","191572"
"2017-11-07","13.15","13.44","12.7","12.94","204934"
"2017-11-06","13.75","13.9","13.06","13.19","277678"
"2017-11-03","14.2","14.22","13.92","13.98","101095"
"2017-11-02","13.74","14.4","13.59","14.12","121252"
"2017-11-01","14.6","14.73","13.59","13.67","171152"
"2017-10-31","14.25","14.7","14.17","14.56","161008"
"2017-10-30","13.57","14.22","13.44","14.16","116841"
"2017-10-27","13.96","13.99","13.15","13.67","130921"
"2017-10-26","13.67","14.02","13.53","13.93","102487"
"2017-10-25","14.15","14.43","13.38","13.69","237553"
"2017-10-24","14.47","14.64","14.07","14.2","166040"
"2017-10-23","13.73","14.43","13.01","14.26","371229"
"2017-10-20","14.95","15.11","13.62","13.73","293661"
"2017-10-19","14.81","14.96","14.17","14.92","185156"
"2017-10-18","15.4","15.4","14.59","14.9","300064"
"2017-10-17","14.6","15.45","14.36","15.25","596857"
"2017-10-16","13.48","14.66","13.35","14.36","536889"
"2017-10-13","13.02","13.5","13.02","13.25","199194"
"2017-10-12","12.72","13.3","12.61","13.05","255188"
"2017-10-11","12.62","12.78","12.48","12.68","125026"
"2017-10-10","12.5","12.78","12.33","12.62","139853"
"2017-10-09","12.37","12.5","12.16","12.44","88886"
"2017-10-06","12.55","12.72","12.27","12.44","122273"
"2017-10-05","12.63","12.81","12.27","12.59","189965"
"2017-10-04","12.2","12.72","12.14","12.54","148981"
