"Date","Open","High","Low","Close","Volume"
"2017-12-29","25.75","25.8","25.3","25.3","563543"
"2017-12-28","25.1","25.8","24.95","25.8","652193"
"2017-12-27","25.05","25.1","24.5","25.0","551587"
"2017-12-26","24.55","25.2","24.4","25.1","459215"
"2017-12-22","24.425","24.7","24.3","24.6","832530"
"2017-12-21","24.95","25.45","24.45","24.45","1830851"
"2017-12-20","27.0","27.5","25.6","25.7","1437325"
"2017-12-19","27.55","27.95","27.4","27.5","1023090"
"2017-12-18","26.7","27.25","26.275","27.25","778707"
"2017-12-15","26.0","26.15","25.55","26.05","619339"
"2017-12-14","26.2","26.25","25.35","25.4","436063"
"2017-12-13","26.0","26.35","25.95","26.15","307690"
"2017-12-12","26.0","26.1","25.85","26.0","201171"
"2017-12-11","26.35","26.45","25.85","26.0","228391"
"2017-12-08","26.0","26.35","25.85","26.3","369661"
"2017-12-07","26.2","26.3","25.65","25.7","369061"
"2017-12-06","26.3","26.6","26.15","26.2","349494"
"2017-12-05","26.95","27.025","26.325","26.35","326446"
"2017-12-04","26.95","27.5","26.8917","26.95","531651"
"2017-12-01","26.35","26.7","25.7","26.65","534842"
"2017-11-30","26.4","26.5","26.175","26.4","263865"
"2017-11-29","25.95","26.4","25.95","26.25","505109"
"2017-11-28","25.35","25.99","25.2","25.9","242026"
"2017-11-27","25.5","25.65","25.2","25.35","280179"
"2017-11-24","25.65","25.65","25.3","25.5","73415"
"2017-11-22","25.95","25.95","25.55","25.55","135235"
"2017-11-21","25.45","25.8","25.35","25.8","193975"
"2017-11-20","25.35","25.8","25.125","25.35","408074"
"2017-11-17","24.95","25.45","24.95","25.35","324206"
"2017-11-16","24.45","25.25","24.35","25.15","261402"
"2017-11-15","24.65","24.7","24.25","24.3","516153"
"2017-11-14","24.7","25.05","24.7","24.95","284205"
"2017-11-13","24.5","24.9","24.5","24.8","287195"
"2017-11-10","24.55","24.75","24.5","24.7","148589"
"2017-11-09","24.9","24.9","24.25","24.6","270400"
"2017-11-08","24.85","25.15","24.55","25.15","248772"
"2017-11-07","25.65","25.65","24.95","25.0","301497"
