"Date","Open","High","Low","Close","Volume"
"2017-12-29","66.53","67.35","66.17","66.2","281217"
"2017-12-28","66.39","66.4","65.88","66.37","165608"
"2017-12-27","65.91","66.37","65.66","66.03","153318"
"2017-12-26","65.46","66.09","65.2","65.82","188478"
"2017-12-22","65.73","65.92","65.025","65.69","223122"
"2017-12-21","66.45","66.71","65.84","65.92","274760"
"2017-12-20","66.93","67.23","65.88","66.24","247814"
"2017-12-19","67.34","67.6","66.65","66.72","267362"
"2017-12-18","67.55","67.89","67.23","67.34","314160"
"2017-12-15","66.37","67.72","66.14","67.03","706644"
"2017-12-14","66.75","67.4","66.24","66.26","360441"
"2017-12-13","66.37","67.41","66.37","66.75","313816"
"2017-12-12","66.3","66.59","65.81","66.18","243188"
"2017-12-11","66.35","66.76","66.05","66.2","198119"
"2017-12-08","67.5","67.79","66.28","66.37","284943"
"2017-12-07","66.9","67.55","66.75","67.16","267874"
"2017-12-06","66.56","67.325","66.31","66.76","261213"
"2017-12-05","66.62","67.74","66.47","66.57","549564"
"2017-12-04","67.83","68.17","66.56","66.65","392305"
"2017-12-01","66.85","67.49","65.39","67.37","375628"
"2017-11-30","67.15","67.22","66.53","66.92","484646"
"2017-11-29","69.02","69.375","66.52","66.6","416527"
"2017-11-28","68.85","69.22","68.25","69.18","327790"
"2017-11-27","68.9","69.33","68.48","68.57","406533"
"2017-11-24","68.69","69.12","68.54","68.94","124067"
"2017-11-22","68.43","69.11","68.35","68.37","241721"
"2017-11-21","68.15","68.68","68.15","68.48","292910"
"2017-11-20","67.28","68.17","67.28","67.92","396737"
"2017-11-17","66.59","67.47","66.47","67.29","350677"
"2017-11-16","66.27","66.88","66.27","66.74","300404"
"2017-11-15","65.58","66.35","65.38","66.04","516102"
"2017-11-14","65.94","66.42","65.7","65.9","452208"
"2017-11-13","66.05","66.89","65.74","66.18","346929"
"2017-11-10","65.57","66.31","65.48","66.24","297213"
"2017-11-09","65.27","65.75","64.96","65.68","376858"
"2017-11-08","64.98","65.98","64.98","65.82","412128"
"2017-11-07","65.65","66.05","64.97","65.28","373921"
"2017-11-06","66.2","66.39","65.59","65.66","400991"
"2017-11-03","65.14","66.48","64.74","66.47","524795"
"2017-11-02","64.75","65.22","64.37","65.14","439107"
"2017-11-01","64.99","65.29","63.93","64.7","705389"
"2017-10-31","64.25","65.02","63.57","64.52","599183"
"2017-10-30","64.9","65.28","64.06","64.19","478891"
"2017-10-27","67.89","68.32","61.71","65.31","1829947"
"2017-10-26","65.67","66.92","65.67","66.73","516079"
"2017-10-25","65.8","66.32","65.36","65.67","284655"
"2017-10-24","65.87","66.3","65.32","66.14","237998"
"2017-10-23","66.46","66.49","65.86","65.9","216801"
"2017-10-20","66.34","66.38","65.73","66.18","257479"
"2017-10-19","65.02","65.83","64.79","65.67","284688"
"2017-10-18","65.43","65.89","64.88","65.43","370145"
"2017-10-17","65.44","65.98","65.01","65.09","270132"
"2017-10-16","65.71","65.83","65.16","65.51","201395"
"2017-10-13","65.1","65.6","65.06","65.54","340546"
"2017-10-12","64.48","65.09","64.47","65.05","229010"
"2017-10-11","64.66","65.11","64.36","64.57","219420"
"2017-10-10","64.97","65.14","64.45","64.76","233512"
"2017-10-09","65.0","65.23","64.53","64.66","336305"
"2017-10-06","63.9","64.74","63.64","64.72","332852"
"2017-10-05","63.66","64.42","63.36","63.92","673009"
"2017-10-04","63.92","64.32","63.41","63.61","248775"
"2017-10-03","63.85","64.33","63.76","63.92","302522"
"2017-10-02","63.04","63.95","63.02","63.68","337489"
"2017-09-29","62.73","63.29","62.52","62.81","479180"
"2017-09-28","62.98","63.03","62.31","62.64","631841"
"2017-09-27","62.74","63.59","62.6","62.99","438163"
