"Date","Open","High","Low","Close","Volume"
"2017-12-29","8.77","8.86","8.53","8.64","3018251"
"2017-12-28","9.08","9.145","8.7","8.77","3136742"
"2017-12-27","9.02","9.32","8.99","9.03","2221769"
"2017-12-26","9.42","9.44","9.04","9.15","2057294"
"2017-12-22","9.67","9.86","9.435","9.52","2489001"
"2017-12-21","9.66","9.98","9.47","9.93","2297542"
"2017-12-20","9.79","9.95","9.45","9.51","2593880"
"2017-12-19","10.25","10.35","9.65","9.81","3809156"
"2017-12-18","10.5","10.63","9.86","10.15","4280600"
"2017-12-15","10.05","10.41","10.0","10.4","4896789"
"2017-12-14","10.1","10.36","9.93","10.0","3471487"
"2017-12-13","9.49","9.96","9.46","9.89","3467207"
"2017-12-12","9.51","9.635","9.3","9.51","1937211"
"2017-12-11","9.46","9.75","9.46","9.51","1877706"
"2017-12-08","9.72","9.93","9.4","9.53","2217718"
"2017-12-07","9.38","9.98","9.33","9.66","3030089"
"2017-12-06","9.6","9.79","9.3","9.39","2721958"
"2017-12-05","9.01","9.76","8.95","9.61","3640245"
"2017-12-04","9.03","9.24","8.71","8.77","3221337"
"2017-12-01","8.81","9.08","8.57","8.98","3091757"
"2017-11-30","9.09","9.29","8.6762","8.83","2566245"
"2017-11-29","9.35","9.6","9.0","9.07","3240209"
"2017-11-28","9.0","9.33","8.99","9.29","3001895"
"2017-11-27","8.89","9.04","8.78","8.94","2239511"
"2017-11-24","9.0","9.08","8.8","8.87","1200863"
"2017-11-22","8.74","9.3","8.66","8.85","3684481"
"2017-11-21","8.18","8.77","8.05","8.67","3674659"
"2017-11-20","8.83","9.25","8.36","8.51","5873439"
"2017-11-17","8.25","8.42","8.19","8.34","2047961"
"2017-11-16","8.14","8.39","8.14","8.34","2737467"
"2017-11-15","8.09","8.19","7.92","8.12","2506570"
"2017-11-14","8.56","8.72","8.01","8.16","4195740"
"2017-11-13","8.67","8.75","8.38","8.4","2978090"
"2017-11-10","8.6","8.95","8.57","8.75","2037259"
"2017-11-09","8.84","8.91","8.5","8.66","3277083"
"2017-11-08","8.78","8.88","8.36","8.86","3419514"
"2017-11-07","8.65","8.95","8.51","8.64","4114300"
"2017-11-06","8.92","8.93","8.09","8.48","6252006"
"2017-11-03","9.1","9.13","8.82","8.99","3261606"
"2017-11-02","9.39","9.44","8.78","9.09","5780973"
"2017-11-01","9.37","9.88","8.7","9.45","17290260"
"2017-10-31","11.92","12.58","11.9","12.38","4379808"
"2017-10-30","11.56","11.9","11.54","11.82","2470631"
"2017-10-27","11.83","11.9","11.43","11.54","1893741"
"2017-10-26","11.94","12.04","11.76","11.79","1392486"
"2017-10-25","12.13","12.36","11.68","11.88","1799404"
"2017-10-24","11.69","12.48","11.68","12.26","4372996"
"2017-10-23","12.06","12.17","11.63","11.69","1490051"
"2017-10-20","11.6","12.12","11.55","12.0","3104462"
"2017-10-19","11.65","11.79","11.38","11.47","2596349"
"2017-10-18","11.65","11.9","11.6","11.79","1872500"
"2017-10-17","11.62","11.81","11.45","11.6","2903557"
"2017-10-16","11.97","12.21","11.61","11.62","2658760"
"2017-10-13","12.44","12.81","11.78","11.96","6205407"
"2017-10-12","12.91","13.2","12.83","13.11","1466097"
"2017-10-11","12.76","13.07","12.76","12.96","1750850"
"2017-10-10","13.23","13.32","12.66","12.68","2280676"
"2017-10-09","13.47","13.5","13.13","13.15","1564104"
"2017-10-06","13.66","13.72","13.22","13.47","1892093"
"2017-10-05","13.8","13.89","13.55","13.72","1337624"
"2017-10-04","14.26","14.44","13.55","13.67","3253576"
"2017-10-03","14.1","14.26","14.0","14.2","2308668"
"2017-10-02","13.43","14.1","13.36","14.1","2608006"
"2017-09-29","13.14","13.39","13.02","13.39","2799404"
"2017-09-28","13.75","13.78","13.1","13.12","1985103"
"2017-09-27","13.27","13.81","13.17","13.75","1957029"
"2017-09-26","13.19","13.26","13.03","13.2","1298001"
"2017-09-25","13.5","13.5","12.92","13.11","1724996"
"2017-09-22","13.38","13.62","13.37","13.5","1286707"
"2017-09-21","13.37","13.46","13.14","13.37","1618880"
"2017-09-20","13.45","13.54","13.26","13.37","1292294"
"2017-09-19","13.41","13.61","13.39","13.45","1129079"
"2017-09-18","13.72","13.84","13.22","13.33","1862770"
"2017-09-15","13.73","14.03","13.62","13.71","2891381"
"2017-09-14","13.6","13.9","13.56","13.69","1907949"
"2017-09-13","13.38","13.7","13.28","13.59","1751297"
"2017-09-12","13.23","13.46","13.15","13.3","1544080"
"2017-09-11","12.89","13.23","12.87","13.14","1191149"
"2017-09-08","12.86","13.07","12.72","12.81","1055673"
"2017-09-07","13.15","13.16","12.74","12.96","1555844"
"2017-09-06","13.28","13.4","12.93","13.09","1706930"
"2017-09-05","12.84","13.34","12.8","13.22","2463189"
"2017-09-01","12.64","12.92","12.64","12.85","1703578"
"2017-08-31","12.92","13.05","12.54","12.56","2022568"
"2017-08-30","12.8","12.94","12.68","12.89","1092591"
"2017-08-29","12.5","12.845","12.4675","12.76","1378946"
"2017-08-28","12.63","12.77","12.47","12.77","1341068"
"2017-08-25","12.61","12.75","12.58","12.6","1217609"
"2017-08-24","12.58","12.61","12.36","12.58","1416199"
"2017-08-23","12.38","12.53","12.3","12.51","1111858"
"2017-08-22","12.26","12.45","12.14","12.42","1232719"
"2017-08-21","12.45","12.48","12.02","12.15","2325800"
"2017-08-18","12.54","12.66","12.42","12.43","1863530"
"2017-08-17","12.54","12.9","12.48","12.6","3228093"
"2017-08-16","12.39","12.6","12.38","12.55","1894996"
"2017-08-15","12.85","12.9","12.28","12.36","3096394"
"2017-08-14","12.95","12.99","12.69","12.78","1570874"
"2017-08-11","12.48","12.81","12.48","12.76","1799230"
"2017-08-10","13.0","13.53","12.37","12.6","4397666"
"2017-08-09","12.6","12.84","12.44","12.83","3668334"
"2017-08-08","13.0","13.06","12.62","12.69","3276376"
"2017-08-07","13.69","13.8","12.88","12.96","3888684"
"2017-08-04","13.56","13.79","13.29","13.47","4120172"
"2017-08-03","15.71","15.71","13.11","13.39","13306323"
"2017-08-02","17.24","17.48","16.8","17.01","2900929"
"2017-08-01","16.85","17.21","16.74","17.08","1964344"
"2017-07-31","16.9","16.97","16.54","16.8","1741738"
"2017-07-28","16.81","17.21","16.72","16.9","1244628"
"2017-07-27","17.1","17.53","16.29","16.93","4275147"
"2017-07-26","18.26","18.28","17.06","17.09","2631260"
"2017-07-25","17.94","18.42","17.83","18.13","2330110"
"2017-07-24","17.6","17.96","17.5","17.8","1288018"
"2017-07-21","17.62","17.69","17.4","17.61","1727585"
"2017-07-20","18.05","18.1","17.47","17.6","1746310"
"2017-07-19","17.84","18.26","17.72","18.01","1979255"
"2017-07-18","18.0","18.49","17.82","18.07","2282179"
"2017-07-17","18.6","18.75","17.96","18.09","2508326"
"2017-07-14","18.08","19.06","17.85","18.55","3861136"
"2017-07-13","18.26","18.32","17.87","18.01","1966831"
"2017-07-12","18.28","18.72","18.04","18.2","2122498"
"2017-07-11","17.9","18.27","17.83","18.04","1546992"
"2017-07-10","17.77","18.34","17.74","17.92","2840833"
"2017-07-07","17.95","18.19","17.68","17.77","1725735"
"2017-07-06","18.02","18.15","17.755","17.83","1901919"
"2017-07-05","18.3","18.38","17.75","18.2","2484340"
"2017-07-03","18.7","18.77","18.15","18.35","1531790"
"2017-06-30","20.08","20.08","18.69","18.7","4805848"
"2017-06-29","20.7","20.7","19.68","20.19","2057605"
"2017-06-28","20.83","21.04","20.32","20.67","2354960"
"2017-06-27","21.09","21.22","20.66","20.71","2027698"
"2017-06-26","21.75","22.12","20.88","21.28","2983024"
"2017-06-23","22.0","22.38","21.78","21.93","2210652"
"2017-06-22","21.65","22.3","21.52","22.03","1964413"
"2017-06-21","21.6","21.93","21.43","21.69","1604768"
"2017-06-20","22.57","22.57","21.36","21.66","2956832"
"2017-06-19","21.16","22.34","21.11","22.09","3394965"
"2017-06-16","20.75","21.08","20.65","21.02","2290658"
"2017-06-15","20.2","21.09","20.1","20.86","2155542"
"2017-06-14","20.6","20.73","20.11","20.42","1910908"
"2017-06-13","20.2","20.47","19.82","20.47","1615357"
"2017-06-12","19.84","20.08","19.08","19.93","2090368"
"2017-06-09","21.31","21.5","19.86","20.05","3413870"
"2017-06-08","20.73","21.27","20.52","21.22","1926818"
"2017-06-07","21.2","21.48","20.46","20.74","2934777"
"2017-06-06","20.41","21.32","20.2","21.11","2503781"
"2017-06-05","20.59","20.91","20.44","20.68","1662564"
"2017-06-02","20.8","20.92","20.46","20.68","1582585"
"2017-06-01","20.55","20.85","20.32","20.67","2451313"
"2017-05-31","20.57","20.85","19.56","20.45","5349124"
"2017-05-30","22.03","22.03","20.49","20.62","4714466"
"2017-05-26","22.48","22.52","21.9","22.03","2627960"
"2017-05-25","22.6","23.19","22.56","22.57","2379624"
"2017-05-24","22.45","22.77","22.35","22.55","1787497"
"2017-05-23","22.63","22.9","22.15","22.37","2237413"
"2017-05-22","21.78","22.48","21.5","22.4","2724854"
"2017-05-19","22.52","22.64","21.45","21.72","4400127"
"2017-05-18","21.97","22.9","21.64","22.34","4274949"
"2017-05-17","23.31","23.7","22.02","22.06","6344538"
"2017-05-16","22.46","23.42","21.8","23.31","6864096"
"2017-05-15","21.79","22.97","21.72","22.76","6575768"
"2017-05-12","20.69","21.96","20.54","21.79","4800950"
"2017-05-11","20.49","21.48","20.32","21.14","4959625"
"2017-05-10","19.0","20.65","18.82","20.55","7104912"
"2017-05-09","18.86","19.21","17.95","19.07","5118785"
"2017-05-08","16.98","19.15","16.89","19.01","9266862"
"2017-05-05","16.07","17.1","15.96","17.01","3773174"
"2017-05-04","16.09","16.21","14.81","16.08","5653904"
"2017-05-03","16.12","16.7","16.07","16.6","2222078"
"2017-05-02","16.31","16.48","16.13","16.33","2608972"
"2017-05-01","15.81","16.27","15.76","16.24","1481348"
"2017-04-28","15.83","15.99","15.7","15.83","1166137"
"2017-04-27","15.9","16.02","15.65","15.85","1477074"
"2017-04-26","15.67","16.17","15.6","15.87","2283226"
"2017-04-25","15.46","15.67","15.46","15.59","1537361"
"2017-04-24","15.49","15.54","15.29","15.4","1278181"
"2017-04-21","15.38","15.46","15.16","15.16","1116681"
"2017-04-20","15.41","15.59","15.21","15.4","1811341"
"2017-04-19","15.3","15.5","15.07","15.27","2032600"
"2017-04-18","14.9","15.48","14.83","15.28","3012209"
"2017-04-17","14.48","14.89","14.19","14.88","1807370"
"2017-04-13","14.6","14.78","14.38","14.48","1416091"
"2017-04-12","14.73","14.92","14.58","14.65","2112809"
"2017-04-11","14.25","14.78","14.19","14.73","2167626"
"2017-04-10","14.28","14.51","14.24","14.29","949241"
"2017-04-07","14.34","14.45","14.19","14.28","1146466"
"2017-04-06","14.31","14.46","14.12","14.43","1170851"
"2017-04-05","14.45","14.7","14.21","14.31","1737669"
"2017-04-04","14.9","15.09","14.48","14.51","1612475"
"2017-04-03","14.97","15.22","14.8","14.94","2137227"
"2017-03-31","14.76","15.08","14.68","14.96","2199187"
"2017-03-30","15.0","15.14","14.81","14.83","2158928"
"2017-03-29","14.45","14.93","14.42","14.9","2003795"
"2017-03-28","14.26","14.51","14.22","14.49","1326155"
"2017-03-27","14.0","14.3","13.76","14.23","1282240"
"2017-03-24","14.27","14.44","14.02","14.17","1220040"
"2017-03-23","13.86","14.16","13.75","14.13","1992507"
"2017-03-22","14.31","14.42","13.65","13.82","2982064"
"2017-03-21","14.86","14.96","14.21","14.3","2124380"
"2017-03-20","14.66","14.9","14.62","14.76","1419144"
"2017-03-17","14.82","14.86","14.55","14.64","1743876"
"2017-03-16","14.56","14.81","14.55","14.72","1348375"
"2017-03-15","14.02","14.5","13.83","14.46","2063989"
"2017-03-14","14.47","14.56","13.93","14.03","2230897"
"2017-03-13","14.58","14.64","14.39","14.57","1539065"
"2017-03-10","14.59","14.64","14.31","14.58","2435500"
"2017-03-09","14.32","14.48","14.2","14.46","2005396"
"2017-03-08","14.76","14.96","14.53","14.54","2008665"
"2017-03-07","14.7","14.74","14.44","14.65","1786335"
"2017-03-06","14.5","14.71","14.3","14.64","1886462"
"2017-03-03","14.63","14.7","14.35","14.53","2010000"
"2017-03-02","15.0","15.24","14.59","14.62","2391553"
"2017-03-01","15.27","15.69","14.94","15.09","4004558"
"2017-02-28","16.72","16.77","14.83","15.2","9034551"
"2017-02-27","16.53","17.04","16.36","16.94","2681768"
"2017-02-24","16.37","16.49","16.0","16.49","1657665"
"2017-02-23","16.92","17.0","16.46","16.63","1451279"
"2017-02-22","17.12","17.27","16.8","16.83","1532576"
"2017-02-21","17.2","17.32","16.9","17.24","1681066"
"2017-02-17","16.85","17.22","16.69","17.12","2149146"
"2017-02-16","17.31","17.53","16.8","16.92","2318069"
"2017-02-15","17.61","17.68","17.27","17.33","1645082"
"2017-02-14","17.43","17.62","17.2","17.5","1460108"
"2017-02-13","17.28","17.67","17.19","17.52","2165277"
"2017-02-10","17.25","17.47","17.02","17.14","1679676"
"2017-02-09","16.52","17.26","16.52","17.15","2269667"
"2017-02-08","16.65","16.76","16.17","16.52","1446596"
"2017-02-07","16.68","16.85","16.42","16.65","1576427"
"2017-02-06","16.71","16.99","16.54","16.61","1446806"
"2017-02-03","16.85","17.06","16.73","16.76","1699708"
"2017-02-02","16.6","16.81","16.49","16.73","2179291"
"2017-02-01","16.72","16.9","16.18","16.52","1838416"
"2017-01-31","16.23","16.5","16.04","16.49","1773211"
"2017-01-30","16.36","16.455","15.97","16.41","1902284"
"2017-01-27","16.6","16.82","16.42","16.51","1235044"
"2017-01-26","17.08","17.15","16.53","16.62","2132203"
"2017-01-25","17.19","17.53","17.03","17.1","2214787"
"2017-01-24","16.7","17.13","16.66","16.98","2323002"
"2017-01-23","17.07","17.17","16.32","16.54","2262256"
"2017-01-20","16.95","17.12","16.69","17.07","3280723"
"2017-01-19","16.18","17.45","16.17","17.0","8388903"
"2017-01-18","15.98","16.42","15.94","16.1","2511477"
