"Date","Open","High","Low","Close","Volume"
"2017-12-29","65.54","65.83","65.46","65.48","332409"
"2017-12-28","65.63","65.735","65.37","65.55","212151"
"2017-12-27","65.67","65.79","65.4498","65.65","189156"
"2017-12-26","65.64","65.87","65.52","65.63","196325"
"2017-12-22","65.95","66.03","65.54","65.74","378542"
"2017-12-21","66.03","66.275","65.74","65.77","395977"
"2017-12-20","66.04","66.29","65.47","65.75","662070"
"2017-12-19","65.65","66.63","65.425","66.05","857908"
"2017-12-18","65.59","66.12","65.35","65.53","746476"
"2017-12-15","64.9","65.66","64.62","65.58","884919"
"2017-12-14","64.81","65.04","64.48","64.52","633027"
"2017-12-13","65.01","65.43","64.63","64.67","977336"
"2017-12-12","65.45","65.6","64.85","64.91","723196"
"2017-12-11","65.08","65.47","64.89","65.39","687216"
"2017-12-08","64.43","65.39","64.43","65.15","807769"
"2017-12-07","64.43","64.61","64.02","64.4","651504"
"2017-12-06","64.63","65.13","64.51","64.59","501327"
"2017-12-05","65.13","65.34","64.75","64.88","810108"
"2017-12-04","65.05","65.77","64.95","65.24","687641"
"2017-12-01","65.18","65.18","64.33","65.01","1043870"
"2017-11-30","65.24","65.49","65.0","65.29","866777"
"2017-11-29","65.24","65.6","65.04","65.14","667200"
"2017-11-28","65.0","65.49","64.88","65.24","648149"
"2017-11-27","64.86","65.0","64.18","64.86","597140"
"2017-11-24","64.74","64.99","64.32","64.96","280009"
"2017-11-22","64.68","65.09","64.425","64.64","688568"
"2017-11-21","64.54","65.0","64.41","64.78","709970"
"2017-11-20","63.53","64.46","63.53","64.43","719392"
"2017-11-17","64.64","64.71","63.07","63.53","1180420"
"2017-11-16","63.95","64.99","63.62","64.79","1646989"
"2017-11-15","63.55","64.3","63.47","63.82","1011290"
"2017-11-14","62.26","64.0","62.245","63.79","1086712"
"2017-11-13","62.21","62.95","62.05","62.54","1104533"
"2017-11-10","61.71","62.95","61.61","62.52","2153848"
"2017-11-09","61.82","62.93","61.0","62.0","2431018"
"2017-11-08","63.02","63.47","62.79","63.27","1509642"
"2017-11-07","63.2","63.32","62.73","62.95","2179697"
"2017-11-06","63.74","63.79","63.14","63.2","1518546"
"2017-11-03","63.39","63.82","63.17","63.55","2125480"
"2017-11-02","64.4","64.56","63.17","63.25","3490854"
"2017-11-01","65.2","66.985","64.19","64.37","906895"
"2017-10-31","65.03","65.37","64.87","65.1","1013400"
"2017-10-30","65.29","65.43","64.81","64.96","488480"
"2017-10-27","65.69","66.03","65.24","65.38","490566"
"2017-10-26","65.78","65.82","65.39","65.41","526290"
"2017-10-25","65.85","66.07","65.48","65.74","406159"
"2017-10-24","65.94","65.99","65.62","65.85","427806"
"2017-10-23","66.04","66.35","65.87","65.94","357391"
"2017-10-20","66.14","66.295","66.0","66.07","510994"
"2017-10-19","65.81","66.29","65.58","66.03","432111"
"2017-10-18","66.13","66.26","65.8","65.81","670279"
"2017-10-17","65.72","66.12","65.54","66.1","396111"
"2017-10-16","65.46","65.83","65.39","65.61","354298"
"2017-10-13","65.76","65.81","65.46","65.64","320482"
"2017-10-12","65.18","65.99","65.16","65.64","509337"
"2017-10-11","65.31","65.445","65.13","65.33","324183"
"2017-10-10","65.12","65.56","64.99","65.29","372578"
"2017-10-09","65.07","65.4","64.74","65.04","392320"
"2017-10-06","65.49","65.63","65.085","65.17","592317"
"2017-10-05","65.28","65.72","65.045","65.52","597621"
"2017-10-04","65.23","65.46","64.8928","65.39","619608"
"2017-10-03","64.6","65.25","64.6","65.2","726078"
"2017-10-02","64.32","64.77","64.1501","64.64","352761"
"2017-09-29","64.06","64.61","64.06","64.32","433723"
"2017-09-28","64.31","64.35","64.1","64.17","326917"
"2017-09-27","64.71","64.87","64.34","64.59","782515"
"2017-09-26","64.44","64.83","64.06","64.36","713464"
"2017-09-25","63.98","64.64","63.98","64.35","629579"
"2017-09-22","63.69","64.33","63.59","64.16","481694"
"2017-09-21","63.47","63.71","63.11","63.7","569085"
"2017-09-20","63.82","64.09","63.09","63.67","580989"
"2017-09-19","64.14","64.72","63.96","64.0","846193"
"2017-09-18","62.85","64.25","62.39","64.13","1432971"
"2017-09-15","63.28","63.36","62.46","62.49","3777462"
"2017-09-14","63.32","63.62","63.24","63.41","601608"
"2017-09-13","63.68","63.86","63.46","63.65","641630"
"2017-09-12","64.11","64.25","63.65","63.88","751244"
"2017-09-11","63.87","64.05","63.7","64.0","881336"
"2017-09-08","63.43","64.03","63.25","63.74","689665"
"2017-09-07","63.76","63.82","63.23","63.61","730895"
"2017-09-06","63.85","64.06","63.61","63.82","707086"
"2017-09-05","64.89","64.89","63.67","63.83","851377"
"2017-09-01","65.0","65.05","64.68","64.94","580045"
"2017-08-31","64.18","64.88","64.18","64.79","504957"
"2017-08-30","63.91","64.32","63.79","64.18","795142"
"2017-08-29","63.41","63.915","63.41","63.91","617698"
"2017-08-28","63.4","63.94","63.36","63.73","775955"
"2017-08-25","63.47","63.83","63.22","63.46","479262"
"2017-08-24","63.12","63.47","63.11","63.27","324892"
"2017-08-23","63.11","63.27","62.85","63.12","402014"
"2017-08-22","62.9","63.33","62.71","63.31","483926"
"2017-08-21","62.42","62.78","62.13","62.76","439676"
"2017-08-18","62.54","62.75","62.29","62.36","346883"
"2017-08-17","63.34","63.4","62.46","62.53","650450"
"2017-08-16","62.81","63.57","62.595","63.26","705000"
"2017-08-15","63.31","63.465","62.47","62.86","1557221"
"2017-08-14","63.92","64.035","63.19","63.24","1127668"
"2017-08-11","64.09","64.33","63.4","63.64","800681"
"2017-08-10","65.22","65.305","64.01","64.1","655786"
"2017-08-09","65.35","65.67","65.2298","65.51","604971"
"2017-08-08","65.96","65.99","65.4","65.5","524156"
"2017-08-07","66.44","66.44","65.83","65.96","703427"
"2017-08-04","66.07","66.56","65.91","66.27","473933"
"2017-08-03","67.98","67.98","65.15","66.17","1509118"
"2017-08-02","67.6","67.92","67.05","67.14","629971"
"2017-08-01","67.57","67.62","67.04","67.55","563380"
"2017-07-31","67.08","67.45","67.03","67.17","336710"
