"Date","Open","High","Low","Close","Volume"
"2017-12-29","14.2","14.35","14.1","14.1","457697"
"2017-12-28","14.4","14.45","14.15","14.25","404005"
"2017-12-27","14.45","14.6","14.2","14.25","232328"
"2017-12-26","14.1","14.6","14.0","14.5","616455"
"2017-12-22","14.25","14.35","14.15","14.15","231101"
"2017-12-21","14.175","14.5","14.1","14.25","671240"
"2017-12-20","14.3","14.4","14.1","14.15","665137"
"2017-12-19","14.775","15.0","14.3","14.35","846562"
"2017-12-18","14.7","14.95","14.35","14.8","530421"
"2017-12-15","14.0","14.6","13.9879","14.4","1206440"
"2017-12-14","14.225","14.35","13.9","14.0","455498"
"2017-12-13","14.1","14.35","14.0","14.15","453340"
"2017-12-12","14.1","14.35","13.975","14.1","688054"
"2017-12-11","14.35","14.6","14.05","14.1","621859"
"2017-12-08","14.75","14.85","14.25","14.4","741958"
"2017-12-07","14.05","14.9","14.05","14.7","1484474"
"2017-12-06","13.95","14.2","13.75","14.0","648919"
"2017-12-05","14.25","14.35","13.775","14.0","653888"
"2017-12-04","14.4","14.75","14.3","14.3","900581"
"2017-12-01","14.0","14.35","13.9","14.325","723003"
"2017-11-30","14.0","14.1","13.95","14.1","470738"
"2017-11-29","14.2","14.319","14.0","14.05","486370"
"2017-11-28","14.05","14.35","13.95","14.2","474452"
"2017-11-27","14.15","14.2","13.95","14.05","384235"
"2017-11-24","14.15","14.2","13.95","14.1","240561"
"2017-11-22","14.35","14.35","14.1","14.15","290492"
"2017-11-21","14.15","14.45","14.1","14.3","617347"
"2017-11-20","14.05","14.3","13.95","14.15","683841"
"2017-11-17","13.65","14.15","13.55","14.05","657975"
"2017-11-16","13.45","13.8","13.45","13.75","500709"
"2017-11-15","13.45","13.55","13.25","13.4","313023"
"2017-11-14","13.4","13.55","13.3","13.45","309838"
"2017-11-13","13.4","13.55","12.76","13.45","479247"
"2017-11-10","13.9","13.95","13.5","13.5","409169"
"2017-11-09","14.1","14.15","13.55","13.95","843791"
"2017-11-08","14.05","14.3","13.8","14.2","872736"
"2017-11-07","13.95","14.15","13.78","14.0","1153895"
"2017-11-06","13.85","14.05","13.75","14.0","934636"
"2017-11-03","13.6","14.0","13.4","13.9","906143"
"2017-11-02","13.4","13.75","13.3","13.75","1013830"
"2017-11-01","13.35","13.65","13.3","13.4","1040980"
"2017-10-31","13.3","13.53","13.23","13.35","856018"
"2017-10-30","13.15","13.5","12.75","13.2","1311358"
"2017-10-27","12.1","13.35","12.1","13.15","2216082"
"2017-10-26","12.5","12.8","12.43","12.5","1194814"
"2017-10-25","12.15","12.85","12.15","12.5","1077379"
"2017-10-24","12.5","12.65","12.15","12.2","790548"
"2017-10-23","12.55","12.75","12.3","12.55","766147"
"2017-10-20","12.25","12.45","12.0","12.4","1942205"
"2017-10-19","13.1","13.2","12.15","12.25","2199127"
"2017-10-18","13.4","13.53","13.0","13.05","651288"
"2017-10-17","13.45","13.58","13.35","13.4","242385"
"2017-10-16","13.65","13.73","13.45","13.5","400277"
"2017-10-13","13.65","13.73","13.5","13.65","353443"
"2017-10-12","13.65","13.85","12.76","13.6","333338"
"2017-10-11","13.75","13.8","13.65","13.7","440943"
"2017-10-10","14.1","14.18","13.85","13.85","501665"
"2017-10-09","14.1","14.15","13.95","14.05","323530"
"2017-10-06","13.95","14.1","13.85","14.1","342987"
"2017-10-05","14.1","14.2","13.95","14.0","313004"
"2017-10-04","14.0","14.15","13.9","14.05","432662"
"2017-10-03","13.95","14.05","13.7","14.05","540002"
"2017-10-02","13.6","14.05","13.58","14.0","748576"
"2017-09-29","13.35","13.7","13.25","13.5","371385"
"2017-09-28","13.4","13.5","13.28","13.3","477462"
"2017-09-27","13.15","13.7","13.15","13.45","723977"
"2017-09-26","13.05","13.43","12.9","13.05","942410"
"2017-09-25","13.25","13.4","12.9","13.0","1031702"
"2017-09-22","13.5","13.58","13.3","13.3","783329"
"2017-09-21","13.6","13.6","13.26","13.45","266765"
"2017-09-20","13.7","13.75","13.3","13.65","502632"
"2017-09-19","13.7","13.8","13.6","13.65","423145"
"2017-09-18","13.8","13.9","13.6","13.8","447038"
"2017-09-15","13.65","13.9","13.5","13.8","768529"
"2017-09-14","13.7","13.75","13.5","13.65","302969"
"2017-09-13","13.85","13.95","13.65","13.75","467707"
"2017-09-12","13.85","13.95","13.8","13.9","321456"
"2017-09-11","13.85","13.9","13.65","13.8","406806"
"2017-09-08","13.95","14.05","13.7","13.75","453319"
"2017-09-07","13.75","14.1","13.73","14.0","694140"
"2017-09-06","13.9","13.95","13.6","13.75","433135"
"2017-09-05","13.9","14.01","13.75","13.8","335725"
"2017-09-01","14.1","14.18","13.8","13.95","430701"
"2017-08-31","13.8","14.2","13.65","14.15","654052"
"2017-08-30","13.25","13.8","13.15","13.75","758820"
"2017-08-29","13.1","13.3","13.025","13.2","366281"
"2017-08-28","13.1","13.23","13.03","13.15","333778"
"2017-08-25","13.1","13.3","13.0","13.1","318997"
"2017-08-24","13.15","13.3","13.0","13.1","504243"
"2017-08-23","13.05","13.15","12.95","13.05","578562"
