"Date","Open","High","Low","Close","Volume"
"2017-12-29","154.17","154.72","153.415","153.42","3310894"
"2017-12-28","153.2","154.12","153.2","154.04","2669076"
"2017-12-27","152.95","153.18","152.61","153.13","2116522"
"2017-12-26","152.51","153.86","152.5","152.83","2477240"
"2017-12-22","151.71","153.0","151.5","152.5","2982114"
"2017-12-21","153.17","153.46","151.49","151.5","4126632"
"2017-12-20","153.65","153.89","152.78","152.95","3771425"
"2017-12-19","154.135","154.17","153.09","153.23","4111495"
"2017-12-18","153.41","154.18","153.21","153.33","5054265"
"2017-12-15","153.75","153.8","152.03","152.5","10469312"
"2017-12-14","154.5","155.11","153.7","154.0","4623845"
"2017-12-13","156.6","156.73","153.89","153.91","5624428"
"2017-12-12","155.2","157.85","155.16","156.74","6314835"
"2017-12-11","154.97","155.89","154.57","155.41","4068982"
"2017-12-08","153.94","155.03","153.55","154.81","3440847"
"2017-12-07","154.03","154.45","153.26","153.57","3768443"
"2017-12-06","155.69","156.22","154.09","154.1","3345712"
"2017-12-05","156.45","156.74","154.68","155.35","5042724"
"2017-12-04","155.67","156.8","155.07","156.46","4639109"
"2017-12-01","154.4","155.02","152.9125","154.76","5567852"
"2017-11-30","153.65","154.41","153.08","153.97","6500769"
"2017-11-29","152.81","153.61","152.17","153.55","5098702"
"2017-11-28","152.35","152.93","151.7","152.47","3915618"
"2017-11-27","152.06","152.49","151.62","151.98","3303663"
"2017-11-24","151.95","152.2","151.33","151.84","1193025"
"2017-11-22","152.0","152.39","151.33","151.77","3125416"
"2017-11-21","151.3","152.45","151.2","151.95","3756184"
"2017-11-20","150.64","151.95","149.9","150.51","5654091"
"2017-11-17","149.34","150.15","148.83","148.97","4865373"
"2017-11-16","147.73","149.65","147.5","149.12","5393609"
"2017-11-15","148.0","148.705","146.211","147.1","4695745"
"2017-11-14","147.95","148.97","147.49","148.89","3691934"
"2017-11-13","148.88","149.0","147.92","148.4","5085257"
"2017-11-10","150.65","150.89","149.14","149.16","4304369"
"2017-11-09","149.93","151.8","149.86","150.3","4770841"
"2017-11-08","151.6","151.7944","150.28","151.57","4634439"
"2017-11-07","151.37","151.51","150.5","151.35","3688378"
"2017-11-06","151.77","151.82","150.28","150.84","4498372"
"2017-11-03","153.42","153.47","151.49","151.58","4420582"
"2017-11-02","154.18","154.49","152.91","153.35","3388284"
"2017-11-01","154.1","154.9","153.83","154.03","3228302"
"2017-10-31","154.33","154.93","152.93","154.06","4224346"
"2017-10-30","153.76","154.59","152.71","154.36","4206189"
"2017-10-27","154.54","154.63","152.911","153.68","4893779"
"2017-10-26","154.31","155.12","153.54","153.6","4253664"
"2017-10-25","156.01","156.37","153.06","153.495","5443794"
"2017-10-24","159.65","159.7","155.171","155.88","8173017"
"2017-10-23","162.05","162.51","159.54","159.55","5765384"
"2017-10-20","161.07","162.48","159.77","162.07","7848320"
"2017-10-19","159.8","160.96","159.085","160.9","9878844"
"2017-10-18","157.12","161.23","156.95","159.53","30445283"
"2017-10-17","146.63","147.12","146.18","146.54","4941313"
"2017-10-16","147.22","147.67","146.51","146.83","3035184"
"2017-10-13","147.48","147.85","146.94","147.1","2490548"
"2017-10-12","147.56","147.89","146.77","147.03","3255559"
"2017-10-11","148.4","148.47","147.28","147.62","3674765"
"2017-10-10","147.71","148.95","147.65","148.5","4028877"
"2017-10-09","146.5","147.79","146.35","147.39","2678887"
"2017-10-06","146.64","146.85","146.32","146.48","2248474"
"2017-10-05","146.68","147.54","146.48","146.72","2536971"
"2017-10-04","147.0","147.02","146.11","146.48","2225673"
"2017-10-03","146.69","147.1999","146.34","146.78","2285725"
"2017-10-02","145.35","146.865","145.21","146.66","2955450"
"2017-09-29","145.45","145.69","144.92","145.08","2635887"
"2017-09-28","145.33","145.86","144.21","145.66","2763219"
"2017-09-27","146.68","146.9","145.03","145.66","3446073"
"2017-09-26","146.36","147.42","145.94","146.56","4106513"
"2017-09-25","145.12","146.03","144.91","145.87","5179476"
"2017-09-22","145.59","145.59","144.59","145.13","2741663"
"2017-09-21","145.65","145.8911","145.1","145.26","2289276"
"2017-09-20","144.93","145.88","144.42","145.88","5384615"
"2017-09-19","144.79","144.98","144.22","144.39","3456574"
"2017-09-18","144.81","145.4799","144.27","144.55","3018012"
"2017-09-15","144.82","145.17","144.08","144.82","7297773"
"2017-09-14","145.86","146.38","145.51","145.54","3742944"
"2017-09-13","145.35","146.29","145.34","145.99","4070378"
"2017-09-12","145.11","146.37","144.51","145.76","5222522"
"2017-09-11","143.54","145.13","143.01","144.86","4549334"
"2017-09-08","143.15","143.15","141.64","142.45","3344701"
"2017-09-07","144.1","144.64","142.41","142.9","4155968"
"2017-09-06","143.88","144.47","143.5","143.82","3205295"
"2017-09-05","143.5","144.3575","142.7","143.04","3097503"
"2017-09-01","142.98","144.5","142.98","144.08","3348503"
"2017-08-31","143.02","143.66","142.63","143.03","3614517"
"2017-08-30","143.26","143.28","142.41","142.56","2715466"
"2017-08-29","142.1","143.425","141.9","143.14","3000993"
"2017-08-28","144.11","144.56","142.39","142.51","5086015"
"2017-08-25","143.3","144.19","143.25","143.74","2866131"
"2017-08-24","142.5","143.68","142.25","142.94","3580245"
"2017-08-23","140.7","143.05","140.68","142.14","4035421"
"2017-08-22","140.64","141.15","140.38","141.01","2495902"
"2017-08-21","139.59","140.42","139.13","140.33","2949410"
"2017-08-18","140.87","141.15","139.58","139.7","4128761"
"2017-08-17","142.52","142.89","140.7","140.7","4342286"
"2017-08-16","141.79","142.91","141.61","142.5","3239516"
"2017-08-15","142.55","143.34","140.58","142.07","4652618"
"2017-08-14","142.0","142.76","141.94","142.32","2222304"
"2017-08-11","142.45","142.59","141.52","141.84","3004040"
"2017-08-10","141.64","142.42","141.23","141.84","4378186"
"2017-08-09","141.75","142.03","141.19","141.77","2920582"
"2017-08-08","142.0","142.76","142.0","142.11","3281972"
"2017-08-07","145.0","145.09","142.75","143.47","4576508"
"2017-08-04","145.0","145.39","144.4","145.16","2542800"
"2017-08-03","144.43","145.34","144.43","144.94","3028769"
"2017-08-02","145.12","145.29","144.22","144.45","3400024"
"2017-08-01","145.0","145.39","144.4","145.16","3197848"
"2017-07-31","144.38","144.93","144.17","144.67","4333680"
"2017-07-28","144.81","145.04","143.84","144.29","3022662"
"2017-07-27","145.0","145.395","143.64","145.07","6374650"
"2017-07-26","146.27","146.46","144.47","145.36","3806651"
"2017-07-25","146.57","147.49","146.03","146.19","4184435"
"2017-07-24","147.0","147.04","145.8","145.99","3818232"
"2017-07-21","147.59","147.87","146.51","147.08","6456514"
"2017-07-20","147.53","148.83","147.03","147.66","7105481"
"2017-07-19","150.02","150.25","146.71","147.53","14043000"
"2017-07-18","152.36","154.29","152.0","154.0","6867302"
"2017-07-17","153.59","153.88","152.2399","153.01","4751141"
"2017-07-14","154.01","154.615","153.4","154.24","3214337"
"2017-07-13","153.7","154.19","153.19","153.63","2474847"
"2017-07-12","153.48","154.24","153.05","153.7","3090315"
"2017-07-11","153.26","153.65","152.05","153.19","3431418"
"2017-07-10","152.91","153.89","152.63","153.42","2804780"
"2017-07-07","152.62","153.49","152.14","152.94","2345721"
"2017-07-06","153.36","153.83","152.23","152.36","2735717"
"2017-07-05","155.77","155.89","153.63","153.67","3558639"
"2017-07-03","153.58","156.025","153.52","155.58","2822499"
"2017-06-30","154.28","154.5","153.14","153.83","3501395"
"2017-06-29","155.35","155.74","153.62","154.13","3245649"
"2017-06-28","155.15","155.55","154.78","155.32","2203062"
"2017-06-27","155.0","155.34","154.5","154.75","2385619"
"2017-06-26","154.71","155.75","154.63","155.23","2129945"
"2017-06-23","154.34","154.68","153.8","154.11","3148468"
"2017-06-22","154.55","154.99","153.69","154.4","2361275"
"2017-06-21","155.79","155.79","153.39","153.79","3934281"
"2017-06-20","154.48","155.389","154.25","154.95","4469538"
"2017-06-19","155.51","155.86","154.54","154.84","4381436"
"2017-06-16","154.23","155.42","152.9676","155.38","6128190"
"2017-06-15","153.29","154.69","153.29","154.22","4626272"
"2017-06-14","153.97","154.9399","152.94","153.81","3035864"
"2017-06-13","155.44","155.48","154.15","154.25","3509558"
"2017-06-12","154.19","157.2","154.02","155.18","6461725"
"2017-06-09","152.0","154.265","151.88","154.1","4355401"
"2017-06-08","151.0","152.82","150.92","152.1","3681319"
"2017-06-07","153.05","154.2","150.8","150.98","4858631"
"2017-06-06","152.0","152.89","152.0","152.37","3786593"
"2017-06-05","151.82","152.93","151.6826","152.41","3971157"
"2017-06-02","153.07","153.2","151.8","152.05","3573193"
"2017-06-01","152.8","152.87","151.63","152.67","2904189"
"2017-05-31","152.03","152.8","151.65","152.63","3496466"
"2017-05-30","151.95","152.67","151.59","151.73","3609710"
"2017-05-26","152.85","153.0","152.06","152.49","2440117"
"2017-05-25","153.25","153.73","152.9459","153.2","2579828"
"2017-05-24","152.21","152.76","151.23","152.51","3731333"
"2017-05-23","152.57","153.68","151.92","152.03","2563975"
"2017-05-22","152.1","152.84","151.5992","152.64","3248372"
"2017-05-19","151.01","152.46","150.89","151.98","5617824"
"2017-05-18","150.86","151.33","150.11","150.78","3268772"
"2017-05-17","153.3","154.14","150.89","150.93","5048937"
"2017-05-16","151.66","153.99","151.66","153.68","5452539"
"2017-05-15","150.62","151.83","150.4502","151.51","4218359"
"2017-05-12","150.3","151.265","150.0","150.37","3651964"
"2017-05-11","151.05","151.15","149.79","150.65","5546379"
"2017-05-10","151.651","152.37","151.13","151.25","4995590"
"2017-05-09","152.6","153.1","151.5552","152.11","6823015"
"2017-05-08","152.8","153.47","152.2","153.03","7415765"
"2017-05-05","153.52","155.78","153.0","155.05","12415240"
"2017-05-04","158.89","159.14","158.36","159.05","4271669"
"2017-05-03","158.74","159.45","158.52","158.63","3990429"
"2017-05-02","159.44","159.49","158.64","159.1","3149949"
"2017-05-01","160.05","160.42","158.7","158.84","4919710"
"2017-04-28","160.5","160.59","159.7","160.29","4029533"
"2017-04-27","160.29","160.48","159.63","160.32","4081640"
"2017-04-26","160.53","161.1","159.89","160.06","4311484"
"2017-04-25","161.78","162.04","160.38","160.39","4842189"
"2017-04-24","161.29","161.57","160.42","160.75","5320608"
"2017-04-21","162.05","162.11","160.38","160.38","5607756"
"2017-04-20","161.32","162.4","160.5","162.3","6486809"
"2017-04-19","161.76","162.64","159.6","161.69","192843"
"2017-04-18","170.79","171.69","169.83","170.05","6345465"
"2017-04-17","169.75","171.3","169.62","171.1","3720218"
"2017-04-13","169.92","171.36","169.53","169.53","3205462"
"2017-04-12","171.04","171.2","170.02","170.66","3276931"
"2017-04-11","170.65","171.23","168.98","170.58","4890163"
"2017-04-10","172.53","172.56","171.0","171.2","3789936"
"2017-04-07","172.08","172.93","171.28","172.14","3588302"
"2017-04-06","173.47","173.47","172.25","172.45","3435403"
"2017-04-05","174.7","176.33","172.81","172.88","6238894"
"2017-04-04","173.52","174.96","173.26","174.52","3108855"
"2017-04-03","173.82","174.87","173.38","174.5","4286498"
"2017-03-31","173.98","174.95","173.69","174.14","2913684"
"2017-03-30","173.86","174.59","173.69","173.86","3168254"
"2017-03-29","174.3","174.49","173.46","173.94","3085606"
"2017-03-28","173.94","175.0","173.0","174.51","3523345"
"2017-03-27","172.69","174.16","172.0937","173.77","3259049"
"2017-03-24","175.12","175.5","173.39","173.83","3221672"
"2017-03-23","174.43","175.67","173.56","174.82","3739976"
"2017-03-22","174.04","175.06","172.8","174.78","3450512"
"2017-03-21","176.01","176.23","173.84","173.88","3927741"
"2017-03-20","175.65","176.18","175.14","175.7","2476125"
"2017-03-17","176.29","176.79","175.65","175.65","5920967"
"2017-03-16","178.46","179.0","176.82","177.24","4311848"
"2017-03-15","175.71","176.28","174.75","175.81","3815537"
"2017-03-14","176.18","176.82","175.211","175.72","3147497"
"2017-03-13","177.85","178.06","176.415","176.46","3482189"
"2017-03-10","178.21","179.49","177.42","177.83","3100116"
"2017-03-09","179.15","179.25","175.88","177.18","5444076"
"2017-03-08","180.75","180.95","179.3","179.45","3557396"
