"Date","Open","High","Low","Close","Volume"
"2017-12-29","61.63","61.63","60.72","60.85","55264"
"2017-12-28","62.0","62.02","60.88","61.41","44972"
"2017-12-27","62.07","62.17","61.5","61.8","87874"
"2017-12-26","60.8","62.14","60.22","61.71","50320"
"2017-12-22","61.68","62.34","60.95","61.25","68753"
"2017-12-21","61.51","62.65","59.4","61.53","104081"
"2017-12-20","62.56","63.08","61.23","61.53","147322"
"2017-12-19","60.72","62.88","60.0","62.52","184525"
"2017-12-18","60.1","61.03","59.8","60.55","186510"
"2017-12-15","59.13","60.22","57.75","59.76","197309"
"2017-12-14","58.58","59.6","57.68","59.24","95606"
"2017-12-13","58.25","58.76","57.17","58.48","87396"
"2017-12-12","58.41","58.65","58.024","58.24","75277"
"2017-12-11","58.14","59.0098","58.03","58.44","95635"
"2017-12-08","58.43","59.98","57.82","58.01","235276"
"2017-12-07","57.94","59.13","57.94","58.57","178707"
"2017-12-06","57.09","58.0","56.33","57.79","84759"
"2017-12-05","57.21","57.78","56.815","57.36","148164"
"2017-12-04","57.31","57.88","56.33","57.39","194884"
"2017-12-01","57.61","57.84","56.22","56.9","286553"
"2017-11-30","58.23","58.75","57.14","57.5","408976"
"2017-11-29","59.14","59.14","56.94","58.22","1131388"
"2017-11-28","60.66","61.12","58.84","59.34","112929"
"2017-11-27","62.1","62.1","60.63","60.65","75051"
"2017-11-24","61.56","62.06","61.13","61.95","49775"
"2017-11-22","62.71","62.74","61.33","61.72","70155"
"2017-11-21","62.85","63.1","62.07","62.7","83227"
"2017-11-20","62.57","63.86","62.06","62.75","269749"
"2017-11-17","61.99","63.0","61.81","62.57","367603"
"2017-11-16","61.17","62.64","61.0","62.12","107996"
"2017-11-15","61.79","62.26","60.57","60.89","53343"
"2017-11-14","62.67","63.68","61.78","61.9","90223"
"2017-11-13","63.77","63.98","62.58","62.99","126758"
"2017-11-10","62.13","64.47","59.45","63.8","239830"
"2017-11-09","61.73","62.59","61.1","62.43","138991"
"2017-11-08","62.25","63.08","61.57","61.86","160589"
"2017-11-07","62.04","62.7","61.98","62.42","353407"
"2017-11-06","61.43","62.44","61.13","62.03","164727"
"2017-11-03","61.81","62.23","60.72","61.23","200149"
"2017-11-02","61.58","62.45","61.58","61.8","85084"
"2017-11-01","61.68","62.5","60.96","61.26","75915"
"2017-10-31","61.06","62.38","60.82","61.9","178111"
"2017-10-30","62.2","62.2","60.68","60.84","238788"
"2017-10-27","62.5","62.94","61.64","62.29","62117"
"2017-10-26","61.67","62.63","61.51","62.37","62554"
"2017-10-25","61.77","62.59","61.47","61.72","74929"
"2017-10-24","61.8","62.25","61.09","61.76","114602"
"2017-10-23","61.75","62.42","61.33","61.79","119223"
"2017-10-20","62.71","62.95","61.54","62.05","88372"
"2017-10-19","62.81","62.84","61.03","62.23","104615"
"2017-10-18","63.85","64.61","63.0","63.13","315078"
"2017-10-17","64.38","64.74","63.36","63.57","69620"
"2017-10-16","65.1","65.1","64.46","64.74","215097"
"2017-10-13","65.26","65.85","64.04","64.76","165172"
"2017-10-12","61.73","64.77","61.73","64.5","747399"
"2017-10-11","61.05","61.82","60.6","61.73","120157"
"2017-10-10","60.95","61.24","60.66","61.04","88378"
"2017-10-09","61.09","61.6","60.64","60.68","128015"
"2017-10-06","60.48","61.58","60.48","60.86","89128"
"2017-10-05","61.63","61.98","60.65","60.73","44662"
"2017-10-04","61.7","61.9","61.14","61.64","98439"
"2017-10-03","62.01","62.4","61.42","61.71","108352"
"2017-10-02","61.48","62.16","60.26","61.49","113954"
"2017-09-29","60.82","61.23","60.38","60.61","291162"
"2017-09-28","61.37","61.37","60.46","60.6","75623"
"2017-09-27","60.84","61.76","60.49","61.23","136151"
"2017-09-26","59.47","60.3","58.8","60.26","189148"
"2017-09-25","62.0","62.0","58.36","59.55","293909"
"2017-09-22","59.02","62.0","59.02","61.75","295964"
"2017-09-21","58.55","59.8","57.95","58.5","290583"
"2017-09-20","60.14","60.24","58.48","58.49","126446"
"2017-09-19","59.06","60.31","58.84","59.94","125751"
"2017-09-18","58.7","59.46","58.02","58.68","350040"
"2017-09-15","60.42","61.06","58.29","58.66","324533"
"2017-09-14","59.55","60.44","59.08","60.41","248391"
