"Date","Open","High","Low","Close","Volume"
"2017-12-29","14.55","14.745","14.5","14.55","1587815"
"2017-12-28","14.61","14.69","14.39","14.57","841007"
"2017-12-27","14.73","14.86","14.59","14.6","757072"
"2017-12-26","14.59","14.76","14.54","14.68","1557985"
"2017-12-22","14.63","14.7","14.53","14.58","1117688"
"2017-12-21","14.73","14.85","14.625","14.66","994541"
"2017-12-20","14.78","14.825","14.56","14.68","1219121"
"2017-12-19","14.96","15.16","14.68","14.72","3131121"
"2017-12-18","14.54","14.92","14.52","14.91","3051476"
"2017-12-15","14.18","15.2","14.05","14.65","10691816"
"2017-12-14","14.45","14.52","14.14","14.155","2411656"
"2017-12-13","14.33","14.65","14.264","14.41","2325738"
"2017-12-12","14.27","14.49","14.22","14.32","2960054"
"2017-12-11","14.19","14.32","13.72","14.27","4889060"
"2017-12-08","14.18","14.44","14.1","14.4","2110990"
"2017-12-07","13.99","14.18","13.93","14.14","1538201"
"2017-12-06","14.0","14.1","13.875","13.99","1794794"
"2017-12-05","14.2","14.22","13.96","13.97","1363642"
"2017-12-04","14.18","14.33","14.1","14.19","1383563"
"2017-12-01","14.27","14.44","13.84","14.13","2140049"
"2017-11-30","14.19","14.505","14.07","14.3","2596001"
"2017-11-29","14.05","14.24","14.01","14.12","1771351"
"2017-11-28","14.19","14.2","13.72","14.09","3170595"
"2017-11-27","14.18","14.39","14.05","14.16","1973944"
"2017-11-24","13.95","14.3","13.94","14.15","754733"
"2017-11-22","14.02","14.2","13.59","13.94","3006979"
"2017-11-21","13.61","14.03","13.48","14.02","3412202"
"2017-11-20","13.25","13.59","13.21","13.59","3413806"
"2017-11-17","13.21","13.37","13.11","13.26","1524577"
"2017-11-16","12.76","13.15","12.76","13.14","1690906"
"2017-11-15","12.72","12.9","12.46","12.76","939239"
"2017-11-14","12.85","12.85","12.64","12.74","887710"
"2017-11-13","12.47","12.92","12.46","12.9","2770884"
"2017-11-10","12.63","12.8","12.5","12.57","1333247"
"2017-11-09","12.88","12.98","12.64","12.66","1277761"
"2017-11-08","12.74","13.11","12.7","13.03","1705146"
"2017-11-07","12.65","12.93","12.56","12.78","2735798"
"2017-11-06","12.95","13.28","12.5","12.64","2448558"
"2017-11-03","14.29","14.3","12.79","12.94","3153506"
"2017-11-02","12.73","12.86","12.56","12.75","2393448"
"2017-11-01","13.53","13.53","12.73","12.74","2825952"
"2017-10-31","13.6","13.76","13.46","13.48","1918398"
"2017-10-30","13.68","13.74","13.51","13.58","1916068"
"2017-10-27","13.62","13.69","13.43","13.68","1644123"
"2017-10-26","13.85","14.0","13.55","13.57","4152607"
"2017-10-25","13.93","14.04","13.67","13.84","859732"
"2017-10-24","14.0","14.07","13.92","13.98","1494912"
"2017-10-23","14.08","14.2","14.0","14.01","1285941"
"2017-10-20","14.07","14.12","13.99","14.08","921431"
"2017-10-19","13.89","14.0","13.83","13.95","1107195"
"2017-10-18","13.97","14.03","13.84","13.92","1682249"
"2017-10-17","13.82","14.0","13.55","13.9","776501"
"2017-10-16","13.91","13.99","13.77","13.82","1516646"
"2017-10-13","13.87","14.01","13.81","13.89","1093461"
"2017-10-12","13.89","13.94","13.77","13.86","1372067"
"2017-10-11","14.0","14.11","13.84","13.92","1508662"
"2017-10-10","14.02","14.06","13.92","13.98","1257741"
"2017-10-09","14.38","14.38","13.96","13.98","1110022"
"2017-10-06","14.35","14.45","14.34","14.39","3472386"
"2017-10-05","14.39","14.43","14.35","14.37","1461636"
"2017-10-04","14.39","14.41","14.28","14.35","1414493"
"2017-10-03","14.38","14.45","14.23","14.35","2073028"
